source,target,value
Flavobacteriaceae,uncertain,92
Granulosicoccaceae,uncertain,38
Flavobacteriaceae,virulent,29
Rhodobacteraceae,uncertain,26
Alteromonadaceae,uncertain,23
Rhodobacteraceae,temperate,23
Vibrionaceae,temperate,20
Maricaulaceae,uncertain,19
Vibrionaceae,uncertain,19
Flavobacteriaceae,temperate,18
Granulosicoccaceae,temperate,15
Vibrionaceae,virulent,14
Saprospiraceae,uncertain,12
Granulosicoccaceae,virulent,5
Rhodobacteraceae,virulent,6
Alteromonadaceae,virulent,8
Alteromonadaceae,temperate,5
Maricaulaceae,temperate,5
Maricaulaceae,virulent,3
Saprospiraceae,virulent,3
Enterobacteriaceae,uncertain,3
Enterobacteriaceae,virulent,3
Others,temperate,26
Others,uncertain,67
Others,virulent,20
