family	prophage_carring_pMAGs	no_prophage_carring_pMAGs
Rhodobacteraceae	0.909407666	0.090592334
Flavobacteriaceae	0.468834688	0.531165312
Maricaulaceae	0.886363636	0.113636364
Granulosicoccaceae	0.306818182	0.693181818
Akkermansiaceae	0.535714286	0.464285714
Saprospiraceae	0.597122302	0.402877698
Sphingomonadaceae	0.833333333	0.166666667
Thiotrichaceae	0.55	0.45
Alteromonadaceae	0.3	0.7
UBA6164	0.384615385	0.615384615
Rhizobiaceae	0.909090909	0.090909091
Pirellulaceae	0.166666667	0.833333333
Vibrionaceae	0.769230769	0.230769231
All	0.555379747	0.444620253
