family	prophage_carring_pMAGs	no_prophage_carring_pMAGs
Rhodobacteraceae	0.890909091	0.109090909
Flavobacteriaceae	0.483606557	0.516393443
Maricaulaceae	0.818181818	0.181818182
Granulosicoccaceae	0.243902439	0.756097561
Akkermansiaceae	0.333333333	0.666666667
Saprospiraceae	0.584415584	0.415584416
Sphingomonadaceae	0.784313725	0.215686275
Thiotrichaceae	0.416666667	0.583333333
Alteromonadaceae	0.214285714	0.785714286
UBA6164	0.285714286	0.714285714
Rhizobiaceae	0.875	0.125
Pirellulaceae	0.1	0.9
Vibrionaceae	0.857142857	0.142857143
All	0.531358885	0.468641115
