ID	diff	lwr	upr	p.adj
T63_C-C0_V	430.484846999999	-3116.34580755513	3977.31550155513	0.999454716562233
T0_C-C0_V	749.484847	-2797.34580755513	4296.31550155513	0.984876797834553
T0_V-C0_V	849.308212999999	-2697.52244155513	4396.13886755513	0.970782431821763
C63_C-C0_V	1668.984847	-1877.84580755513	5215.81550155513	0.603862514009184
C63_V-C0_V	1865.684081	-1681.14657355513	5412.51473555513	0.491568402605605
C0_C-C0_V	3496.484847	-50.345807555133	7043.31550155513	0.0536926352201923
T63_V-C0_V	4265.5179255	718.687270944868	7812.34858005513	0.0185460865822636
T0_C-T63_C	319.000000000001	-3227.83065455513	3865.83065455513	0.999923464446667
T0_V-T63_C	418.823366	-3128.00728855513	3965.65402055513	0.999542951691
C63_C-T63_C	1238.5	-2308.33065455513	4785.33065455513	0.843443639860116
C63_V-T63_C	1435.199234	-2111.63142055513	4982.02988855513	0.740294108786445
C0_C-T63_C	3066	-480.830654555132	6612.83065455513	0.0992008406919451
T63_V-T63_C	3835.0330785	288.202423944868	7381.86373305513	0.0333819967298169
T0_V-T0_C	99.8233659999992	-3447.00728855513	3646.65402055513	0.999999973798801
C63_C-T0_C	919.5	-2627.33065455513	4466.33065455513	0.956654791049045
C63_V-T0_C	1116.199234	-2430.63142055513	4663.02988855513	0.896159888558239
C0_C-T0_C	2747	-799.830654555133	6293.83065455513	0.156173864725395
T63_V-T0_C	3516.0330785	-30.7975760551321	7062.86373305513	0.0522264755780977
C63_C-T0_V	819.676634	-2727.15402055513	4366.50728855513	0.97565831381719
C63_V-T0_V	1016.375868	-2530.45478655513	4563.20652255513	0.93077714316169
C0_C-T0_V	2647.176634	-899.654020555132	6194.00728855513	0.179682492939853
T63_V-T0_V	3416.2097125	-130.620942055131	6963.04036705513	0.0601725878720621
C63_V-C63_C	196.699234000001	-3350.13142055513	3743.52988855513	0.999997120687245
C0_C-C63_C	1827.5	-1719.33065455513	5374.33065455513	0.512687223661454
T63_V-C63_C	2596.5330785	-950.297576055132	6143.36373305513	0.192826519051107
C0_C-C63_V	1630.800766	-1916.02988855513	5177.63142055513	0.626337288057616
T63_V-C63_V	2399.8338445	-1146.99681005513	5946.66449905513	0.252480305483404
T63_V-C0_C	769.033078500001	-2777.79757605513	4315.86373305513	0.982619804915077
