Contig	C0_1_C	C0_2_C	C63_1_C	C63_2_C	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-C0_1_V_NODE_3_length_45144_cov_10.795449||full	8.2594385	5.9253807	7.1638064	0	11.197382	11.8962145	0	0
KSW-C0_1_V_NODE_4_length_32343_cov_97.907396||full	10.777399	4.0627584	11.397938	3.2463765	21.677917	17.183168	2.8113906	0
KSW-C0_1_V_NODE_18_length_21379_cov_40.742872||full	14.252694	4.096984	36.25371	11.61376	20.260197	13.64397	7.6900935	6.948367
KSW-C0_1_V_NODE_33_length_15465_cov_204.769500||full	19.14252	9.123245	15.752656	6.04814	15.089325	16.688564	0	3.243445
KSW-C0_1_V_NODE_49_length_12878_cov_8.473134||full	7.80101	0	4.519397	0	18.221909	0	0	3.8720295
KSW-C0_1_V_NODE_84_length_9470_cov_10.482209||full	7.1389737	6.90152	6.4726386	0	9.461395	12.800098	0	0
KSW-C0_1_V_NODE_148_length_7426_cov_75.581332||full	5.1723843	4.502798	0	0	0	0	0	0
KSW-C0_1_V_NODE_230_length_5952_cov_115.507207||full	9.560607	6.026672	7.1751847	5.749389	0	0	18.06729	20.473547
KSW-C0_1_V_NODE_251_length_5697_cov_5.062035||full	0	5.632325	0	0	0	0	0	0
KSW-C0_1_V_NODE_270_length_5558_cov_6.468290||full	9.785823	0	4.8512197	2.2877069	16.41241	12.006932	3.8752038	5.3851466
KSW-C0_1_V_NODE_277_length_5493_cov_27.257815||full	0	4.9242725	0	0	0	0	3.493974	0
KSW-C0_1_V_NODE_322_length_5205_cov_9.032816||full	0	7.2307963	0	0	0	0	0	0
KSW-C0_2_V_NODE_3_length_34709_cov_12.949241||full	10.094051	8.387856	10.148683	2.8228364	13.943505	14.681993	2.6577802	0
KSW-C0_2_V_NODE_4_length_34366_cov_134.031273||full	35.259594	40.411102	7.5793123	5.361305	13.341103	27.715635	5.688013	5.2485437
KSW-C0_2_V_NODE_8_length_26741_cov_10.303080||full	10.936835	9.480947	10.369006	2.8261952	15.642097	15.348138	2.7269895	1.7174453
KSW-C0_2_V_NODE_19_length_17839_cov_68.368758||full	23.418642	11.011722	18.807358	7.274133	14.581357	27.132305	4.9748797	4.3533964
KSW-C0_2_V_NODE_21_length_17152_cov_7.584664||full	6.739957	5.405653	6.9224124	0	0	0	0	0
KSW-C0_2_V_NODE_25_length_15466_cov_187.878918||full	8.978205	11.950258	0	0	0	13.601433	10.9931345	9.319505
KSW-C0_2_V_NODE_26_length_15044_cov_19.809394||full	7.3831005	6.234547	7.5797715	2.067146	11.4063015	13.526512	2.4235275	0
KSW-C0_2_V_NODE_32_length_13613_cov_11.301224||full	5.077471	3.8540075	5.622247	0	6.9915557	0	0	0
KSW-C0_2_V_NODE_52_length_10622_cov_5.341630||full	0	5.595945	0	0	0	0	0	0
KSW-C0_2_V_NODE_67_length_9046_cov_3.891447||full	0	0	0	0	0	0	0	3.0294785
KSW-C0_2_V_NODE_86_length_8166_cov_13.793860||full	7.502945	6.2401295	6.8371515	2.597421	11.239769	0	0	0
KSW-C0_2_V_NODE_89_length_8111_cov_13.651440||full	5.100976	3.7225554	5.2501783	0	0	0	0	0
KSW-C0_2_V_NODE_99_length_7745_cov_9.093758||full	0	3.8402693	0	0	0	0	0	0
KSW-C0_2_V_NODE_121_length_7040_cov_6.310093||full	0	0	0	0	0	0	0	3.0915396
KSW-C0_2_V_NODE_188_length_5942_cov_59.275692||full	15.880266	7.692355	11.288834	4.9179845	11.104798	18.21206	2.6733265	0
KSW-C0_2_V_NODE_237_length_5509_cov_166.730290||full	16.842245	23.016302	2.7653954	4.553746	0	26.702793	24.48655	27.045813
KSW-C63_1_V_NODE_1_length_69953_cov_198.780866||full	13.783129	5.316585	14.597943	4.641455	27.74918	21.071375	4.364167	2.1422105
KSW-C63_1_V_NODE_15_length_28017_cov_8.965703||full	0	4.8406563	0	0	0	0	0	0
KSW-C63_1_V_NODE_62_length_15160_cov_877.088514||full	9.002963	13.507801	4.79158	12.044073	0	0	58.216	48.013474
KSW-C63_1_V_NODE_83_length_13799_cov_50.324796||full	0	0	9.897619	12.797668	0	0	0	2.2599719
KSW-C63_1_V_NODE_88_length_13464_cov_10.686256||full	9.436454	13.245676	0	0	0	0	0	0
KSW-C63_1_V_NODE_113_length_11624_cov_34.770853||full	14.793293	5.393594	10.181385	2.819715	10.497048	0	0	2.5997086
KSW-C63_1_V_NODE_137_length_10566_cov_116.858529||full	9.818823	0	20.216305	6.4835596	14.469135	0	4.321518	3.0589252
KSW-C63_1_V_NODE_152_length_9949_cov_3.949161||full	216.75235	20.260378	47.624367	27.039091	0	28.872454	0	0
KSW-C63_1_V_NODE_171_length_9466_cov_67.890872||full	0	3.5884664	0	0	0	0	0	0
KSW-C63_1_V_NODE_183_length_9223_cov_5.018106||full	5.5097995	0	0	0	0	0	0	0
KSW-C63_1_V_NODE_184_length_9211_cov_6.941896||full	0	4.537514	0	0	0	0	0	0
KSW-C63_1_V_NODE_282_length_7485_cov_4.072544||full	4.942313	11.464688	0	0	0	0	0	0
KSW-C63_1_V_NODE_401_length_6451_cov_5.047217||full	6.0018415	8.417861	0	5.3306303	0	0	3.981879	0
KSW-C63_1_V_NODE_479_length_5924_cov_9.516442||full	0	4.311307	0	0	0	0	0	0
KSW-C63_1_V_NODE_533_length_5521_cov_8.255580||full	0	4.867323	0	0	0	0	0	0
KSW-C63_1_V_NODE_555_length_5417_cov_3684.083551||full	41.02844	46.566067	24.378452	20.998262	28.226427	39.163074	49.00304	42.018925
KSW-C63_1_V_NODE_567_length_5351_cov_6.161631||full	5.9651003	8.594721	3.6507854	5.877046	0	0	4.4351335	0
KSW-C63_1_V_NODE_569_length_5342_cov_6.684698||full	0	2.7812119	0	0	0	0	0	0
KSW-C63_2_V_NODE_1_length_95852_cov_10.476466||full	0	0	0	0	7.985623	0	2.9053395	5.2542067
KSW-C63_2_V_NODE_2_length_76320_cov_18.241133||full	7.2973313	9.745306	0	3.164586	11.297007	13.198048	0	0
KSW-C63_2_V_NODE_3_length_73377_cov_76.935258||full	25.182749	9.093502	15.269438	6.8365736	69.335976	50.842365	12.490477	23.5695
KSW-C63_2_V_NODE_8_length_38542_cov_10.219763||full	19.207785	20.312172	12.574489	4.6938663	39.375546	50.98051	2.7012417	0
KSW-C63_2_V_NODE_11_length_36397_cov_17.552116||full	15.342879	11.879288	5.8227277	0	19.693825	24.932663	3.6615622	2.6347957
KSW-C63_2_V_NODE_23_length_28206_cov_7.475223||full	0	4.5030117	0	0	0	0	0	0
KSW-C63_2_V_NODE_26_length_26236_cov_6.819296||full	0	3.7873657	0	0	0	0	0	0
KSW-C63_2_V_NODE_39_length_20760_cov_22.484086||full	0	0	10.9421015	14.223554	0	0	0	3.3950095
KSW-C63_2_V_NODE_46_length_19623_cov_19.459066||full	8.4610195	12.305304	5.07515	7.3451543	0	0	6.111783	3.110431
KSW-C63_2_V_NODE_76_length_16009_cov_7.100852||full	14.616887	15.693851	10.149516	3.885795	30.487022	39.742992	0	0
KSW-C63_2_V_NODE_85_length_14866_cov_1109.031801||full	10.412422	10.556981	0	0	0	0	9.632897	11.07643
KSW-C63_2_V_NODE_90_length_14539_cov_8.543772||full	15.035313	20.375298	11.334843	3.0589306	36.053	43.282913	2.326432	0
KSW-C63_2_V_NODE_117_length_12843_cov_6.483422||full	29.121935	29.359264	16.512344	8.332471	67.85531	88.68471	0	3.2232199
KSW-C63_2_V_NODE_123_length_12521_cov_8.024627||full	27.133987	29.66937	19.15166	9.3213415	72.49171	86.458435	4.6664467	2.9924042
KSW-C63_2_V_NODE_135_length_12133_cov_25.632803||full	0	12.095234	0	0	0	0	0	0
KSW-C63_2_V_NODE_137_length_12055_cov_7.291500||full	38.27359	34.970882	18.94944	11.372064	94.630615	115.0342	5.283298	3.583744
KSW-C63_2_V_NODE_142_length_11875_cov_59.274535||full	6.518178	0	3.946649	0	19.419468	13.537569	3.1075857	4.300257
KSW-C63_2_V_NODE_165_length_11104_cov_4.940357||full	0	0	0	0	0	0	0	6.5581903
