Contig	C0_1_V	C0_2_V	C63_1_V	C63_2_V	T0_1_V	T0_2_V	T63_1_V	T63_2_V
KSW-C0_1_V_NODE_3_length_45144_cov_10.795449||full	6.926336	5.2198973	10.421343	12.610841	10.097824	6.359562	7.6293926	6.0333037
KSW-C0_1_V_NODE_4_length_32343_cov_97.907396||full	81.215294	100.49665	116.176544	130.4501	140.73677	163.54883	60.73731	79.23777
KSW-C0_1_V_NODE_14_length_22113_cov_223.931045||full	185.85536	107.60598	0	8.886156	337.93185	539.02795	379.68332	541.21655
KSW-C0_1_V_NODE_18_length_21379_cov_40.742872||full	43.240498	0	146.14812	90.49715	46.139282	48.496815	58.765095	108.84853
KSW-C0_1_V_NODE_22_length_19259_cov_5.919131||full	9.955798	0	0	0	0	0	0	0
KSW-C0_1_V_NODE_24_length_18532_cov_24.651296||full	17.708181	11.871565	21.784458	23.906008	25.22865	9.233449	22.896755	17.114355
KSW-C0_1_V_NODE_33_length_15465_cov_204.769500||full	167.19301	37.909916	177.71059	244.41281	196.16383	123.570946	219.11351	487.7163
KSW-C0_1_V_NODE_42_length_13419_cov_8.576923||full	11.405908	3.7542813	4.250418	6.750484	15.247826	5.872441	6.423563	11.82933
KSW-C0_1_V_NODE_43_length_13340_cov_12.935943||full	19.426065	9.161792	11.205848	14.635378	32.036045	11.372914	20.17728	25.205751
KSW-C0_1_V_NODE_49_length_12878_cov_8.473134||full	9.55181	4.366674	10.279175	22.58726	42.079754	22.119787	13.248995	49.56036
KSW-C0_1_V_NODE_55_length_12321_cov_31.357900||full	24.532286	17.679379	22.533215	18.062706	24.899479	9.413096	12.588063	5.6944857
KSW-C0_1_V_NODE_70_length_11007_cov_7.063367||full	8.570393	9.302884	14.5647545	10.697679	14.684177	5.5673623	6.7109337	3.100828
KSW-C0_1_V_NODE_75_length_10241_cov_6.036717||full	9.458379	0	0	0	0	0	0	0
KSW-C0_1_V_NODE_84_length_9470_cov_10.482209||full	5.24541	3.787796	8.411213	9.91838	7.18722	5.159085	6.4662867	4.560797
KSW-C0_1_V_NODE_86_length_9382_cov_6.231157||full	5.4513073	8.177488	1.8032043	0	2.4371018	2.3130536	0	0
KSW-C0_1_V_NODE_90_length_9216_cov_69.689663||full	57.214046	14.637442	30.990047	32.924835	51.997482	14.522427	41.362118	12.63888
KSW-C0_1_V_NODE_91_length_9205_cov_5.837923||full	4.5780993	0	2.4993021	1.2446445	4.5970616	0	7.4487867	2.1480901
KSW-C0_1_V_NODE_96_length_9071_cov_5.409494||full	7.1042747	0	0	0	0	0	0	0
KSW-C0_1_V_NODE_109_length_8563_cov_7.683709||full	6.132934	3.3022726	3.3074605	2.9792502	8.61699	0	11.958674	4.8759913
KSW-C0_1_V_NODE_110_length_8559_cov_8.122295||full	7.345097	12.187096	1.7230383	0	3.9129224	3.3656657	0	0
KSW-C0_1_V_NODE_112_length_8546_cov_8.370981||full	6.0435467	10.103106	0	0	2.9426336	3.4259682	0	0
KSW-C0_1_V_NODE_114_length_8472_cov_5.632886||full	4.894965	2.4559374	0	0	1.3628619	1.4345084	0	0
KSW-C0_1_V_NODE_121_length_8181_cov_6.464681||full	6.4372387	15.283583	4.2377834	0	3.958902	9.635919	0	0
KSW-C0_1_V_NODE_123_length_8029_cov_17.275520||full	14.891077	5.1418896	7.59485	7.9700956	14.266384	5.7945743	7.404712	4.3637013
KSW-C0_1_V_NODE_127_length_7931_cov_11.101828||full	11.245864	9.95218	4.0991592	1.1408441	7.512861	11.388831	0	0
KSW-C0_1_V_NODE_137_length_7712_cov_5.908058||full	3.5841386	0	2.244321	1.0967994	4.0503006	0	3.0050983	0
KSW-C0_1_V_NODE_139_length_7572_cov_34.490754||full	25.850353	31.747858	30.110506	44.90811	44.186874	20.737411	29.88404	18.724934
KSW-C0_1_V_NODE_146_length_7445_cov_42.105683||full	30.908321	24.710789	24.727745	24.170555	53.41783	28.864132	18.841896	13.890785
KSW-C0_1_V_NODE_148_length_7426_cov_75.581332||full	65.790115	22.760592	39.490837	39.33404	55.0481	24.91754	33.428787	11.576267
KSW-C0_1_V_NODE_160_length_7179_cov_6.889809||full	11.741824	0	0	0	0	0	0	0
KSW-C0_1_V_NODE_168_length_6976_cov_7.545441||full	12.563529	0	0	0	0	1.2167189	0	0
KSW-C0_1_V_NODE_192_length_6391_cov_7.574811||full	9.604133	2.6694252	3.7276423	3.5767965	9.473373	1.6997063	3.7346334	3.062474
KSW-C0_1_V_NODE_195_length_6324_cov_3.979582||full	6.7204723	0	0	0	0	0	0	0
KSW-C0_1_V_NODE_197_length_6310_cov_7.192326||full	12.87659	19.484703	1.9650836	0.77889	5.599779	7.7352796	0	0
KSW-C0_1_V_NODE_203_length_6218_cov_5.698848||full	9.939779	0	0	0	0	0	0	0
KSW-C0_1_V_NODE_213_length_6119_cov_6.253628||full	7.458414	3.8027914	4.5050282	3.9791393	9.212669	0	16.222593	6.944299
KSW-C0_1_V_NODE_214_length_6119_cov_4.719492||full	8.217072	0	0	0	0	0	0	0
KSW-C0_1_V_NODE_218_length_6068_cov_4.097289||full	3.5880537	0	3.2420962	3.1034029	4.2534037	2.2603838	3.307705	3.4093692
KSW-C0_1_V_NODE_219_length_6061_cov_5.944555||full	6.4431515	0	14.865958	13.125902	23.233982	9.71083	15.562622	16.597214
KSW-C0_1_V_NODE_228_length_5969_cov_4.273926||full	6.685575	0	0	0	0	0	0	0
KSW-C0_1_V_NODE_230_length_5952_cov_115.507207||full	103.125626	66.22826	210.19061	177.15825	25.024492	16.469982	187.06644	181.37103
KSW-C0_1_V_NODE_242_length_5844_cov_4.542235||full	3.4897022	0	2.1212134	1.2611618	3.061095	0	5.193032	1.9252683
KSW-C0_1_V_NODE_244_length_5800_cov_9.221584||full	14.188782	53.846138	2.2684472	5.8647976	11.589326	29.604912	0.67497844	2.213803
KSW-C0_1_V_NODE_251_length_5697_cov_5.062035||full	5.4411836	3.9420118	9.505893	12.150102	12.947163	5.0586743	14.307537	15.022592
KSW-C0_1_V_NODE_257_length_5667_cov_38.502495||full	46.706577	54.20634	12.773344	2.4557838	15.738338	26.191002	0	0
KSW-C0_1_V_NODE_266_length_5588_cov_22.264775||full	31.349915	61.676125	4.742073	0	10.664555	23.225258	0	0
KSW-C0_1_V_NODE_270_length_5558_cov_6.468290||full	9.204601	4.7976236	9.913085	20.407276	32.92062	21.65276	11.243089	39.557415
KSW-C0_1_V_NODE_277_length_5493_cov_27.257815||full	34.86924	60.37446	37.46457	73.8275	79.11527	18.700975	40.313686	21.417017
KSW-C0_1_V_NODE_278_length_5472_cov_517.713679||full	679.9333	1201.3054	2092.8145	549.6984	255.76399	515.512	219.1353	879.22296
