vMAGs	profile	Kingdom	Phylum	Class	Order	Family
KSW-C-S5C634	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S8C1803	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-C-S5C2490	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-C-S2C1770	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S8C1711	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-C-S5C3124	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-C-S2C1152	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-C-S3C1308	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-C-S2C2211	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-C-S3C509	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-C-S2C1996	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S2C869	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S5C2205_1	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-C-S7C11881	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-C-S1C1545	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S1C840	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S1C6532	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S2C4622	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S5C4585	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-k141_1122676||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S2C2488	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-C-S8C2862	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-C-S8C8185	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C-S5C29681	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C-k141_1451040||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-C-S2C14093	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C-k141_2140935||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-C-S7C10198	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S1C4799	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-k141_3543698||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-S8C5826	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-S7C35066	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-C-S3C7086	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-C-S2C65278	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C-k141_2959522	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-k141_458117	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C-C0_2-NODE_653_length_33993_cov_26.331487||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C-k141_1216892||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-S2C21095	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-C0_2-NODE_778_length_30529_cov_9.778336	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-k141_1820791	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-C-S3C942	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-k141_2598954||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
