vMAGs	Kingdom	Phylum	Class	Order	Family
KSW-C-S5C724	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S8C1803	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C-S5C2490	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C-S2C1770	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S8C1711	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C-S5C3124	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C-S2C1152	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Prasinoviridae
KSW-C-S3C1308	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C-S2C2211	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C-S3C509	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C-S2C1996	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S2C869	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S5C2205_1	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	other_Nucleocytoviricota
KSW-C-S7C11881	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-C-S1C1545	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S1C840	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S1C6532	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S2C4622	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S5C4585	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-k141_1122676||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S2C2488	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Prasinoviridae
KSW-C-S8C2862	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-C-S8C8185	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C-S5C29681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C-k141_1451040||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-C-S2C14093	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C-k141_2140935||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-C-S7C10198	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C-S1C4799	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-k141_3543698||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-S8C5826	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-S7C35066	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-C-S3C7086	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-C-S2C65278	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C-k141_2959522	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-k141_458117	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C-C0_2-NODE_653_length_33993_cov_26.331487||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C-k141_1216892||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-S2C21095	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-C0_2-NODE_778_length_30529_cov_9.778336	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-k141_1820791	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-C-S3C942	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-k141_2598954||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-k141_1380363||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-k141_207622||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C-k141_2033083||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-C-k141_1505814	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S8C17650	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-V-S7C9276	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-V-S8C19873	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Prasinoviridae
KSW-V-S7C19391	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-V-S7C14798	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-V-S8C17450	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-V-T72_2-NODE_1_length_116638_cov_32.454483||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-V-S4C14504	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-V-S3C13890	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S7C17355	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S1C79	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_989183||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S8C18226	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S8C16994	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_911814||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-V-S7C9426	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_432718||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S7C19441	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S7C15497	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S4C9579	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S7C17812	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-V-S7C12941	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S1C17358	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S3C9479	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S3C14099	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-V-S3C19205	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-V-S8C18019	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S7C14785	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S5C229	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-k141_344446||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S3C3304	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S2C15526	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S3C14505	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S6C382	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_494444||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S6C11749	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S8C7655	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-C0_2-NODE_2_length_38543_cov_8.248025||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_396850	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-V-k141_491320	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_698034||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
