vOTUs	Kindom	Phylum	Class	Order	Family
KSW-cf_coassembly_k141_907192||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_428457||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-cf_coassembly_k141_1122676||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3034229||full	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	other_Nucleocytoviricota
KSW-C72_1_C_NODE_24_length_155300_cov_30.128957||full_1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_2_C_NODE_14_length_146525_cov_14.322121||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_898290||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3923619||full_1	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	other_Nucleocytoviricota
KSW-C72_2_C_NODE_38_length_142231_cov_25.555572||full	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	other_Nucleocytoviricota
KSW-cf_coassembly_k141_3827051||full	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	other_Nucleocytoviricota
KSW-cf_coassembly_k141_2377284||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-T72_2_V_NODE_1_length_116638_cov_32.454483||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-cf_coassembly_k141_3933066||full	Viruses	Nucleocytoviricota	Megaviricetes	Pandoravirales	other_Nucleocytoviricota
KSW-C0_2_C_NODE_31_length_113388_cov_36.165265||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3499616_1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C72_2_C_NODE_77_length_111426_cov_28.019018||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-cf_coassembly_k141_149473||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3334150||full	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_1088822||full	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_1816490||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_515434||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3740526||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3824263||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3809566||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_2203822||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C72_2_V_NODE_1_length_95852_cov_10.476466||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-cf_coassembly_k141_764696||full	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_2443410||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C0_2_C_NODE_56_length_93055_cov_25.399753||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2629445||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_1729297||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_924422||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-cf_coassembly_k141_350987||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-T0_1_C_NODE_196_length_89543_cov_7.627078||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_1138748||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-cf_coassembly_k141_2845557||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-cf_coassembly_k141_2786329||full	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-T0_1_V_NODE_1_length_85718_cov_15.650713||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-cf_coassembly_k141_1137852||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_2_C_NODE_71_length_85509_cov_14.458808||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_999024||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_1_C_NODE_115_length_93443_cov_50.136313_1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2449798||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_2382471||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_275209||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2702628||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_1180611||full	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_1918860||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C72_2_V_NODE_2_length_76320_cov_18.241133||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-cf_coassembly_k141_2936440	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_461418||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_3237009||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C72_2_V_NODE_3_length_73377_cov_76.935258||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-cf_coassembly_k141_977803||full	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	other_Nucleocytoviricota
KSW-cf_coassembly_k141_3501946||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_977734||full	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Prasinoviridae
KSW-cf_coassembly_k141_1839885||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_119634||full_1	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_3039522||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C72_1_V_NODE_1_length_69953_cov_198.780866||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-vf_coassembly_k141_389744||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-cf_coassembly_k141_421254||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-vf_coassembly_k141_72160||full	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_1115547||full	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	other_Nucleocytoviricota
KSW-cf_coassembly_k141_1247684||full	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-vf_coassembly_k141_989183||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-cf_coassembly_k141_3181047||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_566115||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_2_C_NODE_154_length_65523_cov_10.842320||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_1099074||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-C0_2_C_NODE_157_length_65092_cov_30.826407||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_1771017||full	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	other_Nucleocytoviricota
KSW-cf_coassembly_k141_3296187||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2980198||full	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	other_Nucleocytoviricota
KSW-C0_2_C_NODE_170_length_63830_cov_11.402603||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_744393||full	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	other_Nucleocytoviricota
KSW-cf_coassembly_k141_3101010||full	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Prasinoviridae
KSW-vf_coassembly_k141_231734||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C72_1_C_NODE_236_length_62476_cov_10.985518||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_1451040||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
