group	abundance
C0	1.140108352
C0	0.564102619
C0	1.119460382
C0	1.056577521
C0	1.181522949
C0	1.789799806
C0	1.739146052
C0	2.247258448
C63	0.381745821
C63	0.404359102
C63	0.423960708
C63	0.381997832
C63	0.422615165
C63	0.382693834
C63	0.514341474
C63	2.397195598
C63	0.363269354
C63	0.378027284
C63	0.758534785
C63	0.830286957
C63	1.068670368
C63	0.459027014
C63	0.694488468
C63	0.971884084
C63	0.790542427
C63	0.336784433
C63	0.317857978
C63	0.529909905
C63	0.73016923
C63	0.747193984
C63	0.617041775
C63	1.078839286
C63	0.711335945
C63	0.48723852
C63	0.331288503
C63	1.202477446
C63	0.558084526
C63	0.721787375
C63	0.316075172
C63	0.648658235
C63	0.866830193
C63	0.990228624
C63	0.645438069
C63	0.578497141
C63	0.76158252
C63	0.510925682
C63	0.621076528
C63	0.782924764
C63	0.252522283
C63	0.505390592
C63	0.403366677
C63	0.604962422
C63	0.765634413
C63	0.944821734
C63	0.689592745
C63	0.627650165
C63	0.539025411
C63	0.470556295
C63	0.576404267
C63	0.280748914
C63	0.350162217
C63	0.663916757
C63	1.072817493
C63	0.492072346
C63	0.507473065
C63	0.599233928
C63	0.945617638
C63	0.65718353
C63	0.26451312
C63	0.289527371
C63	0.229558958
C63	0.841797718
C63	0.431707011
C63	0.32116452
C63	0.395408927
C63	0.409594783
C63	0.259865503
C63	0.60514934
C63	0.264139771
C63	0.613963249
C63	0.891433917
C63	0.461574994
C63	0.98303352
C63	0.510684659
C63	0.538675811
C63	0.279854749
C63	0.358422336
C63	0.430286763
C63	0.352553537
C63	0.252635235
C63	0.253056325
C63	0.836627737
C63	2.035384325
T0	0.494117037
T0	0.520028169
T0	0.455839124
T0	0.523909986
T0	1.10000248
T0	2.303489032
T0	0.433583951
T0	0.353697933
T0	0.36314203
T0	0.491328112
T0	1.485791135
T0	1.804497186
T63	0.497521103
T63	0.520369645
T63	0.616898868
T63	1.241924556
T63	0.740305493
T63	1.013082553
T63	0.350581018
T63	1.169247776
T63	0.966102198
T63	0.465776572
T63	1.281568607
T63	0.241410095
T63	0.24320806
T63	1.232081402
T63	0.720365433
T63	0.272560662
T63	0.289969262
T63	0.337827966
T63	1.034651394
T63	0.42057755
T63	0.400644607
T63	1.137209365
T63	0.634967444
T63	0.638161266
T63	0.259420915
T63	0.822865464
T63	0.970269357
T63	0.386309172
T63	1.131570453
T63	0.467787025
T63	0.216568791
T63	0.538177599
T63	1.073886483
T63	0.353781231
T63	0.391201481
T63	0.594510578
T63	1.241431915
T63	0.90849133
T63	0.184000723
T63	0.492730979
T63	0.19557954
T63	0.473098062
T63	0.981604034
T63	0.39294422
T63	1.125524368
T63	1.023706934
T63	0.844306804
T63	0.326197397
T63	0.450093859
T63	0.472087325
T63	0.265290593
T63	1.022876704
T63	0.528288382
T63	0.212396879
T63	0.242804199
T63	0.78825298
T63	0.216667826
T63	0.635996555
T63	0.38611187
T63	0.756916408
T63	0.328643016
T63	1.050548646
T63	1.097393305
T63	0.711134142
T63	0.929358769
T63	0.852587151
T63	0.165454357
T63	0.553787277
T63	0.824411287
T63	0.904701938
T63	0.198530419
T63	0.256984493
T63	0.30589465
T63	0.191535115
T63	0.30670368
T63	0.224009221
T63	1.826787588
T63	0.61470329
T63	0.635078649
T63	1.122964841
T63	1.946123472
T63	0.980370661
T63	1.810802878
T63	0.301162283
T63	0.370425352
T63	1.865077016
T63	0.627967777
T63	1.759146809
T63	0.927466606
T63	0.441431385
T63	0.326349934
T63	2.017751419
T63	0.263832358
T63	0.640551465
T63	1.963987415
T63	0.462362819
T63	1.564470789
T63	0.514246963
T63	0.268693363
T63	0.258737848
T63	0.69058382
T63	0.779745655
T63	0.781866583
T63	1.833644257
T63	0.951323771
T63	0.499233998
T63	0.640172451
T63	1.951725179
T63	0.575091042
T63	0.815217314
T63	0.435567288
T63	0.56289899
T63	1.594379223
T63	1.796605621
T63	0.798706051
T63	0.32813884
T63	1.848165708
T63	0.968043084
T63	0.489759614
T63	0.379681568
T63	0.736731497
T63	1.771241554
T63	0.351980128
T63	0.45154152
T63	0.755546466
T63	0.313821364
T63	1.362345454
T63	1.961237209
T63	1.701445502
T63	0.670419657
T63	0.338787268
T63	0.537283072
T63	0.693094124
T63	0.440426448
T63	0.981974364
T63	1.704683702
T63	0.348798976
T63	1.874236682
T63	0.412400481
T63	1.8351586
T63	0.44715876
T63	1.540964345
T63	0.238504092
T63	0.710615375
T63	0.73305178
T63	0.939133608
T63	0.574558818
T63	1.81913083
T63	0.315639274
T63	0.333725718
T63	0.831812526
T63	0.487190771
T63	1.570725819
T63	0.420220983
T63	0.34353967
T63	0.282737875
T63	1.197828251
T63	0.253613099
T63	1.416472265
T63	0.425666054
T63	1.762225356
T63	1.80004384
T63	1.49958985
T63	1.539844847
T63	1.642758979
T63	0.523201397
T63	1.388163463
T63	0.312049991
T63	0.324383381
T63	1.637715094
T63	0.323429289
T63	0.420955818
T63	0.618268589
T63	0.616217118
T63	0.266533528
T63	0.456236181
T63	0.369893774
T63	0.507019252
T63	1.259544092
