Contig	C0_1_C	C0_2_C	C63_1_C	C63_2_C	T0_1_C	T0_2_C	T63_1_C	T63_2_C	aveC63-C0	aveT63-T0
KSW-T63_1_C_NODE_1940_length_18501_cov_5.009704	0	0	0	0	0	0	10.327575	10.695826	0	10.5117005
KSW-T63_1_C_NODE_3857_length_11604_cov_5.768811	0	0	0	0	0	0	11.280097	9.971471	0	10.625784
KSW-cf_coassembly_k141_2689508||full	0	0	0	0	0	0	0	7.492016	0	3.746008
KSW-cf_coassembly_k141_1749113||full	0	0	0	36.65135	0	0	44.878002	40.735058	18.325675	42.80653
KSW-cf_coassembly_k141_3499455||full	0	0	0	0	0	0	4.4526105	17.804127	0	11.12836875
KSW-cf_coassembly_k141_3500842||full	0	0	0	0	0	0	6.066206	13.86885	0	9.967528
KSW-cf_coassembly_k141_277224||full	0	0	0	0	0	0	11.730611	13.293119	0	12.511865
KSW-cf_coassembly_k141_949622||full	0	0	0	5.495051	0	0	7.5307627	6.8704553	2.7475255	7.200609
KSW-cf_coassembly_k141_2430456||full	0	0	0	0	0	0	4.496868	11.492018	0	7.994443
KSW-cf_coassembly_k141_689929||full	0	0	0	5.377084	0	0	7.0762286	5.949579	2.688542	6.5129038
KSW-cf_coassembly_k141_3381873||full	0	0	0	0	0	0	3.8371973	16.12965	0	9.98342365
KSW-cf_coassembly_k141_2724345||full	0	0	0	0	0	0	0	7.6289735	0	3.81448675
KSW-cf_coassembly_k141_2588707||full	0	0	0	0	0	0	29.816265	85.73608	0	57.7761725
KSW-cf_coassembly_k141_1116323||full	0	0	32.736397	47.075157	0	0	63.698814	79.008064	39.905777	71.353439
KSW-cf_coassembly_k141_1255669||full	0	0	0	0	0	0	3.7042022	14.98047	0	9.3423361
KSW-cf_coassembly_k141_3317551||full	0	0	0	0	0	0	4.147916	11.878942	0	8.013429
KSW-cf_2nd_assembly_k141_2905772||full	0	0	10.308742	116.60971	0	0	112.439674	236.95934	63.459226	174.699507
KSW-T63_2_C_NODE_1009_length_30464_cov_7.167911||full	0	0	0	0	0	0	0	11.058569	0	5.5292845
KSW-T63_2_C_NODE_1419_length_25119_cov_7.731009||full	0	0	0	0	0	0	0	12.209104	0	6.104552
KSW-T63_2_C_NODE_1743_length_22140_cov_90.959701||full	0	0	0	0	0	0	48.11686	135.36841	0	91.742635
KSW-T63_2_C_NODE_1924_length_20828_cov_69.772301||full	0	0	28.520159	43.961357	0	0	63.866802	79.09318	36.240758	71.479991
KSW-T63_2_C_NODE_3508_length_14141_cov_4.384282||full	0	0	0	0	0	0	0	7.0725737	0	3.53628685
KSW-T63_2_C_NODE_4246_length_12425_cov_3.672110||full	0	0	0	0	0	0	0	5.9347367	0	2.96736835
KSW-vf_coassembly_k141_488963||full	0	0	5.57639	48.40465	0	0	43.94799	139.38562	26.99052	91.666805
KSW-vf_coassembly_k141_455201||full	0	0	0	0	0	0	36.911304	107.71072	0	72.311012
KSW-C-S8C1711	4.13974	8.052352	7.608166	3.4204798	6.678037	9.167774	10.43015	29.169184	-0.5817231	11.8767615
KSW-C-S8C1803	0	0	0	0	0	0	70.90542	137.17877	0	104.042095
KSW-V-S7C9276	0	0	31.742785	224.09471	0	0	164.38945	355.3398	127.9187475	259.864625
KSW-V-S8C17650	0	0	42.70031	900.472	0	0	990.0536	957.3203	471.586155	973.68695
