	changed_abundance
Chitinophagales_Saprospiraceae_1	1.651421606
Chitinophagales_Saprospiraceae_2	0.603745178
Chitinophagales_Saprospiraceae_3	0.889013583
Enterobacterales_Alteromonadaceae_1	0.924435535
Enterobacterales_Alteromonadaceae_2	2.417984801
Enterobacterales_Alteromonadaceae_3	0.526566271
Rhodobacterales_Rhodobacteraceae_1	0.35975337
Rhodobacterales_Rhodobacteraceae_2	-0.42586766
Rhodobacterales_Rhodobacteraceae_3	0.361188963
Flavobacteriales_Flavobacteriaceae_1	0.155272264
Flavobacteriales_Flavobacteriaceae_2	-0.422821829
Flavobacteriales_Flavobacteriaceae_3	0.686987113
Enterobacterales_Vibrionaceae_1	-0.397819522
Enterobacterales_Vibrionaceae_2	-0.854463686
Enterobacterales_Vibrionaceae_3	0.643327292
Micrococcales_Microbacteriaceae_1	-0.776069298
Micrococcales_Microbacteriaceae_2	-1.281109675
Micrococcales_Microbacteriaceae_3	-0.057217942
Pseudomonadales_SAR86_clade_1	-1.721255262
Pseudomonadales_SAR86_clade_2	0
Pseudomonadales_SAR86_clade_3	0.872124178
