from	to	weight
K-k141_1305767||full	K-bin.22.orig	1
K-NODE_3236_length_7164_cov_6.680264	K-bin.22.orig	1
K-NODE_4283_length_6392_cov_7.146757||full	K-bin.22.orig	1
K-NODE_5041_length_5954_cov_7.645533	K-bin.22.orig	1
K-sec_assembly_k141_2105171	K-bin.22.orig	1
KSW-cf_coassembly_k141_1099249||full	K-bin.22.orig	1
KSW-cf_coassembly_k141_121012||full	K-bin.22.orig	1
KSW-cf_coassembly_k141_1647831||full	K-bin.22.orig	1
KSW-T63_1_C_NODE_2222_length_16975_cov_21.224764||full	K-bin.22.orig	1
K-k141_1229656||full	K-bin.46.orig	1
K-k141_165712||full	K-bin.46.orig	1
K-k141_1998447||full	K-bin.46.orig	1
KSW-T63_2_C_NODE_13331_length_5330_cov_3.817630||full	K-bin.46.orig	1
KSW-T63_2_C_NODE_9618_length_6834_cov_7.615725||full	K-bin.46.orig	1
KSW-cf_coassembly_k141_3649867||full	K-bin.59.orig	1
KSW-cf_coassembly_k141_3937330||full	K-bin.59.orig	1
K-NODE_4114_length_7679_cov_6.024003	K-bin.63.orig	1
KSW-cf_coassembly_k141_3095342||full	K-bin.63.orig	1
K-NODE_3935_length_6626_cov_9.862274||full	K-bin.88.strict	1
KSW-C63_1_C_NODE_5241_length_9673_cov_6.838636||full	K-bin.88.strict	1
KSW-cf_coassembly_k141_3863818	K-bin.88.strict	1
KSW-T63_2_C_NODE_2992_length_15770_cov_8.316513||full	K-bin.88.strict	1
K-NODE_8015_length_6507_cov_14.792622||full	KSW-bin.147.orig	1
K-sec_assembly_k141_2105171	KSW-bin.147.orig	1
KSW-cf_2nd_assembly_k141_3230851||full	KSW-bin.147.orig	1
KSW-cf_2nd_assembly_k141_509135||full	KSW-bin.147.orig	1
KSW-cf_coassembly_k141_288273||full	KSW-bin.147.orig	1
KSW-cf_coassembly_k141_2963717	KSW-bin.147.orig	1
KSW-cf_coassembly_k141_3598033||full	KSW-bin.147.orig	1
KSW-T63_1_C_NODE_12016_length_5134_cov_4.081709||full	KSW-bin.147.orig	1
K-NODE_8015_length_6507_cov_14.792622||full	KSW-bin.259.orig	1
K-sec_assembly_k141_2105171	KSW-bin.259.orig	1
KSW-cf_2nd_assembly_k141_3230851||full	KSW-bin.259.orig	1
KSW-cf_2nd_assembly_k141_509135||full	KSW-bin.259.orig	1
KSW-cf_coassembly_k141_2849169||full	KSW-bin.259.orig	1
KSW-cf_coassembly_k141_288273||full	KSW-bin.259.orig	1
