Contig	S12_0_3	S12_12_15	S12_21_24	S3_0_3	S3_12_15	S3_21_24	S9_0_3	S9_12_15	S9_21_24
KSD-NODE_116_length_63440_cov_8.000615||full	19.840998	14.867452	19.90948	23.395588	40.01552	58.540092	0	7.992483	19.379583
KSD-NODE_194_length_51558_cov_7.941887||full	13.797915	0	9.285912	0	0	0	0	0	13.545129
KSD-NODE_212_length_49496_cov_11.750956||full	33.242893	0	0	0	0	0	0	0	0
KSD-NODE_262_length_44201_cov_11.720043||full	33.074585	0	0	0	0	0	0	0	0
KSD-NODE_265_length_43854_cov_378.244914||full	1015.64105	0	0	0	0	0	0	0	0
KSD-NODE_267_length_43819_cov_9.723540||full	27.207872	25.407827	18.868624	0	19.73938	41.7195	0	18.91725	14.197855
KSD-NODE_304_length_41737_cov_32.258961||full	89.63406	14.018509	15.473039	0	0	0	0	0	0
KSD-NODE_306_length_41577_cov_11.785921||full	31.415962	0	0	0	0	0	0	0	11.792222
KSD-NODE_316_length_40945_cov_20.487038||full	55.94145	54.852352	142.08203	21.843494	36.801147	42.284576	93.06706	48.06965	61.574577
KSD-NODE_329_length_40221_cov_8.147339||full	23.018806	0	0	0	0	0	0	0	0
KSD-NODE_332_length_40042_cov_10.820492||full	30.528412	0	0	0	0	0	0	0	0
KSD-NODE_333_length_39905_cov_12.858168||full	34.0212	55.077053	15.838712	0	45.096516	29.07357	0	0	0
KSD-NODE_337_length_39669_cov_19.090448||full	54.234108	8.878239	1.6162035	0	0	0	0	0	0
KSD-NODE_355_length_38861_cov_13.829047||full	37.957394	0	0	0	0	0	0	0	0
KSD-NODE_375_length_37801_cov_15.416309||full	24.142452	43.979126	54.06421	0	11.088588	5.3173723	0	38.73122	49.1029
KSD-NODE_427_length_35638_cov_9.954248||full	23.296282	2.8528345	8.425368	0	6.666085	11.282903	0	0	17.256973
KSD-NODE_430_length_35565_cov_6.343199||full	13.9401455	0	0	0	0	0	0	0	0
KSD-NODE_467_length_33668_cov_7.716062||full	21.694437	0	0	0	0	0	0	0	0
KSD-NODE_485_length_32874_cov_7.249520||full	20.4663	0	0	0	0	0	0	0	0
KSD-NODE_487_length_32793_cov_7.230802||full	19.209595	8.05301	12.424462	0	18.37225	9.411151	0	22.482538	26.723143
KSD-NODE_531_length_31270_cov_5.884254||full	16.646656	0	0	0	0	0	0	0	0
KSD-NODE_565_length_30115_cov_20.027578||full	45.556717	53.13307	35.257206	0	10.076104	18.455837	0	10.701187	23.959291
KSD-NODE_616_length_28642_cov_9.361983||full	24.968586	0	0	0	0	0	0	0	0
KSD-NODE_665_length_27381_cov_15.376930||full	25.101923	20.438774	100.091896	0	7.035247	4.5834413	0	14.508603	60.741604
KSD-NODE_683_length_27012_cov_7.107653||full	20.163164	0	0	0	0	0	0	0	0
KSD-NODE_711_length_26333_cov_5.416508||full	15.595512	0	0	0	0	0	0	0	0
KSD-NODE_734_length_26008_cov_14.288945||full	21.683558	11.561981	13.835506	70.45725	61.98244	96.112144	0	55.279583	108.086845
