vOTUs	S12_0_3	S12_12_15	S12_21_24	S3_0_3	S3_12_15	S3_21_24	S9_0_3	S9_12_15	S9_21_24
KSD-S1C1999	4.073794	0	0	473.1291	0	0	366.62726	7.506925	16.988754
KSD-k141_6778508	0	0	0	45.811546	0	0	127.26169	3.59816	0
KSD-k141_1705525||full	0	0	0	37.92477	0	0	105.25524	0	0
KSD-k141_6747723||full	0	0	0	121.31527	0	0	75.05134	0	0
KSD-k141_21338539||full	0	0	0	28.477633	0	0	65.682434	0	0
KSD-k141_22729647||full	0	0	0	19.230925	0	0	37.725327	0	0
KSD-k141_11516548||full	0	0	0	31.695112	0	0	30.366373	0	0
KSD-k141_22303924||full	0	0	0	20.071232	0	0	24.287828	0	0
KSD-S9C2417	8.790578	8.092576	65.199974	16.106247	1.7526438	8.597661	23.587894	24.476513	46.95847
KSD-NODE_117_length_48016_cov_9.744376||full	4.5082707	4.8378677	13.032956	15.80319	0	0	20.768942	12.6552725	13.087751
KSD-NODE_84_length_56196_cov_9.507116||full	4.3977723	4.61117	12.13062	0	0	0	19.766203	12.798329	11.540651
KSD-NODE_1533_length_15292_cov_8.406576||full	3.5393522	4.272748	11.025476	0	0	0	17.980888	11.84892	10.396043
KSD-k141_20311111||full	0	4.3396616	10.846637	0	0	0	17.365946	12.922079	11.25407
KSD-NODE_642_length_23446_cov_9.142149||full	4.496695	5.3279123	11.937128	0	0	0	16.659195	11.963386	13.439499
KSD-k141_4130402||full	2.9895442	3.712854	9.795009	0	0	0	15.685506	10.855864	12.436672
KSD-S8C15301	27.522442	50.63464	105.24323	11.592251	2.254978	9.915513	15.26672	10.1279745	68.560234
KSD-k141_4258908_2	0	3.5457666	9.820847	0	0	0	14.184263	8.153723	7.5010924
KSD-NODE_525_length_26148_cov_8.983444||full	3.4533458	4.1756973	10.596186	0	0	0	14.051345	11.256054	11.052151
KSD-NODE_79_length_57310_cov_6.226216||full	0	0	8.137228	0	0	0	13.261117	0	0
KSD-k141_7244143||full	0	2.6380043	8.073261	0	0	0	12.122314	10.360034	10.032746
KSD-NODE_1385_length_16065_cov_9.302686||full	0	3.3658645	9.431653	0	0	0	11.896192	7.1861777	8.197508
