id,label
C0_1_V_NODE_126_length_7958_cov_4.229280,KSW
C0_1_V_NODE_135_length_7789_cov_7.799845,KSW
C0_1_V_NODE_191_length_6407_cov_19.287783,KSW
C0_1_V_NODE_224_length_6021_cov_3.971673,KSW
C0_1_V_NODE_248_length_5716_cov_22.275040||full,KSW
C0_1_V_NODE_269_length_5560_cov_10.861580,KSW
C0_1_V_NODE_278_length_5472_cov_517.713679||full,KSW
C0_1_V_NODE_282_length_5428_cov_3.879769||full,KSW
C0_1_V_NODE_291_length_5364_cov_4.496139,KSW
C0_1_V_NODE_294_length_5336_cov_9.533800||full,KSW
C0_1_V_NODE_321_length_5208_cov_8.298855,KSW
C0_1_V_NODE_347_length_5086_cov_10.952892,KSW
C0_1_V_NODE_350_length_5073_cov_79.168792,KSW
C0_1_V_NODE_76_length_10127_cov_22.856136,KSW
C0_2_C_NODE_653_length_33993_cov_26.331487||full,KSW
C0_2_C_NODE_778_length_30529_cov_9.778336,KSW
C0_2_V_NODE_103_length_7657_cov_4.429755||full,KSW
C0_2_V_NODE_111_length_7426_cov_20.893366,KSW
C0_2_V_NODE_112_length_7421_cov_116.015884||full,KSW
C0_2_V_NODE_127_length_6970_cov_4.758062,KSW
C0_2_V_NODE_135_length_6749_cov_7475.127577,KSW
C0_2_V_NODE_136_length_6741_cov_5.969488||full,KSW
C0_2_V_NODE_138_length_6659_cov_4.723047||full,KSW
C0_2_V_NODE_147_length_6471_cov_4.346478||full,KSW
C0_2_V_NODE_150_length_6418_cov_6.205878,KSW
C0_2_V_NODE_163_length_6248_cov_68.101082||full,KSW
C0_2_V_NODE_168_length_6156_cov_13.326176,KSW
C0_2_V_NODE_182_length_5988_cov_30.018203||full,KSW
C0_2_V_NODE_199_length_5822_cov_95.549159,KSW
C0_2_V_NODE_2_length_38543_cov_8.248025||full,KSW
C0_2_V_NODE_203_length_5778_cov_3.659619||full,KSW
C0_2_V_NODE_221_length_5632_cov_8.300520,KSW
C0_2_V_NODE_229_length_5564_cov_9.884371,KSW
C0_2_V_NODE_241_length_5468_cov_25.698319||full,KSW
C0_2_V_NODE_261_length_5309_cov_1290.649981,KSW
C0_2_V_NODE_264_length_5278_cov_5.114494||full,KSW
C0_2_V_NODE_272_length_5240_cov_17.742334||full,KSW
C0_2_V_NODE_281_length_5155_cov_12.163922,KSW
C0_2_V_NODE_284_length_5145_cov_11.619450,KSW
C0_2_V_NODE_292_length_5079_cov_31.475916,KSW
C0_2_V_NODE_297_length_5058_cov_95.484509,KSW
C0_2_V_NODE_299_length_5043_cov_7.937851||full,KSW
C0_2_V_NODE_302_length_5026_cov_4.666063||full,KSW
C0_2_V_NODE_306_length_5010_cov_6.635923||full,KSW
C0_2_V_NODE_33_length_13489_cov_10.670091,KSW
C0_2_V_NODE_47_length_11054_cov_123.581780,KSW
C0_2_V_NODE_73_length_8661_cov_4.831048,KSW
C0_2_V_NODE_80_length_8359_cov_45.037211||full,KSW
C72_1_V_NODE_13_length_33338_cov_15.601238||full,KSW
C72_1_V_NODE_258_length_7864_cov_13.649763||full,KSW
C72_1_V_NODE_419_length_6345_cov_15.342130||full,KSW
C72_1_V_NODE_473_length_5985_cov_3.974368||full,KSW
C72_1_V_NODE_482_length_5902_cov_24.197879||full,KSW
C72_1_V_NODE_495_length_5823_cov_455.965153||full,KSW
C72_1_V_NODE_496_length_5821_cov_23.655741||full,KSW
C72_1_V_NODE_500_length_5804_cov_334.303183||full,KSW
C72_1_V_NODE_502_length_5796_cov_7.470650||full,KSW
C72_1_V_NODE_515_length_5691_cov_4.588361,KSW
C72_1_V_NODE_547_length_5450_cov_7.957183,KSW
C72_1_V_NODE_616_length_5104_cov_7.003763,KSW
C72_2_V_NODE_253_length_9053_cov_226.475772,KSW
C72_2_V_NODE_281_length_8681_cov_159.137839||full,KSW
C72_2_V_NODE_481_length_6482_cov_175.435818||full,KSW
C72_2_V_NODE_522_length_6168_cov_62.783903||full,KSW
C72_2_V_NODE_533_length_6100_cov_6.461042||full,KSW
C72_2_V_NODE_550_length_5978_cov_10.570657,KSW
C72_2_V_NODE_632_length_5537_cov_19.794053,KSW
C72_2_V_NODE_666_length_5370_cov_32.618250,KSW
C72_2_V_NODE_681_length_5333_cov_64.917961||full,KSW
C72_2_V_NODE_731_length_5143_cov_7.888365,KSW
cf_coassembly_k141_1122676||full,KSW
cf_coassembly_k141_1216892||full,KSW
cf_coassembly_k141_1380363||full,KSW
cf_coassembly_k141_1451040||full,KSW
cf_coassembly_k141_1505814,KSW
cf_coassembly_k141_1820791,KSW
cf_coassembly_k141_2033083||full,KSW
cf_coassembly_k141_207622||full,KSW
cf_coassembly_k141_2140935||full,KSW
cf_coassembly_k141_2598954||full,KSW
cf_coassembly_k141_2959522,KSW
cf_coassembly_k141_3543698||full,KSW
cf_coassembly_k141_458117,KSW
cf_coassembly_k141_608200,KSW
K-k141_1038405,K
K-k141_1040914||full,K
K-k141_1051769,K
K-k141_1054177,K
K-k141_1058581,K
K-k141_1076151,K
K-k141_108293,K
K-k141_1093391,K
K-k141_1097612||full,K
K-k141_1115830||0_partial_1,K
K-k141_112902||full,K
K-k141_1131618||full,K
K-k141_114219||0_partial,K
K-k141_1151177,K
K-k141_1151177||full_1,K
K-k141_1151965,K
K-k141_115398||full,K
K-k141_1162289,K
K-k141_1168602,K
K-k141_1168602||full,K
K-k141_1174858,K
K-k141_1184849,K
K-k141_1192600||full,K
K-k141_1201173||full,K
K-k141_120199||full,K
K-k141_1204602,K
K-k141_1204602||full,K
K-k141_1207716,K
K-k141_1231043||full,K
K-k141_1241816,K
K-k141_1245731,K
K-k141_1257844||full,K
K-k141_1263662||full,K
K-k141_126649_1,K
K-k141_1267472,K
K-k141_1281523,K
K-k141_1287812,K
K-k141_1301243,K
K-k141_1323982,K
K-k141_1324522,K
K-k141_1334576||full,K
K-k141_135598||full,K
K-k141_1359786,K
K-k141_1372701||full,K
K-k141_1378020||full_1,K
K-k141_1382546,K
K-k141_1386017||full,K
K-k141_1386789,K
K-k141_1390746||full_1,K
K-k141_1399505,K
K-k141_1416640,K
K-k141_1424683,K
K-k141_1437082||full_1,K
K-k141_1455983||full,K
K-k141_1458057,K
K-k141_1460947||full,K
K-k141_1465457,K
K-k141_1466490,K
K-k141_1467387||full,K
K-k141_1474233,K
K-k141_1495968,K
K-k141_1498906,K
K-k141_1503257,K
K-k141_1525577,K
K-k141_1531716,K
K-k141_1536798,K
K-k141_1540842||full,K
K-k141_1542400||full,K
K-k141_1542773,K
K-k141_1552469,K
K-k141_1553797||full,K
K-k141_1565846,K
K-k141_1568648,K
K-k141_1570735||full,K
K-k141_1578887,K
K-k141_158255,K
K-k141_1596467,K
K-k141_1606875||full,K
K-k141_1611875,K
K-k141_1621950,K
K-k141_1622159,K
K-k141_1625707,K
K-k141_1651536,K
K-k141_1663699,K
K-k141_1663699||full,K
K-k141_1671220,K
K-k141_1673837||full,K
K-k141_1680397||full,K
K-k141_1683900,K
K-k141_1690420,K
K-k141_1696469,K
K-k141_1713971||full,K
K-k141_1717230,K
K-k141_1723647,K
K-k141_172437||full,K
K-k141_1729603,K
K-k141_173109||full,K
K-k141_1735580,K
K-k141_1740406||full,K
K-k141_174630||full,K
K-k141_1754102||full,K
K-k141_1760764,K
K-k141_1761858||full,K
K-k141_1770371,K
K-k141_177514,K
K-k141_177815,K
K-k141_1779744||full,K
K-k141_1787620,K
K-k141_1796270,K
K-k141_1825996,K
K-k141_1872697||full,K
K-k141_1876056||full,K
K-k141_1876147||full,K
K-k141_188836||full,K
K-k141_1891339,K
K-k141_1893791,K
K-k141_1903446,K
K-k141_1905933,K
K-k141_1933390,K
K-k141_1934027||full,K
K-k141_1943901,K
K-k141_194446,K
K-k141_1946401,K
K-k141_1947858,K
K-k141_1962817||full,K
K-k141_1978640||full,K
K-k141_1981840||full,K
K-k141_1990915,K
K-k141_2003003||full,K
K-k141_2003147||full,K
K-k141_2017688||full,K
K-k141_2045402,K
K-k141_20536,K
K-k141_2061689||full,K
K-k141_2065172,K
K-k141_2065702,K
K-k141_2072961||full,K
K-k141_2073488,K
K-k141_2073488||full,K
K-k141_2073569,K
K-k141_2073569||full,K
K-k141_2073572||full,K
K-k141_2073647||full,K
K-k141_209945,K
K-k141_224354,K
K-k141_224874,K
K-k141_230653,K
K-k141_231528,K
K-k141_232717,K
K-k141_234223||full,K
K-k141_237625||full,K
K-k141_247130,K
K-k141_248761||full,K
K-k141_253698,K
K-k141_258853,K
K-k141_264327,K
K-k141_267532,K
K-k141_268458,K
K-k141_268458||full,K
K-k141_277642||full,K
K-k141_294245,K
K-k141_313173,K
K-k141_323573||full,K
K-k141_325136||full,K
K-k141_333875||full_1,K
K-k141_336177,K
K-k141_362620,K
K-k141_386958,K
K-k141_395032||full,K
K-k141_40591,K
K-k141_408567,K
K-k141_408567||full,K
K-k141_408800||full,K
K-k141_40984,K
K-k141_416182,K
K-k141_416182||full,K
K-k141_419503||full,K
K-k141_419606,K
K-k141_422530||full,K
K-k141_425186,K
K-k141_434541||full,K
K-k141_437838,K
K-k141_437838||full,K
K-k141_445610,K
K-k141_445797,K
