PathwayL2	C0_1_V	C0_2_V	C72_1_V	C72_2_V	T0_1_V	T0_2_V	T72_1_V	T72_2_V
Protein families: genetic information processing	1248.642372	694.7839935	1476.774061	1893.689066	1817.165085	1192.361161	2278.639127	2848.489781
Protein families: metabolism	3496.295282	2170.711585	3659.247025	11191.60056	3910.497487	2234.083893	19171.02292	11126.76283
Protein families: signaling and cellular processes	1562.972305	872.8515305	2360.070856	2503.044226	2030.160745	1227.055214	3534.762789	3446.447141
Cell growth and death	1702.415119	228.9691494	1892.086048	2269.487114	2327.702994	1262.75162	2013.01548	2541.477457
Cell motility	3.540688	0	7.615296	14.3586678	5.3081675	4.618009	13.1636514	8.6473884
Cellular community - prokaryotes	0	0	0	0	0	0	7.49146405	5.4691438
Transport and catabolism	5.1392522	5.2136881	10.6216165	25.6707248	7.3116469	7.88944014	32.43490815	139.241924
Membrane transport	5.1987436	0	0	0	4.7120442	0	4.4306507	4.241989
Signal transduction	9.122592	6.278205	9.542485	22.01238223	11.9614094	4.0410732	41.94408472	179.2311306
Signaling molecules and interaction	0	1.591628	0	1.9685988	0	0.9290492	5.0911311	8.9450664
"Folding, sorting and degradation"	81.3988926	29.7580998	175.5583236	192.8710386	200.0217541	57.8479848	476.1250866	586.8820005
Replication and repair	662.6555919	303.737174	1347.273523	1612.064714	1300.646306	917.3368747	1705.204814	2749.781387
Transcription	45.1554311	19.8686554	12.1964016	54.79194404	31.9772934	13.8409383	65.33603219	268.2435054
Translation	84.347432	53.7943835	112.6526786	207.9507001	131.0340862	52.8157359	226.3872152	522.1416149
Amino acid metabolism	1614.018781	553.7761633	638.0318571	1904.931202	1657.081451	751.8851393	2715.027906	2173.250671
Biosynthesis of other secondary metabolites	0	0	17.5952394	4.48311719	8.7252474	0	19.25061823	10.47251684
Carbohydrate metabolism	404.2716994	354.5450264	723.3150467	13142.60251	402.8800131	191.7677927	10053.47446	19673.90639
Energy metabolism	4.6291063	2.3046186	4.8350937	14.26245706	15.3603993	2.5039162	46.6363575	176.1477492
Glycan biosynthesis and metabolism	39.3951664	29.3117084	64.8728574	102.4029343	91.1359408	22.5727634	175.0828879	240.6655606
Lipid metabolism	14.8552186	1.8769745	24.1046455	27.90672842	24.4896253	3.5472854	121.6085489	220.855154
Metabolism of cofactors and vitamins	590.3155042	122.1744705	914.8067808	6369.001831	679.661754	303.7918759	4972.332974	6286.823164
Metabolism of other amino acids	0	0	0	14.99206083	0	0	17.4384446	116.4374741
Metabolism of terpenoids and polyketides	0	0	0	0	0	0	0	0
Not included in regular maps	0	0	0	0	0	0	0	0
Nucleotide metabolism	778.1386719	590.9644342	1487.74202	6842.858333	1545.630842	1339.784546	5635.933589	7343.748531
Xenobiotics biodegradation and metabolism	0	0	0	0	0	0	0.51798624	2.6959994
Poorly characterized	1182.885911	864.8326844	2142.626631	2253.697699	1869.278306	1152.592538	3425.817707	2512.257012
Unclassified: genetic information processing	13380.51172	5941.798974	10844.4888	18756.93923	15076.6005	7098.881533	19710.49582	13997.95554
Unclassified: metabolism	1032.251053	535.1100794	1062.466145	916.635984	1349.048318	434.7242339	1821.114277	1656.638137
Unclassified: signaling and cellular processes	62.6964879	11.5676623	68.0769856	77.46513019	98.8444042	6.6441421	277.9944361	309.9984373
