PathwayL2	K1_s	K2_s	K1_t	K2_t
Protein families: genetic information processing	17829.7909	24245.98523	783.5521407	7725.869462
Protein families: metabolism	11807.27726	6364.967478	191.3354322	2366.784363
Protein families: signaling and cellular processes	8736.661614	20115.12977	1321.819277	4978.62957
Cell growth and death	1045.327068	2069.217895	12.2343975	134.3699646
Cell motility	4895.83768	8753.133917	225.618518	265.269714
Cellular community - prokaryotes	3943.196199	1989.344889	155.270121	720.671168
Transport and catabolism	8.3100534	494.340286	74.97388	446.940727
Membrane transport	3206.52051	5516.679294	140.9634839	930.0958467
Signal transduction	12181.73326	4976.513214	365.5919535	1828.432353
Signaling molecules and interaction	0	0	0	0
"Folding, sorting and degradation"	753.53776	4796.938213	65.26107	2680.815916
Replication and repair	3917.163288	9651.133227	87.8884141	2635.175282
Transcription	367.7609054	868.988535	53.121298	104.4567171
Translation	1825.111257	8512.256689	1591.849512	1746.604058
Amino acid metabolism	2024.191393	7260.433546	95.312545	1776.225074
Biosynthesis of other secondary metabolites	0	51.355104	0	18.8723037
Carbohydrate metabolism	2382.009798	16744.78494	897.4368903	3167.924064
Energy metabolism	785.1287262	6610.343242	32.7544144	2231.828654
Glycan biosynthesis and metabolism	24.8547989	1271.023968	52.741846	817.902483
Lipid metabolism	1985.252653	1712.57991	86.781906	424.3776403
Metabolism of cofactors and vitamins	2049.418123	9352.172435	73.2900565	2571.392189
Metabolism of other amino acids	419.2962425	1073.570862	36.728934	329.7782507
Metabolism of terpenoids and polyketides	77.3135087	1526.007164	0	1068.54312
Not included in regular maps	0	0	0	0
Nucleotide metabolism	3772.554013	8202.773449	99.9130498	2608.355537
Xenobiotics biodegradation and metabolism	498.041573	46.90033	23.897412	0
Poorly characterized	29573.9384	14603.30521	438.7185501	8684.020258
Unclassified: genetic information processing	9404.105786	12952.66087	378.43489	1918.272302
Unclassified: metabolism	4383.683199	14580.24789	194.0061825	3202.008774
Unclassified: signaling and cellular processes	426.5332274	2006.134413	15.3430993	392.2727921
