PathwayL2	S3_0_3	S3_12_15	S3_21_24	S9_0_3	S9_12_15	S9_21_24	S12_0_3	S12_12_15	S12_21_24
Protein families: genetic information processing	7306.523829	10417.52848	9732.332385	7148.273217	11700.80638	11078.2989	7409.40472	9818.822396	10286.03144
Protein families: metabolism	3030.613533	2492.172861	3369.174488	3074.421406	3281.13251	3973.203758	3756.534457	3688.182399	3398.766591
Protein families: signaling and cellular processes	4428.448009	7055.673126	5564.592166	4181.128005	4266.264758	4503.890113	6851.468526	5141.875071	4284.706169
Cell growth and death	1611.742354	1037.327097	1016.871386	982.4613855	1633.551069	2474.427243	1302.672192	1915.340288	2933.513758
Cell motility	0	54.797404	38.409443	83.51211	14.569445	8.717255	38.2707582	46.0167117	74.4197575
Cellular community - prokaryotes	455.5504845	457.5512296	783.2116516	265.616625	336.0020993	324.5403585	931.3322298	919.806793	763.6408341
Transport and catabolism	36.333652	46.2949518	69.1401659	0	31.9848145	40.8834949	117.64724	55.2312803	84.8442477
Membrane transport	260.237943	343.7394487	498.3602849	269.878831	240.2218296	265.3776543	1213.088329	407.2837953	439.40209
Signal transduction	1671.965006	414.8257746	675.9275064	1774.135113	510.5911483	393.0503383	696.3953204	447.5604236	627.9034076
Signaling molecules and interaction	23.91582	23.6799285	31.728451	0	27.718082	35.51747	24.252331	26.7815253	53.4613781
"Folding, sorting and degradation"	1065.463511	864.6846204	767.3109784	1348.161361	1664.035175	2146.417114	1367.205031	2161.009821	2461.119656
Replication and repair	7889.516484	7019.495009	6130.259579	8230.121118	10876.52077	9491.837038	12171.27894	7467.823185	8231.574945
Transcription	287.616063	318.5897978	447.7668175	40.535145	452.1195129	563.5685205	565.2231152	513.4658378	650.0023754
Translation	1162.318852	1437.066416	2111.745062	932.198795	2270.473248	2590.698213	2436.84596	2440.821786	2803.939007
Amino acid metabolism	1304.160814	1323.537587	1756.141271	872.521458	1794.275598	1680.672814	1650.860725	1834.361511	2123.216283
Biosynthesis of other secondary metabolites	0	50.9684528	81.0320156	0	26.9839268	36.004423	103.8067499	32.4357567	73.3752962
Carbohydrate metabolism	2930.777078	3406.948635	4310.589886	2454.136925	3689.746312	6218.457782	4343.55748	5164.810155	6247.975184
Energy metabolism	400.5071985	748.6336554	1419.710141	535.56384	1080.268571	1215.941916	1400.812293	1438.635441	1376.154541
Glycan biosynthesis and metabolism	673.043168	768.9594201	595.2730956	640.325527	585.3877631	1846.02326	660.9785168	1096.131159	1441.768689
Lipid metabolism	419.516141	378.4971003	641.4715286	290.362978	464.0198744	511.6958418	525.534467	512.1958729	652.5810607
Metabolism of cofactors and vitamins	2547.010732	1861.251012	2743.739466	2594.532961	1933.337497	2259.565314	1723.734711	1985.838602	2099.216451
Metabolism of other amino acids	87.950938	114.7121002	111.7006955	15.856495	179.61084	309.6113365	123.1013318	116.6067433	144.7737641
Metabolism of terpenoids and polyketides	62.625506	107.2403248	188.6207116	41.785618	187.2307514	174.4119991	174.9068922	106.2603012	166.4690758
Not included in regular maps	0	0	0	31.614474	0	0	0	0	0
Nucleotide metabolism	10618.62145	4123.249632	4879.496094	9896.349676	8594.119885	9985.606657	6577.289046	8738.751579	10137.3673
Xenobiotics biodegradation and metabolism	0	49.9133634	80.4923896	0	78.5370261	43.387494	46.6567938	35.2326524	57.4499134
Poorly characterized	6968.412309	6527.347905	9154.707376	3399.140722	8418.055479	7140.864366	9123.937628	7311.06982	6947.132202
Unclassified: genetic information processing	8332.13202	11796.49118	9534.673682	9517.324668	9138.595516	7397.041938	6344.453043	7638.380721	7113.472082
Unclassified: metabolism	8312.947009	4225.649806	5974.652474	6170.924484	6527.870108	7100.313454	17672.00606	6178.407041	6409.676263
Unclassified: signaling and cellular processes	1040.63038	1436.887723	1571.773711	752.130889	1352.624253	2512.411109	1501.760395	1774.55904	2643.145771
