PathwayL2	C0_1_C	C0_2_C	C63_1_C	C63_2_C	T0_1_C	T0_2_C	T63_1_C	T63_2_C
Protein families: genetic information processing	7725.752786	7837.480166	7153.572849	7700.527546	15018.91222	17517.49892	8632.862854	9304.817987
Protein families: metabolism	2341.257639	2936.335792	2351.115404	2891.68871	3854.552198	3994.431364	3165.353796	3181.959341
Protein families: signaling and cellular processes	17093.3647	15355.24038	7148.176757	6646.371028	12585.50431	16610.52357	6208.452033	7437.122276
Cell growth and death	2592.425457	2938.08567	1452.225541	1089.91066	1780.002095	2305.887768	547.173846	505.5327067
Cell motility	89.292586	101.1630725	35.2734867	69.0225878	351.311215	371.098747	107.1561641	100.4792105
Cellular community - prokaryotes	370.4723279	257.7272056	191.0234607	172.3497977	660.257235	719.299745	138.8837628	107.3069144
Transport and catabolism	598.0483526	523.889268	489.9308564	867.4518343	963.356695	942.432539	982.283208	1111.53837
Membrane transport	504.4473656	532.1190867	258.6334375	217.1617299	1033.870917	1601.604504	515.1570302	386.4160726
Signal transduction	1632.431716	1978.360614	1419.732967	1525.330483	2001.362538	2497.035659	1422.803008	1546.80772
Signaling molecules and interaction	60.023487	62.887661	204.3263883	131.8544725	149.248542	132.697204	130.45488	81.021648
"Folding, sorting and degradation"	2042.9593	2195.503774	1380.746026	2276.636468	1403.970288	1653.52176	2837.911902	2958.392682
Replication and repair	6583.230176	8007.973478	8145.01127	9503.581171	9316.764957	9598.942503	9997.288915	11022.73864
Transcription	1311.051685	1589.029022	1811.604325	1992.914556	3827.955488	3503.997689	2060.690917	2594.840898
Translation	9018.170813	6561.668562	7205.352173	6500.596144	26325.68238	32521.5962	7740.419419	6511.256701
Amino acid metabolism	4927.712577	6019.651693	3212.288894	3709.238637	8730.256653	9682.417283	3874.360621	4425.534093
Biosynthesis of other secondary metabolites	779.4405546	867.556581	325.6902847	161.9102849	39.907026	157.844454	3.3948126	7.7945195
Carbohydrate metabolism	7397.833524	8748.865998	8315.395054	8211.467249	16841.40753	16007.84006	9391.466781	8041.121682
Energy metabolism	4544.165129	1681.888756	1904.561704	2496.117161	10157.45319	11751.59282	2775.556194	2184.942178
Glycan biosynthesis and metabolism	2048.673374	1879.239411	916.367659	668.3965164	3579.695426	4049.848071	439.9522265	594.7931799
Lipid metabolism	2244.685448	1940.685122	1462.348398	1517.103458	1018.547892	1210.742907	1077.889098	1390.972498
Metabolism of cofactors and vitamins	6245.143519	5655.505942	2724.607184	1634.614774	2360.023216	2874.449204	1054.846065	898.4037662
Metabolism of other amino acids	134.2378574	230.6070469	149.2550373	276.3136191	209.003647	320.078475	220.146515	468.0502237
Metabolism of terpenoids and polyketides	55.201572	53.0160367	20.560591	9.8112745	285.265012	255.330778	17.221545	21.664527
Not included in regular maps	0	0	0	0	0	0	0	0
Nucleotide metabolism	17400.00968	18373.35586	12299.25464	11581.64188	13296.40539	13727.04377	10433.80602	10609.50513
Xenobiotics biodegradation and metabolism	7.640302	0	9.349008	3.2973738	28.297379	21.839918	232.970604	64.0103625
Poorly characterized	7510.917141	7800.543755	5066.846304	4506.866799	5805.053761	7386.719108	3998.682021	3043.73337
Unclassified: genetic information processing	4636.155279	4483.249364	3733.886925	3508.308502	4966.012246	5722.168159	3486.513833	4021.538654
Unclassified: metabolism	10506.94642	10983.52744	4695.455284	3722.669362	6532.902146	7824.837576	3864.185287	3906.272162
Unclassified: signaling and cellular processes	2574.83796	2728.191328	1548.290949	1240.232828	4447.203629	4774.232501	1142.080854	1217.769598
