	S12_0_3	S12_12_15	S12_21_24	S3_0_3	S3_12_15	S3_21_24	S9_0_3	S9_12_15	S9_21_24
ASV_1	1080	2195	3966	74	676	1247	5	2	250
ASV_2	6820	25	0	1	4	0	96	1	12
ASV_3	378	492	346	527	234	192	1381	985	533
ASV_4	4147	3	0	0	3	3	376	2	3
ASV_5	875	847	1547	89	269	330	1	7	215
ASV_6	348	641	737	526	405	349	4	460	638
ASV_7	490	1065	1016	172	506	634	3	11	91
ASV_8	267	921	518	580	414	465	4	251	521
ASV_9	2	0	1	0	0	2	0	3284	0
ASV_10	256	474	589	475	564	488	4	171	434
ASV_11	167	487	310	69	1256	803	7	32	184
ASV_12	142	199	218	353	744	616	9	244	624
ASV_13	5	0	0	132	30	50	2745	19	4
ASV_14	240	1072	461	47	470	525	4	11	63
ASV_15	627	987	514	22	180	243	6	4	106
ASV_16	2820	1	0	0	0	0	10	0	1
ASV_17	64	114	171	599	301	237	88	648	389
ASV_18	66	0	0	172	22	64	2272	9	5
ASV_19	270	762	408	237	92	355	47	43	256
ASV_20	96	352	376	359	158	252	28	502	423
ASV_21	236	485	579	82	503	315	3	28	222
ASV_22	110	97	219	316	177	124	241	552	436
ASV_23	66	120	123	504	230	233	7	367	622
ASV_24	232	608	241	8	541	305	0	7	47
ASV_25	108	0	0	212	64	100	1630	3	7
ASV_26	196	418	286	333	205	320	1	21	355
ASV_27	169	236	282	181	619	346	5	35	157
ASV_28	69	556	181	116	300	388	10	75	187
ASV_29	303	1073	134	122	25	202	0	1	18
ASV_30	128	219	212	328	248	226	35	174	212
ASV_31	297	340	605	355	57	83	0	3	87
ASV_32	14	0	0	97	38	31	1609	20	5
ASV_33	74	176	234	232	318	261	47	176	245
ASV_34	115	76	108	5	574	719	3	0	6
ASV_35	105	293	154	188	152	338	8	145	219
ASV_36	300	244	384	34	156	262	5	1	85
ASV_37	116	406	338	21	191	288	6	0	92
ASV_38	246	379	233	46	143	141	2	48	212
ASV_39	168	951	279	0	3	2	0	3	6
ASV_40	119	262	392	83	115	214	5	83	188
ASV_41	151	167	375	34	350	286	9	17	72
ASV_42	399	2	0	1	0	0	1048	6	3
ASV_43	307	204	248	13	226	292	2	1	20
ASV_44	38	91	109	83	74	71	31	696	108
ASV_45	85	95	172	310	134	110	29	257	167
ASV_46	137	263	186	293	163	119	4	54	67
ASV_47	41	182	104	0	396	407	2	6	185
ASV_48	65	1	2	110	16	44	1044	4	10
ASV_49	21	180	313	10	324	246	1	9	138
ASV_50	19	67	61	266	193	145	103	203	274
ASV_51	35	293	158	2	472	240	0	0	29
ASV_52	77	126	75	26	128	61	15	552	154
ASV_53	38	21	37	50	21	52	6	966	17
ASV_54	156	159	302	40	189	253	5	2	144
ASV_55	87	119	90	159	216	166	0	258	152
ASV_56	129	254	322	66	79	69	0	101	226
ASV_57	243	297	301	40	75	73	2	49	100
ASV_58	82	141	146	214	192	178	19	97	147
ASV_59	153	158	206	0	269	383	0	3	49
ASV_60	87	429	94	114	67	133	9	37	156
ASV_61	0	1	0	1	0	0	7	1092	4
ASV_62	47	29	65	143	97	57	576	120	43
ASV_63	139	216	370	87	49	244	3	3	31
ASV_64	40	180	207	127	203	164	6	98	144
ASV_65	90	263	225	62	92	159	12	124	116
ASV_66	221	371	301	11	34	53	3	31	17
ASV_67	154	5	567	6	167	179	2	0	34
ASV_68	81	126	70	92	428	182	2	25	36
ASV_69	146	322	263	103	36	34	1	17	171
ASV_70	47	19	85	273	264	138	11	132	99
ASV_71	12	19	2	174	147	95	72	264	317
ASV_72	30	42	138	311	176	134	3	99	112
ASV_73	184	430	174	24	111	78	0	1	49
ASV_74	206	194	289	12	163	133	1	0	14
ASV_75	42	0	2	22	23	1	35	793	17
ASV_76	71	110	181	4	287	261	3	24	47
ASV_77	34	27	44	175	116	32	40	311	274
ASV_78	33	216	96	118	201	266	0	10	63
ASV_79	184	145	411	11	52	64	0	31	43
ASV_80	41	144	153	84	196	168	1	49	135
ASV_81	29	54	41	104	130	79	100	164	212
ASV_82	32	86	107	141	160	169	19	103	115
ASV_83	45	106	117	264	105	103	12	55	127
ASV_84	55	54	91	238	111	174	2	93	114
ASV_85	98	239	159	50	118	57	2	11	152
ASV_86	50	272	64	97	41	138	0	10	197
ASV_87	83	97	158	156	144	120	0	46	88
ASV_88	6	0	9	69	16	28	645	144	31
ASV_89	52	98	58	25	53	20	13	297	219
ASV_90	46	66	34	89	294	117	13	107	108
ASV_91	51	29	101	0	517	160	0	0	2
ASV_92	45	110	109	103	80	29	25	160	182
ASV_93	71	97	122	180	104	102	13	85	85
ASV_94	18	64	38	62	85	26	35	282	218
ASV_95	6	30	18	143	157	90	87	148	150
ASV_96	52	129	164	56	136	170	4	21	68
ASV_97	14	47	28	53	48	7	1	197	430
ASV_98	164	178	88	127	103	83	1	25	79
ASV_99	62	60	60	132	192	115	29	64	89
ASV_100	218	0	0	0	2	0	576	1	1
ASV_101	7	37	38	215	110	62	48	174	99
ASV_102	10	7	14	77	127	59	286	91	147
ASV_103	172	123	200	37	59	72	3	41	111
ASV_104	615	0	0	3	4	1	126	1	0
ASV_105	32	112	40	26	185	173	3	59	155
ASV_106	81	44	122	52	255	188	4	34	38
ASV_107	136	109	159	119	37	123	1	5	67
ASV_108	51	78	94	29	223	94	5	70	114
ASV_109	0	1	0	158	39	14	296	180	53
ASV_110	43	52	56	125	206	126	0	18	98
ASV_111	219	325	112	4	2	48	0	1	19
ASV_112	13	0	0	85	20	28	639	10	2
ASV_113	48	58	58	131	57	53	187	104	60
ASV_114	48	67	62	147	233	108	13	37	77
ASV_115	7	15	15	103	79	79	11	238	228
ASV_116	57	124	199	33	28	297	1	1	15
ASV_117	60	100	199	49	112	78	2	50	109
ASV_118	14	63	45	253	75	96	1	58	108
ASV_119	59	147	110	36	97	141	1	33	75
ASV_120	8	0	0	19	0	0	4	587	9
ASV_121	647	0	0	0	0	0	0	0	0
ASV_122	32	141	94	109	89	92	0	55	78
ASV_123	12	3	99	1	89	436	2	0	6
ASV_124	108	134	181	23	54	128	6	28	48
ASV_125	20	30	28	93	55	40	210	127	56
ASV_126	4	2	31	0	235	355	0	0	3
ASV_127	73	50	113	121	77	63	16	89	93
ASV_128	127	34	80	61	197	50	1	40	133
ASV_129	134	126	177	84	25	111	4	7	30
ASV_130	10	25	17	161	73	59	4	156	141
ASV_131	14	458	51	3	3	5	1	29	28
ASV_132	5	0	0	217	31	65	374	1	4
ASV_133	72	142	159	22	111	137	0	6	36
ASV_134	23	52	65	129	54	60	2	98	153
ASV_135	7	44	45	94	75	108	19	163	135
ASV_136	163	72	91	73	60	71	0	33	96
ASV_137	26	50	41	72	98	61	16	166	121
ASV_138	278	100	149	2	1	112	2	2	3
ASV_139	116	220	237	25	11	13	0	0	26
ASV_140	22	61	96	84	127	63	55	37	126
ASV_141	88	168	111	1	151	63	0	5	22
ASV_142	58	51	127	5	178	210	0	0	8
ASV_143	2	7	4	193	61	19	94	213	63
ASV_144	40	122	99	49	90	145	0	30	57
ASV_145	24	33	21	133	66	66	12	146	109
ASV_146	2	0	0	14	0	0	635	5	2
ASV_147	605	2	0	2	0	0	4	0	0
ASV_148	105	129	93	60	87	80	0	30	95
ASV_149	41	0	2	135	17	45	436	1	3
ASV_150	18	68	96	88	91	79	3	33	162
ASV_151	3	485	13	16	2	5	0	25	39
ASV_152	19	18	57	138	83	56	0	129	147
ASV_153	53	69	57	106	101	80	1	50	117
ASV_154	30	18	22	102	176	85	1	48	152
ASV_155	58	64	48	59	90	98	8	102	119
ASV_156	65	112	191	40	55	83	1	7	34
ASV_157	74	27	118	0	122	195	0	0	78
ASV_158	34	70	118	68	175	74	0	12	28
ASV_159	2	9	19	139	136	139	1	129	70
ASV_160	11	6	21	220	47	38	10	135	101
ASV_161	20	87	106	86	49	56	18	114	74
ASV_162	1	0	0	65	17	13	488	4	0
ASV_163	86	334	48	3	23	37	0	0	21
ASV_164	32	178	86	25	20	54	0	10	188
ASV_165	3	25	41	18	7	2	10	339	136
ASV_166	1	11	397	111	3	81	0	0	4
ASV_167	24	33	84	3	220	90	1	0	80
ASV_168	24	32	35	86	225	135	18	18	17
ASV_169	73	59	33	0	266	72	0	1	38
ASV_170	37	50	47	72	78	70	18	62	76
ASV_171	134	69	247	4	41	30	0	2	16
ASV_172	19	30	30	125	81	36	21	82	117
ASV_173	44	70	108	58	43	43	4	67	150
ASV_174	19	20	21	4	363	103	1	0	0
ASV_175	130	73	163	0	46	86	0	2	19
ASV_176	5	6	9	18	9	1	218	206	99
ASV_177	3	0	0	43	14	16	453	4	4
ASV_178	14	29	6	45	334	84	3	8	15
ASV_179	12	0	0	2	9	0	34	435	5
ASV_180	0	0	1	14	263	204	2	2	28
ASV_181	21	14	70	90	63	131	0	50	87
ASV_182	66	72	62	76	10	55	42	61	115
ASV_183	78	86	35	123	16	76	0	42	77
ASV_184	30	41	108	4	218	136	0	0	14
ASV_185	92	138	92	9	41	120	5	11	27
ASV_186	45	103	71	106	23	45	2	57	69
ASV_187	2	2	0	0	0	0	0	463	1
ASV_188	0	0	0	0	3	0	33	431	11
ASV_189	56	85	73	40	79	114	0	16	33
ASV_190	0	0	2	0	494	3	0	0	1
ASV_191	60	113	79	71	59	75	2	15	86
ASV_192	8	154	226	9	5	3	0	45	73
ASV_193	46	59	42	95	67	61	6	70	81
ASV_194	17	302	6	2	103	19	0	2	49
ASV_195	17	24	24	103	80	70	54	82	60
ASV_196	55	220	95	1	53	15	0	2	65
ASV_197	28	169	37	0	109	159	2	0	7
ASV_198	481	1	0	0	0	0	0	0	2
ASV_199	45	149	140	24	10	15	6	56	42
ASV_200	54	97	51	2	157	70	0	8	39
ASV_201	24	0	271	0	100	89	7	0	19
ASV_202	465	0	0	0	0	0	0	1	0
ASV_203	49	97	185	0	3	139	0	2	0
ASV_204	42	66	70	37	93	87	0	59	42
ASV_205	114	151	94	0	24	53	0	5	26
ASV_206	42	30	59	123	50	57	2	71	80
ASV_207	3	0	0	72	3	12	356	37	0
ASV_208	11	0	0	53	6	12	414	0	7
ASV_209	3	7	1	70	18	21	94	209	105
