Genome	S3_0_3	S3_12_15	S3_21_24	S9_0_3	S9_12_15	S9_21_24	S12_0_3	S12_12_15	S12_21_24
KSD-bin.172.orig: Archaea; Thermoproteota; Bathyarchaeia; B26-1; BA1; NA; NA	0.30529702	2.2889357	6.9489546	0	0.24221107	1.0858988	8.5359	24.090065	28.297295
KSD-bin.278.orig: Bacteria; Acidobacteriota; Aminicenantia; Aminicenantales; Aminicenantaceae; SOIV01; NA	4.9970036	9.317253	5.3221526	0	9.04428	8.674718	4.5662932	9.680328	13.304542
KSD-bin.32.orig: Bacteria; Acidobacteriota; Aminicenantia; Aminicenantales; Aminicenantaceae; SOIV01; NA	7.3530984	7.1776648	4.515076	0	10.598532	9.604433	3.688728	8.224768	10.9856205
KSD-bin.209.orig: Archaea; Thermoproteota; Bathyarchaeia; B26-1; BA1; SOJZ01; NA	0.20649257	1.3486028	6.3344245	0	0	0.77768093	7.1707244	22.14047	24.14256
KSD-bin.132.orig: Archaea; Thermoproteota; Bathyarchaeia; B26-1; BA1; NA; NA	0.47684476	3.8345773	5.6376038	0	0	0.8808323	6.5929737	29.860321	10.196466
KSD-bin.265.orig: Archaea; Thermoproteota; Bathyarchaeia; B26-1; NA; NA; NA	0.3807659	2.9522052	5.3329	0	0	0.92952	7.9614334	27.29692	12.278896
KSD-bin.269.orig: Archaea; Thermoproteota; Bathyarchaeia; B26-1; NA; NA; NA	0.83006185	7.2873306	6.959754	0	0	0.96328646	4.911955	26.296291	8.223586
KSD-bin.83.orig: Archaea; Thermoproteota; Bathyarchaeia; TCS64; TCS64; GCA-2726865; NA	2.4932806	9.427951	8.620882	0.13113238	12.384308	5.298312	4.1838584	6.508531	5.936156
KSD-bin.73.orig: Bacteria; Desulfobacterota; Syntrophobacteria; BM002; BM002; BM002; NA	5.166099	3.828856	3.269653	3.892446	14.999615	13.715939	1.7857078	2.1938171	2.326669
KSD-bin.183.orig: Bacteria; Desulfobacterota; Syntrophobacteria; BM002; BM002; BM002; BM002 sp002899795	9.710094	1.2139755	1.2124751	15.924783	14.422647	3.394714	1.9933959	1.7712914	1.4795127
KSD-bin.233.orig: Archaea; Thermoproteota; Bathyarchaeia; B26-1; BA1; SOJZ01; NA	0.29403025	1.8524489	4.5546317	0	0.26613522	0.8161237	6.2224264	18.749062	17.810001
KSD-bin.81.orig: Archaea; Thermoproteota; Bathyarchaeia; TCS64; TCS64; GCA-2726865; NA	1.9683669	10.083004	10.800294	0	4.060673	3.1945379	3.555512	8.046417	7.7179046
KSD-bin.163.orig: Bacteria; Proteobacteria; Gammaproteobacteria; Woeseiales; Woeseiaceae; UBA1844; NA	16.879583	0.35001576	0.43073764	28.950678	1.1655222	0.2765162	0.60825485	0	0
KSD-bin.95.orig: Archaea; Thermoproteota; Bathyarchaeia; B26-1; BA1; NA; NA	0.23132117	1.7164192	6.3877783	0	0	0.89719	5.930412	13.803845	19.064419
KSD-bin.193.orig: Bacteria; Proteobacteria; Gammaproteobacteria; Woeseiales; Woeseiaceae; UBA1844; NA	16.289629	0.30869275	0.3937591	26.116896	1.0375471	0.2543969	0.5487815	0	0
KSD-bin.64.orig: Bacteria; Desulfobacterota; Syntrophobacteria; BM002; BM002; BM002; NA	5.6623306	2.0979598	1.6978317	5.767312	17.633518	5.596108	1.5519438	1.9721158	1.9590139
KSD-bin.142.orig: Bacteria; Proteobacteria; Gammaproteobacteria; Woeseiales; Woeseiaceae; UBA1847; NA	16.949202	0.31699562	0.3376065	22.484194	0.16808797	0.099685304	0.2869096	0	0
KSD-bin.94.strict: Archaea; Thermoproteota; Bathyarchaeia; TCS64; TCS64; GCA-2726865; NA	1.3651332	6.2425184	8.549565	0	2.9551873	2.285743	2.8332145	6.0521564	5.8132052
KSD-bin.96.orig: Bacteria; Desulfobacterota; BSN033; BSN033; NA; NA; NA	2.5663292	10.016867	6.068448	0	2.9880445	4.221267	1.884061	3.6343827	4.543388
KSD-bin.165.orig: Bacteria; Desulfobacterota; Desulfobacteria; Desulfobacterales; NA; NA; NA	15.332257	0.93943185	1.033761	9.962479	3.3833292	0.7903311	1.0660183	2.399841	0.47494522
KSD-bin.186.orig: Archaea; Thermoproteota; Bathyarchaeia; B26-1; BA1; NA; NA	0.6705026	3.2262962	5.518744	0	1.1359639	2.6628127	3.626406	8.922566	9.618546
KSD-bin.150.orig: Bacteria; Proteobacteria; Gammaproteobacteria; Woeseiales; Woeseiaceae; UBA1847; NA	15.41301	0.27797607	0.30495992	18.191133	0.22978733	0	0.26304317	0	0
KSD-bin.293.orig: Bacteria; Proteobacteria; Gammaproteobacteria; Woeseiales; Woeseiaceae; UBA1844; NA	12.848433	0.22785623	0.31975684	19.241514	0.5541952	0.15497208	0.3969603	0	0
KSD-bin.42.orig: Bacteria; Desulfobacterota; Desulfobacteria; Desulfobacterales; Desulfobacteraceae; Desulfobacter; NA	0.8382342	0	0	0.30311108	0	0	32.09822	0	0
KSD-bin.156.orig: Bacteria; Desulfobacterota; Syntrophobacteria; BM002; BM002; BM002; BM002 sp002899795	3.7742484	2.1871958	2.6066995	3.2628956	10.158982	7.6940613	1.171091	1.2114437	1.0127783
KSD-bin.25.strict: Archaea; Thermoproteota; Bathyarchaeia; B26-1; NA; NA; NA	0.96887475	4.1482472	3.8669999	0	1.6998211	3.6756887	2.7042844	8.990188	6.627724
KSD-bin.49.orig: Bacteria; Desulfobacterota; Desulfobacteria; Desulfatiglandales; NA; NA; NA	2.7973416	2.3076425	1.9628608	0.87561005	15.875132	5.1109715	0.81341726	1.2037575	1.3045361
KSD-bin.199.orig: Bacteria; Chloroflexota; Dehalococcoidia; Dehalococcoidales; UBA5760; NA; NA	3.148104	3.6873827	3.6567776	0	1.9250561	6.687376	2.9871569	4.122199	5.7071633
KSD-bin.285.orig: Bacteria; Desulfobacterota; Syntrophobacteria; BM002; BM002; BM002; BM002 sp002899795	3.6493838	2.899282	1.9863701	3.1361046	9.642815	6.9778185	1.0515103	1.2154832	1.0520492
