Phylum	S12_0_3	S12_12_15	S12_21_24	S3_0_3	S3_12_15	S3_21_24	S9_0_3	S9_12_15	S9_21_24
Chloroflexi	0.14782839	0.2225864	0.23133142	0.2226143	0.24448381	0.22748194	0.07474407	0.1852074	0.21817903
Planctomycetota	0.12088203	0.21494323	0.20491506	0.09738068	0.21054981	0.18505398	0.07358643	0.09308488	0.13464811
Crenarchaeota	0.1117186	0.19498452	0.19902926	0.12413177	0.12646099	0.15969762	0.01641608	0.08400513	0.11848308
Desulfobacterota	0.30265837	0.03491032	0.02977768	0.07765907	0.04728165	0.04009875	0.2252922	0.14307233	0.06828642
Gammaproteobacteria	0.04754665	0.01557924	0.01930319	0.06587353	0.01795029	0.03242768	0.21353455	0.03173031	0.02036319
Alphaproteobacteria	0.006485537	0.00758738	0.008940277	0.01373818	0.011088175	0.008298697	0.023459511	0.026388463	0.019596084
Acidobacteriota	0.04240007	0.0735167	0.06594326	0.06669642	0.06658484	0.05836983	0.08354487	0.05757483	0.07311222
Asgardarchaeota	0.018898714	0.028438729	0.029247678	0.030070574	0.026792937	0.034798739	0.006513431	0.023082931	0.026597674
Thermoplasmatota	0.015495551	0.029247678	0.032790315	0.036165583	0.014435549	0.025384251	0.002928952	0.023459511	0.027281096
Others	0.186086088	0.178205803	0.17872186	0.265669893	0.234371949	0.228388513	0.279979906	0.332394215	0.293453096
