DO	PA	withkelp
8.391818182	181021.2957	NO
8.81	182056.0888	NO
8.95	226372.2256	YES
8.8025	203606.7786	YES
8.06625	226732.1536	NO
8.151052632	249137.6725	NO
7.805714286	321258.2484	YES
7.696875	342718.9562	YES
8.155	413572.2855	NO
8.129	387972.4055	NO
8.843684211	396700.6599	YES
9.113529412	426844.6311	YES
8.289166667	234778.0444	NO
8.23	296730.6539	NO
9.440454545	391211.7576	YES
9.964285714	375599.88	YES
7.9292	290161.9676	NO
7.765714286	306493.7013	NO
7.47	392831.4337	YES
7.195	373485.3029	YES
7.978888889	232573.4853	NO
7.732777778	223260.3479	NO
8.476923077	374520.096	YES
8.26	443401.3197	YES
7.916153846	297900.4199	NO
7.661875	272975.4049	NO
8.851304348	362642.4715	YES
8.75173913	488032.3935	YES
7.507777778	312297.5405	NO
7.249166667	261502.6995	NO
6.660769231	523980.204	YES
5.892857143	611802.6395	YES
