DO	VA	withkelp
8.391818182	2186095.358	NO
8.81	1824406.637	NO
8.95	2434362.529	YES
8.8025	2035706.784	YES
8.06625	1963873.136	NO
8.151052632	2692921.655	NO
7.805714286	3075404.327	YES
7.696875	3444444.444	YES
8.155	2609535.812	NO
8.129	3669712.245	NO
8.843684211	3905061.962	YES
9.113529412	3927431.212	YES
8.289166667	2502520.479	NO
8.23	3703423.65	NO
9.440454545	3979731.149	YES
9.964285714	3145347.616	YES
7.9292	2479521.109	NO
7.765714286	4250682.63	NO
7.47	5091367.36	YES
7.195	5768641.042	YES
7.978888889	2396870.405	NO
7.732777778	2780298.257	NO
8.476923077	5323041.378	YES
8.26	6095988.238	YES
7.916153846	2021949.17	NO
7.661875	2983196.807	NO
8.851304348	3705944.129	YES
8.75173913	5186935.518	YES
7.507777778	2427221.172	NO
7.249166667	4346565.848	NO
6.660769231	4589161.941	YES
5.892857143	7580550.305	YES
