DOC	PA	withkelp
129.8333333	181021.2957	NO
140.0833333	182056.0888	NO
129.8333333	226372.2256	YES
140.0833333	203606.7786	YES
156.6666667	226732.1536	NO
158.25	249137.6725	NO
229	321258.2484	YES
239.75	342718.9562	YES
153.6666667	413572.2855	NO
170.6833333	387972.4055	NO
320.25	396700.6599	YES
311.75	426844.6311	YES
195.5833333	234778.0444	NO
167	296730.6539	NO
344.75	391211.7576	YES
342.5	375599.88	YES
204.1666667	290161.9676	NO
185.0833333	306493.7013	NO
378.75	392831.4337	YES
384.5	373485.3029	YES
188.6666667	232573.4853	NO
175.0833333	223260.3479	NO
381.5	374520.096	YES
404	443401.3197	YES
195.0833333	297900.4199	NO
181.1666667	272975.4049	NO
405.0833333	362642.4715	YES
412.0833333	488032.3935	YES
193.3333333	312297.5405	NO
163.0833333	261502.6995	NO
514.1666667	523980.204	YES
529.5	611802.6395	YES
