DOC	VA	withkelp
129.8333333	2186095.358	NO
140.0833333	1824406.637	NO
129.8333333	2434362.529	YES
140.0833333	2035706.784	YES
156.6666667	1963873.136	NO
158.25	2692921.655	NO
229	3075404.327	YES
239.75	3444444.444	YES
153.6666667	2609535.812	NO
170.6833333	3669712.245	NO
320.25	3905061.962	YES
311.75	3927431.212	YES
195.5833333	2502520.479	NO
167	3703423.65	NO
344.75	3979731.149	YES
342.5	3145347.616	YES
204.1666667	2479521.109	NO
185.0833333	4250682.63	NO
378.75	5091367.36	YES
384.5	5768641.042	YES
188.6666667	2396870.405	NO
175.0833333	2780298.257	NO
381.5	5323041.378	YES
404	6095988.238	YES
195.0833333	2021949.17	NO
181.1666667	2983196.807	NO
405.0833333	3705944.129	YES
412.0833333	5186935.518	YES
193.3333333	2427221.172	NO
163.0833333	4346565.848	NO
514.1666667	4589161.941	YES
529.5	7580550.305	YES
