PA	VA	withkelp
181021.2957	2186095.358	NO
182056.0888	1824406.637	NO
226372.2256	2434362.529	YES
203606.7786	2035706.784	YES
226732.1536	1963873.136	NO
249137.6725	2692921.655	NO
321258.2484	3075404.327	YES
342718.9562	3444444.444	YES
413572.2855	2609535.812	NO
387972.4055	3669712.245	NO
396700.6599	3905061.962	YES
426844.6311	3927431.212	YES
234778.0444	2502520.479	NO
296730.6539	3703423.65	NO
391211.7576	3979731.149	YES
375599.88	3145347.616	YES
290161.9676	2479521.109	NO
306493.7013	4250682.63	NO
392831.4337	5091367.36	YES
373485.3029	5768641.042	YES
232573.4853	2396870.405	NO
223260.3479	2780298.257	NO
374520.096	5323041.378	YES
443401.3197	6095988.238	YES
297900.4199	2021949.17	NO
272975.4049	2983196.807	NO
362642.4715	3705944.129	YES
488032.3935	5186935.518	YES
312297.5405	2427221.172	NO
261502.6995	4346565.848	NO
523980.204	4589161.941	YES
611802.6395	7580550.305	YES
