POC	PA	withkelp
75	181021.2957	NO
61.38888889	182056.0888	NO
75	226372.2256	YES
61.38888889	203606.7786	YES
61.38888889	226732.1536	NO
75.27777778	249137.6725	NO
90.83333333	321258.2484	YES
81.94444444	342718.9562	YES
56.25	413572.2855	NO
61.66666667	387972.4055	NO
117.9166667	396700.6599	YES
138.3333333	426844.6311	YES
47.5	234778.0444	NO
60	296730.6539	NO
104.5833333	391211.7576	YES
120.4166667	375599.88	YES
62.5	290161.9676	NO
67.5	306493.7013	NO
118.3333333	392831.4337	YES
135.8333333	373485.3029	YES
64.58333333	232573.4853	NO
63.33333333	223260.3479	NO
98.33333333	374520.096	YES
137.9166667	443401.3197	YES
47.91666667	297900.4199	NO
50.83333333	272975.4049	NO
108.3333333	362642.4715	YES
149.5833333	488032.3935	YES
45	312297.5405	NO
51.66666667	261502.6995	NO
107.0833333	523980.204	YES
140.4166667	611802.6395	YES
