POC	VA	withkelp
75	2186095.358	NO
61.38888889	1824406.637	NO
75	2434362.529	YES
61.38888889	2035706.784	YES
61.38888889	1963873.136	NO
75.27777778	2692921.655	NO
90.83333333	3075404.327	YES
81.94444444	3444444.444	YES
56.25	2609535.812	NO
61.66666667	3669712.245	NO
117.9166667	3905061.962	YES
138.3333333	3927431.212	YES
47.5	2502520.479	NO
60	3703423.65	NO
104.5833333	3979731.149	YES
120.4166667	3145347.616	YES
62.5	2479521.109	NO
67.5	4250682.63	NO
118.3333333	5091367.36	YES
135.8333333	5768641.042	YES
64.58333333	2396870.405	NO
63.33333333	2780298.257	NO
98.33333333	5323041.378	YES
137.9166667	6095988.238	YES
47.91666667	2021949.17	NO
50.83333333	2983196.807	NO
108.3333333	3705944.129	YES
149.5833333	5186935.518	YES
45	2427221.172	NO
51.66666667	4346565.848	NO
107.0833333	4589161.941	YES
140.4166667	7580550.305	YES
