Sample	Temperature	DO	Salinity	pH	DIC	TA	NO2	NO3	NH4	PO4	SiO3	DIN	DIP	Dsi	POC	DOC	PA	VA
C0_1	23.73954545	8.391818182	30.63090909	7.968535838	2009.471723	2220.597281	0.0612	2.1169	1.5015	0.7538	2.1024	3.607291611	0.738986959	2.061085412	75	129.8333333	181021.2957	2186095.358
C0_2	23.70625	8.81	30.38	8.001142317	1986.788655	2211.132719	0.0454	4.1478	1.0989	0.7631	2.0497	5.189066403	0.748242961	2.009793732	61.38888889	140.0833333	182056.0888	1824406.637
T0_1	23.65575	8.95	30.3425	8.02284603	1968.320344	2202.07018	0.346	1.4179	2.9747	1.0596	1.7761	4.646471467	1.038999107	1.741568812	75	129.8333333	226372.2256	2434362.529
T0_2	23.656	8.8025	30.32	8.027094131	1984.738372	2221.958113	0.5479	0.7454	2.4945	0.8906	2.4791	3.714218829	0.873299353	2.430941417	61.38888889	140.0833333	203606.7786	2035706.784
C15_1	23.20575	8.06625	30.6175	7.962595885	2023.676056	2228.799485	0.1301	2.2817	2.8488	0.904	2.7198	5.157274249	0.88624414	2.666379216	61.38888889	156.6666667	226732.1536	1963873.136
C15_2	23.16478947	8.151052632	30.37	7.995587593	2001.620886	2219.980036	0.0598	3.8183	1.1841	0.8817	3.2598	4.96367909	0.86454029	3.196357532	75.27777778	158.25	249137.6725	2692921.655
T15_1	23.04285714	7.805714286	30.33	7.973494017	1995.137928	2200.716967	0.0368	3.7116	1.4528	0.8043	2.9144	5.100124656	0.788669973	2.857764227	90.83333333	229	321258.2484	3075404.327
T15_2	22.8789375	7.696875	30.33	7.973360552	2010.756536	2216.155444	0.0254	3.9002	1.0658	0.8814	1.8246	4.894401717	0.864271682	1.789142399	81.94444444	239.75	342718.9562	3444444.444
C20_1	22.8961875	8.155	30.61375	7.986235707	2012.165858	2226.058765	0.1797	0.1221	1.6708	0.6675	2.351	1.933860659	0.654391154	2.304829367	56.25	153.6666667	413572.2855	2609535.812
C20_2	22.8717	8.129	30.371	8.012653361	1995.886993	2220.437174	0.0271	0.2304	1.2316	0.944	1.7828	1.460117947	0.925627118	1.748101723	61.66666667	170.6833333	387972.4055	3669712.245
T20_1	22.72731579	8.843684211	30.33473684	8.058304231	1965.479403	2210.751073	0.0453	0.3119	1.1728	0.8591	2.2475	1.500262132	0.84240209	2.203816433	117.9166667	320.25	396700.6599	3905061.962
T20_2	22.61523529	9.113529412	30.33	8.005656239	2018.377764	2238.723218	0.0752	0.9864	1.0775	0.8232	2.2933	2.097530695	0.807202687	2.248734114	138.3333333	311.75	426844.6311	3927431.212
C24_1	23.45441667	8.289166667	30.61666667	7.98575878	2004.449197	2221.765687	0.1982	0.2915	1.6496	0.8817	1.2286	2.097282363	0.864382676	1.204469271	47.5	195.5833333	234778.0444	2502520.479
C24_2	23.48130769	8.23	30.37	8.023579745	1993.601467	2228.579376	0.0316	4.1899	1.3428	0.9155	0.9315	5.456007183	0.897682472	0.913371078	60	167	296730.6539	3703423.65
T24_1	23.441	9.440454545	30.34	8.082301983	1949.712827	2213.258264	0.0637	3.3488	1.2228	0.9403	1.5646	4.54518824	0.922020258	1.53418366	104.5833333	344.75	391211.7576	3979731.149
T24_2	23.487	9.964285714	30.33	8.113998275	1958.99722	2242.669182	0.1216	2.7797	1.9532	0.8999	1.4582	4.760162106	0.88241217	1.429862681	120.4166667	342.5	375599.88	3145347.616
C39_1	22.49848	7.9292	30.62	7.977715416	2006.130721	2212.40946	0.1619	2.0667	2.3806	0.7012	2.2672	4.518660332	0.687426153	2.222664824	62.5	204.1666667	290161.9676	2479521.109
C39_2	22.48542857	7.765714286	30.37	7.986006364	2008.582631	2217.49338	0.0892	2.818	2.238	0.6886	0.7656	5.045063738	0.675198416	0.750699836	67.5	185.0833333	306493.7013	4250682.63
T39_1	22.24946154	7.47	30.33	7.997055821	1993.947484	2205.362161	0.0234	0.1654	1.0443	0.6074	1.2637	1.209137067	0.595596346	1.239142415	118.3333333	378.75	392831.4337	5091367.36
T39_2	22.28464286	7.195	30.33	7.97768573	2024.31255	2228.451925	0.0525	4.6762	1.9519	0.7653	0.9187	6.550775356	0.750427863	0.900846828	135.8333333	384.5	373485.3029	5768641.042
C44_1	22.03283333	7.978888889	30.63	7.988231521	2019.271455	2228.34767	0.061	2.7856	1.5137	0.9518	0.7875	4.274617942	0.933096658	0.772025234	64.58333333	188.6666667	232573.4853	2396870.405
C44_2	22.05311111	7.732777778	30.37055556	7.993691637	2006.776011	2216.217091	0.0423	3.2108	2.0366	0.5748	0.7666	5.186749339	0.563612969	0.751680066	63.33333333	175.0833333	223260.3479	2780298.257
T44_1	21.87884615	8.476923077	30.33230769	8.059795695	1975.971751	2215.985368	0.0211	0.1781	1.3867	0.924	0.7573	1.555078423	0.906042287	0.742582061	98.33333333	381.5	374520.096	5323041.378
T44_2	21.82031579	8.26	30.32947368	8.024616464	1993.122633	2215.303243	0.0624	1.0471	2.5521	0.8309	0.7435	3.590445226	0.81475337	0.729051788	137.9166667	404	443401.3197	6095988.238
C48_1	22.55615385	7.916153846	30.63384615	8.002242413	2004.410342	2223.50141	0.1049	1.7503	1.988	0.9232	0.7474	3.767668503	0.905056089	0.732711136	47.91666667	195.0833333	297900.4199	2021949.17
C48_2	22.5695	7.661875	30.37	7.989172816	2005.539993	2216.446796	0.0603	1.398	1.7061	0.9117	0.7199	3.102814214	0.893956427	0.705889253	50.83333333	181.1666667	272975.4049	2983196.807
T48_1	22.63804348	8.851304348	30.34	8.088452939	1960.087304	2221.204803	0.0645	0.0998	1.7293	0.7917	0.7519	1.856787792	0.776309091	0.737282816	108.3333333	405.0833333	362642.4715	3705944.129
T48_2	22.67443478	8.75173913	30.33	8.061617206	1976.397393	2223.96772	0.075	0.5203	2.4523	0.8951	0.7279	2.988375741	0.877705449	0.71375466	149.5833333	412.0833333	488032.3935	5186935.518
C63_1	22.45366667	7.507777778	30.72333333	7.971160865	2018.013334	2222.177414	0.0013	3.6719	1.9741	0.7335	0.7155	5.535945841	0.719036756	0.701391683	45	193.3333333	312297.5405	2427221.172
C63_2	22.44058333	7.249166667	30.4	7.973310449	2013.822557	2216.660186	0.2769	0.2206	2.3662	0.9103	0.7265	2.807904193	0.892563881	0.712345007	51.66666667	163.0833333	261502.6995	4346565.848
T63_1	22.24015385	6.660769231	30.35230769	7.953061505	2032.742709	2225.304401	0.004	0.1506	1.8098	0.7976	0.7162	1.926193893	0.782087278	0.702270447	107.0833333	514.1666667	523980.204	4589161.941
T63_2	22.29942857	5.892857143	30.33	7.840747489	2075.993555	2221.450151	0.1447	0.1482	2.5282	0.7713	0.7084	2.766277334	0.756311264	0.694633605	140.4166667	529.5	611802.6395	7580550.305
