OUT	C0_1	C0_2	C63_1	C63_2	T0_1	T0_2	T63_1	T63_2
Prokaryotic_ASV_1	4653	4311	1987	424	2796	2737	97	99
Prokaryotic_ASV_2	1914	2257	178	104	1925	2686	23	40
Prokaryotic_ASV_3	12	14	2024	3339	38	17	1574	2119
Prokaryotic_ASV_4	134	107	2228	2051	154	125	349	508
Prokaryotic_ASV_5	668	695	680	551	725	682	200	227
Prokaryotic_ASV_6	969	1105	233	178	843	725	64	10
Prokaryotic_ASV_7	1	5	63	565	10	5	1841	2600
Prokaryotic_ASV_8	423	641	5	0	1535	1057	0	0
Prokaryotic_ASV_9	767	645	152	27	419	477	3	6
Prokaryotic_ASV_10	608	455	63	16	516	404	16	0
Prokaryotic_ASV_11	49	36	297	885	70	48	664	505
Prokaryotic_ASV_12	593	439	91	30	354	369	2	12
Prokaryotic_ASV_13	532	451	98	11	286	330	4	5
Prokaryotic_ASV_14	260	255	70	37	435	342	45	54
Prokaryotic_ASV_15	0	0	263	148	2	1	850	628
Prokaryotic_ASV_16	388	328	56	24	324	248	20	4
Prokaryotic_ASV_17	235	309	92	74	391	240	22	23
Prokaryotic_ASV_18	193	239	181	321	174	202	83	29
Prokaryotic_ASV_19	0	3	486	133	32	41	449	501
Prokaryotic_ASV_20	54	41	273	646	48	71	357	190
Prokaryotic_ASV_21	7	7	348	702	16	4	233	215
Prokaryotic_ASV_22	255	219	150	108	214	233	58	60
Prokaryotic_ASV_23	340	295	26	24	246	248	32	7
Prokaryotic_ASV_24	0	0	62	83	3	1	880	538
Prokaryotic_ASV_25	5	6	529	612	3	4	12	28
Prokaryotic_ASV_26	255	271	34	18	235	205	2	1
Prokaryotic_ASV_27	0	0	142	34	0	0	161	909
Prokaryotic_ASV_28	0	0	80	156	1	6	719	331
Prokaryotic_ASV_29	11	6	217	450	18	12	179	117
Prokaryotic_ASV_30	0	4	105	236	8	2	295	232
Prokaryotic_ASV_31	0	0	5	15	0	5	509	465
Prokaryotic_ASV_32	204	173	17	2	164	133	0	3
Prokaryotic_ASV_33	122	155	0	0	264	130	0	0
Prokaryotic_ASV_34	149	107	35	30	165	146	9	5
Prokaryotic_ASV_35	0	0	158	42	0	0	372	233
Prokaryotic_ASV_36	4	6	33	95	1	6	251	379
Prokaryotic_ASV_37	11	19	519	66	6	8	11	16
Prokaryotic_ASV_38	1	1	29	57	3	4	254	394
Prokaryotic_ASV_39	96	119	15	17	190	127	9	7
Prokaryotic_ASV_40	123	126	100	43	67	116	18	8
Prokaryotic_ASV_41	3	4	111	242	6	3	136	118
Prokaryotic_ASV_42	0	0	3	8	203	202	69	107
Prokaryotic_ASV_43	44	26	76	97	83	66	85	60
Prokaryotic_ASV_44	46	46	16	38	84	112	86	113
Prokaryotic_ASV_45	27	37	63	130	53	33	96	70
Prokaryotic_ASV_46	17	16	1	5	133	237	2	24
Prokaryotic_ASV_47	87	128	0	0	152	81	0	0
Prokaryotic_ASV_48	2	0	87	151	1	4	154	117
Prokaryotic_ASV_49	9	7	286	133	7	2	23	45
Prokaryotic_ASV_50	50	33	212	102	35	31	24	8
Prokaryotic_ASV_51	58	76	3	0	148	119	0	0
Prokaryotic_ASV_52	101	103	4	4	108	97	0	0
Prokaryotic_ASV_53	0	0	0	0	0	0	317	205
Prokaryotic_ASV_54	1	7	219	130	1	1	30	40
Prokaryotic_ASV_55	79	78	11	4	67	116	8	18
Prokaryotic_ASV_56	105	92	0	0	58	36	18	40
Prokaryotic_ASV_57	153	119	9	0	19	49	0	0
Prokaryotic_ASV_58	59	102	0	5	120	95	0	1
Prokaryotic_ASV_59	14	7	16	34	93	87	76	58
Prokaryotic_ASV_60	0	0	126	43	36	13	114	74
Prokaryotic_ASV_61	62	58	0	0	118	108	1	0
Prokaryotic_ASV_62	97	109	2	0	31	90	0	2
Prokaryotic_ASV_63	4	1	212	140	0	1	11	2
Prokaryotic_ASV_64	2	1	2	4	125	161	23	12
Prokaryotic_ASV_65	0	0	6	7	0	0	279	143
Prokaryotic_ASV_66	36	34	82	73	52	49	12	15
Prokaryotic_ASV_67	53	75	0	0	96	68	0	0
Prokaryotic_ASV_68	0	2	79	145	0	0	90	40
Prokaryotic_ASV_69	0	0	14	12	0	1	217	147
Prokaryotic_ASV_70	0	0	80	20	3	0	129	137
Prokaryotic_ASV_71	50	49	5	27	55	61	28	13
Prokaryotic_ASV_72	1	0	1	0	79	156	27	44
Prokaryotic_ASV_73	60	58	28	11	56	50	3	0
Prokaryotic_ASV_74	67	78	20	0	30	85	0	0
Prokaryotic_ASV_75	0	0	31	9	0	0	45	246
Prokaryotic_ASV_76	5	10	23	109	16	7	64	105
Prokaryotic_ASV_77	27	16	71	73	44	30	17	9
Prokaryotic_ASV_78	0	0	38	40	0	0	112	115
Prokaryotic_ASV_79	0	0	81	129	3	0	34	44
Prokaryotic_ASV_80	88	76	5	0	46	55	1	2
Prokaryotic_ASV_81	2	1	56	103	4	1	75	61
Prokaryotic_ASV_82	0	2	41	8	4	0	47	211
Prokaryotic_ASV_83	0	0	3	0	67	92	20	64
Prokaryotic_ASV_84	57	67	1	2	43	45	0	0
Prokaryotic_ASV_85	13	13	25	85	39	16	23	24
Prokaryotic_ASV_86	1	1	139	82	3	4	4	1
Prokaryotic_ASV_87	4	1	75	93	6	3	23	30
Prokaryotic_ASV_88	13	24	21	12	83	68	2	9
Prokaryotic_ASV_89	59	61	0	0	34	62	0	0
Prokaryotic_ASV_90	16	42	47	27	36	26	6	12
Prokaryotic_ASV_91	55	67	8	3	38	48	0	0
Prokaryotic_ASV_92	39	34	72	4	33	34	1	1
Prokaryotic_ASV_93	48	60	4	2	28	42	5	9
Prokaryotic_ASV_94	48	45	18	4	27	26	18	8
Prokaryotic_ASV_95	58	40	2	1	44	42	0	0
Prokaryotic_ASV_96	45	36	14	3	48	42	2	3
