group	abundance
C0	0.863786106
C0	0.957327803
C0	1.092435752
C0	0.981551019
C0	1.063766686
C0	0.951181358
C0	1.094201279
C0	1.07780761
C0	1.002826594
C0	0.944825018
C0	1.0140682
C0	1.099517767
C0	1.005107208
C0	0.749929719
C0	0.995101211
C0	0.959171757
C0	0.835659276
C0	1.0195518
C0	1.076675717
C0	1.282904664
C0	1.398606521
C0	1.212922299
C0	1.102426433
C0	0.933782133
C0	1.088059185
C0	0.883929933
C0	1.025115676
C0	0.987219364
C0	0.873864089
C0	0.902244168
C0	1.007249461
C0	1.120806611
C0	0.811104534
C0	1.17956858
C0	1.096535559
C0	0.755514501
C0	1.792854247
C0	0.888300085
C0	1.241668584
C0	0.726004245
C0	1.003664404
C0	0.893818832
C0	1.069308601
C0	1.312239681
C0	1.395153357
C0	1.346009022
C0	1.298099369
C0	0.828443617
C0	1.279041945
C0	1.208261393
C0	1.01644146
C0	0.847234407
C0	1.118762441
C0	1.745629124
C0	1.209854222
C0	1.108866169
C0	0.843758305
C0	0.91283992
C0	0.956205421
C0	0.698487618
C0	1.129509178
C0	1.14932758
C0	1.097705884
C0	1.256777956
C0	0.898716298
C0	0.843935554
C0	1.332576826
C0	1.757400554
C0	0.981646395
C0	1.039783846
C0	0.861547398
C0	1.199804855
C0	1.494239524
C0	1.055311232
C0	0.903517394
C0	1.410076535
C0	0.764421242
C0	1.131510815
C0	0.780466877
C0	0.885324162
C0	0.873444361
C0	0.983613208
C0	0.97011167
C0	1.158797925
C0	0.889682762
C0	1.143682538
C0	0.952408448
C0	0.923792086
C0	0.98019776
C0	0.778921418
C0	1.292119602
C0	1.569979661
C0	0.790744379
C0	1.034187121
C0	0.917062986
C0	1.247773077
C0	1.117135052
C0	0.871666982
C0	1.188284435
C0	0.890113215
C0	0.864356398
C0	0.967189161
C0	0.821805907
C0	1.158280451
C0	0.852024844
C0	1.01991723
C0	1.441553751
C0	1.295259092
C0	0.941521162
C0	0.765935232
C0	0.897994547
C0	0.993999082
C0	0.909355202
C0	0.984893092
C0	1.070381544
C0	1.040097506
C0	1.145360767
C0	0.781823464
C0	1.079635118
C0	1.309599936
C0	1.548090653
C0	1.079621325
C0	0.875747289
C0	0.726843589
C0	0.947284487
C0	1.090322434
C0	1.065303105
C0	1.008981162
C0	0.924085449
C0	0.861684303
C0	0.95961862
C0	1.339745469
C0	1.175211791
C0	1.273081129
C0	1.057650093
C0	0.756053489
C0	1.07193342
C0	1.062907001
C0	0.823948583
C0	1.426197382
C0	0.848673778
C0	1.048072341
C0	0.725935934
C0	1.490279022
C0	1.140035499
C0	1.104474615
C0	1.171461614
C0	1.5970231
C0	0.786121267
C0	0.792430585
C0	1.181363999
C0	1.297771407
C0	1.293414777
C0	0.749324236
C0	1.421628865
C0	1.12784972
C0	1.069835863
C0	0.728148227
C0	0.854226282
C0	1.160589738
C0	1.191271866
C0	0.996881497
C0	1.182574216
C0	1.069962977
C0	0.98380254
C0	1.016601127
C0	0.780158431
C0	0.899302946
C0	0.936528922
C0	0.945401343
C0	0.996527827
C0	1.161552463
C0	0.706529007
C0	1.080155108
C0	0.74775999
C0	0.698668569
C0	0.982201016
C0	1.050910408
C0	0.798612911
C0	1.125448961
C0	1.066852053
C0	1.208022878
C0	0.868236633
C0	1.175029444
C0	0.764640101
C0	0.727712582
C0	0.868893284
C0	0.696651425
C0	1.059880371
C0	1.058540164
C0	1.208526742
C0	0.679936396
C0	1.133405885
C0	0.850982068
C0	1.027205798
C0	0.904244413
C0	1.504312014
C0	1.493032359
C0	0.880608511
C0	1.193594468
C0	1.043482999
C0	0.868929387
C0	0.720520866
C0	1.055940524
C0	1.298279014
C0	0.865971164
C0	1.281672424
C0	0.787451831
C0	0.87060415
C0	0.950628516
C0	1.028938946
C0	0.913116329
C0	0.829286529
C0	1.368537848
C0	0.765550244
C0	1.054940605
C0	0.793840772
C0	0.923353807
C0	1.062876377
C0	0.885986849
C0	1.442223005
C0	1.048175241
C0	0.854970132
C0	0.763356104
C0	0.840875845
C0	0.763650625
C0	1.205077442
C0	1.037361668
C0	1.09182781
C0	0.702514595
C0	0.854250278
C0	1.014837995
C0	0.945239678
C0	1.018845447
C0	0.744714084
C0	1.10870307
C0	0.722148228
C0	0.832740221
C0	1.04710318
C0	1.21852642
C0	1.05458096
C0	0.912727925
C0	1.03681774
C0	0.745064403
C0	0.823541409
C0	1.453049468
C0	0.809594632
C0	0.967043471
C0	0.999670115
C0	0.917269761
C0	0.844684705
C0	0.904244131
C0	1.269539094
C0	1.441562958
C0	0.76198524
C0	0.909815902
C0	0.892502536
C0	1.176848457
C0	1.383982663
C0	1.449231282
C0	1.320017641
C0	0.793822264
C0	1.023218312
C0	0.77757079
C0	0.739656395
C0	1.096230975
C0	0.867031737
C0	1.016145302
C0	0.940559414
C0	0.78179227
C0	0.753516768
C0	0.758417431
C0	1.139935038
C0	1.236402166
C0	0.757329285
C0	0.73189186
C0	0.728293423
C0	0.868447992
C0	1.142360335
C0	0.754260092
C0	1.205622374
C0	1.441034223
C0	0.609451015
C0	1.021343674
C0	0.785974277
C0	1.172890848
C0	1.022596942
C0	1.519421193
C0	1.544935853
C0	0.793974118
C0	1.173475575
C0	1.14717697
C0	0.826119397
C0	1.072232136
C0	0.87248324
C0	1.699730595
C0	0.750004815
C0	1.402571899
C0	1.080164894
C0	1.385070743
C0	0.86961461
C0	0.875830123
C0	1.390579758
C0	0.768323749
C0	0.776766105
C0	0.972239599
C0	1.125297782
C0	0.922644413
C0	1.497531103
C0	0.79488233
C0	0.71864856
C0	0.745517897
C0	0.996127905
C0	1.060718988
C0	1.234207067
C0	1.768251429
C0	1.30668872
C0	1.529732805
C0	1.276701244
C0	1.168841748
C0	0.779371567
C0	0.724070473
C0	0.950802517
C0	0.974839385
C0	0.954679238
C0	0.797172311
C0	1.25630781
C0	1.241117702
C0	1.037774551
C0	0.722301017
C0	0.854825851
C0	1.836539374
C0	0.615760456
C0	0.922879146
C0	0.761060013
C0	1.301327147
C0	0.898151369
C0	0.813231077
C0	0.751005659
C0	1.584456292
C0	1.082089907
C0	1.440319111
C0	1.099099479
C0	1.364032309
C0	1.085163305
C0	0.832685341
C0	1.332654463
C0	1.140147637
C0	1.095512256
C0	0.760371737
C0	1.365078263
C0	0.653392969
C0	1.435640671
C0	0.710623493
C0	1.143895306
C0	1.126698284
C0	0.743236614
C0	1.243436176
C0	1.122818556
C0	1.164860089
C0	1.266176218
C0	1.105638308
C0	0.659840244
C0	0.818980409
C0	0.812258783
C0	1.314010914
C0	1.253664331
C0	1.277947878
C0	1.004894179
C0	1.357693022
C0	1.124353891
C0	1.34545913
C0	0.666421779
C0	1.382154788
C0	1.48188912
C0	0.989258259
C0	1.036975474
C0	1.311076236
C0	1.352136867
C0	1.837510978
C0	1.247072116
C0	1.243652153
C0	1.162630711
C0	1.106807314
C0	0.698314307
C0	0.988091728
C0	1.085777129
C0	0.789258926
C0	1.094589172
C0	0.961922024
C0	1.594776538
C0	1.423529482
C0	0.944579129
