group	abundance
C0	0.602429853
C0	1.445790381
C0	2.474669559
C0	2.39981231
C0	1.275351165
C0	2.269384972
C0	0.590822916
C0	1.167138055
C0	0.65737629
C0	0.793675421
C0	0.981133748
C0	1.828563426
C0	1.663796384
C0	1.282992317
C0	1.51435682
C0	1.690450865
C0	1.113620685
C0	1.264923056
C0	1.189991723
C0	2.34745605
C0	1.09508524
C0	0.793178066
C0	1.331771801
C0	1.7215178
C0	1.650829946
C0	2.756014417
C0	1.034687642
C0	1.08439001
C0	4.546413713
C0	1.880237027
C0	1.39872629
C0	1.512563548
C0	0.495948848
C0	1.641522396
C0	1.230740899
C0	2.612669728
C0	2.599070181
C0	1.17984685
C0	2.181609663
C0	0.604006625
C0	0.721202878
C0	1.200314629
C0	0.863450595
C0	1.08224953
C0	0.834914152
C0	1.875421231
C0	1.503490576
C0	1.309809915
C0	1.632918472
C0	1.628364507
C0	1.08711872
C0	1.497145677
C0	1.098196536
C0	1.698268661
C0	2.474029652
C0	1.146367762
C0	0.92029847
C0	0.852532716
C0	1.311691869
C0	1.789912088
C0	1.812511254
C0	0.966534111
C0	2.772062689
C0	1.125562294
C0	1.092319
C0	0.667089133
C0	4.263037821
C0	2.138913345
C0	1.715534052
C0	1.634927675
C0	2.816550938
C0	1.125755549
C0	1.093878575
C0	0.873776865
C0	1.228789022
C0	1.3890198
C0	0.622783177
C0	0.612533907
C0	3.855495999
C0	0.946397336
C0	2.486364784
C0	0.756723187
C0	4.523370132
C0	2.094440661
C0	0.543841457
C0	1.35165566
C0	2.905667278
C0	1.240313717
C0	1.219929127
C0	0.647799116
C0	1.034201531
C0	1.578815642
C0	0.495219008
C0	0.978460777
C0	3.620921449
C0	1.856994943
C0	2.498821039
C0	0.776768327
C0	4.113004362
C0	2.126974523
C0	0.472249286
C0	1.553521587
C63	0.646392648
C63	0.705899908
C63	0.396750691
C63	0.375892075
C63	0.424266348
C63	0.67942846
C63	0.433092639
C63	0.375865921
C63	0.695749911
C63	0.582086259
C63	0.470571712
C63	0.535353208
C63	0.338252985
C63	0.735807375
C63	2.937661577
C63	0.336022077
C63	0.994468535
C63	0.479438177
C63	2.089842434
C63	2.238709088
C63	0.545706892
C63	1.895245366
C63	0.515801928
C63	0.713817082
C63	0.542803649
C63	0.501338108
C63	0.593547529
C63	1.461503884
C63	1.351083328
C63	0.541311596
C63	1.169293804
C63	1.070835459
C63	0.804519836
C63	1.16422841
C63	0.610090694
C63	1.119720263
C63	1.788517929
C63	0.749185703
C63	0.586210836
C63	1.026513286
C63	0.922298685
C63	1.295253943
C63	2.347776572
C63	0.894102574
C63	0.722670885
C63	4.525896226
C63	1.972171168
C63	0.881319822
C63	0.25979725
C63	0.296983797
C63	0.399282732
C63	0.368308069
C63	0.419664707
C63	0.417018595
C63	0.270356137
C63	0.884539819
C63	0.304485314
C63	0.28956792
C63	0.32712337
C63	0.907572256
C63	0.616965407
C63	0.373667276
C63	0.583894675
C63	0.472551508
C63	0.290607391
C63	0.66412465
C63	0.351666559
C63	0.276112827
C63	0.639110851
C63	0.28173211
C63	0.928873876
C63	0.688822248
C63	0.807980885
C63	0.375056659
C63	0.34532973
C63	0.324832488
C63	0.336938155
C63	0.254955217
C63	0.235308052
C63	0.292869234
C63	0.330237158
C63	0.402801515
C63	0.725231854
C63	0.263949036
C63	0.412652754
C63	0.49691229
C63	0.362985524
C63	0.304331667
C63	0.66923165
C63	0.575138383
