gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KSW-C63_2_C_NODE_773_length_32713_cov_247.388971||full	38822.7448147814	15.3559574582083	0.998541077545381	15.3783933415703	2.28548800748379e-53	2.2269795144922e-49
KSW-cf_coassembly_k141_22594||full	36901.7195686127	15.209202984093	1.01908162373066	14.9244208019522	2.28611997159819e-50	1.11379765016264e-46
KSW-cf_2nd_assembly_k141_1929085||full	25046.7728663294	14.332931740588	0.970571975538259	14.7675103978139	2.37318499666456e-49	7.70810486916648e-46
KSW-cf_2nd_assembly_k141_2294422||full	31196.7673696865	14.9669374127412	1.01865240999341	14.6928797948243	7.16048081087619e-49	1.74429312552944e-45
KSW-cf_2nd_assembly_k141_1636345||full	35986.8490239537	15.7992865102185	1.07802525600641	14.6557665715065	1.23752032162335e-48	2.41167960277958e-45
KSW-C63_1_C_NODE_2662_length_15889_cov_227.213338	27698.4464158228	15.4214557151783	1.08386204612784	14.2282459011019	6.11976060578175e-46	9.93849122378957e-43
KSW-T63_2_C_NODE_815_length_34070_cov_143.807026||full	56725.0194711791	15.9958699666698	1.17526144387816	13.6104779493882	3.46967297179745e-42	4.82978477674204e-39
KSW-T63_2_C_NODE_608_length_38588_cov_125.649599||full	42257.6196048069	16.1288706219713	1.19152832583788	13.5362880363163	9.5493827036828e-42	1.16311481330856e-38
KSW-C63_2_C_NODE_199_length_69702_cov_237.932560||full_1	84152.6998985953	17.9651343258729	1.34635941708295	13.3434906741296	1.29262149858633e-40	1.39947820913613e-37
KSW-cf_coassembly_k141_3923619||full_1	15740.7877799627	12.4419445078212	0.949788634946107	13.0996982381529	3.3056933278606e-39	3.22106757866737e-36
KSW-cf_coassembly_k141_428457||full	33525.8419704433	12.7790263272724	0.979496439813786	13.0465265700219	6.65112773970313e-39	5.8916898814243e-36
KSW-cf_coassembly_k141_2845557||full	14864.5892326503	12.7274907518255	0.983900823281065	12.935745606333	2.82865461661314e-38	2.29686754868987e-35
KSW-C63_2_C_NODE_38_length_142231_cov_25.555572||full	14785.4740581805	12.6731960880422	0.98637425608309	12.848263232627	8.79629713600491e-38	6.5931630225563e-35
KSW-T63_2_C_NODE_525_length_41385_cov_134.747883||full_1	39047.2658864669	15.801392141844	1.2377158548022	12.7665748810895	2.52001646825193e-37	1.75393146190334e-34
KSW-T63_1_C_NODE_1019_length_27599_cov_241.172306	46925.2046069051	17.1226612275407	1.34536900187086	12.7271114495206	4.18019778992565e-37	2.7154564843357e-34
KSW-T63_1_C_NODE_1269_length_24379_cov_220.645371||full	36327.7683864211	15.6972618830218	1.23757704083017	12.6838664302402	7.26574188906722e-37	4.42483681044193e-34
KSW-C63_2_C_NODE_1004_length_27685_cov_242.333189	35942.2127375094	15.6817183372998	1.23858898436342	12.660954146431	9.73093970163459e-37	5.57754567368985e-34
