	C0_1_C	C0_2_C	C63_1_C	C63_2_C
KSW-C0_1_V_NODE_3_length_45144_cov_10.795449||full	10.2245139425677	9.8303554815723	11.5095421392922	10.5261604363041
KSW-C0_1_V_NODE_4_length_32343_cov_97.907396||full	9.78241099744963	8.14386879085214	11.1498393948067	10.269163498764
KSW-C0_1_V_NODE_18_length_21379_cov_40.742872||full	9.55508738164737	7.78035560609678	12.2821796043325	11.4502121760383
KSW-C0_1_V_NODE_22_length_19259_cov_5.919131||full	4.08517143508171	3.15203005540446	3.82991977538708	5.84688053464377
KSW-C0_1_V_NODE_24_length_18532_cov_24.651296||full	5.82574877645641	6.05369974295128	6.3442898925104	6.47260714107266
KSW-C0_1_V_NODE_33_length_15465_cov_204.769500||full	9.514912417005	8.38321225815303	10.6060922339104	10.100919254153
KSW-C0_1_V_NODE_42_length_13419_cov_8.576923||full	3.25296471822983	3.87988673391643	2.5317251510737	4.1215138010276
KSW-C0_1_V_NODE_49_length_12878_cov_8.473134||full	8.11399328230908	5.92964718321828	8.5096037863498	8.44753989173812
KSW-C0_1_V_NODE_55_length_12321_cov_31.357900||full	3.75685345068644	3.87988673391643	3.82991977538708	4.1215138010276
KSW-C0_1_V_NODE_70_length_11007_cov_7.063367||full	4.44881444717133	4.37952955285128	4.49844204323697	3.68284383778905
KSW-C0_1_V_NODE_75_length_10241_cov_6.036717||full	3.54162108714587	2.5317251510737	3.46463352344005	2.5317251510737
KSW-C0_1_V_NODE_84_length_9470_cov_10.482209||full	7.94278376677739	7.78746691089485	8.95029083587155	8.44753989173812
KSW-C0_1_V_NODE_90_length_9216_cov_69.689663||full	6.1618236798382	6.23209236555677	5.59771447755709	5.63522557815563
KSW-C0_1_V_NODE_96_length_9071_cov_5.409494||full	3.54162108714587	2.5317251510737	3.46463352344005	2.5317251510737
KSW-C0_1_V_NODE_139_length_7572_cov_34.490754||full	4.44881444717133	4.53280245267819	3.82991977538708	4.89964314992705
KSW-C0_1_V_NODE_146_length_7445_cov_42.105683||full	5.78730324971744	5.64320717920637	5.9327792671168	6.53456133695861
KSW-C0_1_V_NODE_148_length_7426_cov_75.581332||full	6.64045654083151	6.44581188339329	5.87182759435757	6.40784778028763
KSW-C0_1_V_NODE_160_length_7179_cov_6.889809||full	3.25296471822983	3.15203005540446	2.5317251510737	2.5317251510737
KSW-C0_1_V_NODE_168_length_6976_cov_7.545441||full	3.25296471822983	3.15203005540446	3.82991977538708	6.40784778028763
KSW-C0_1_V_NODE_192_length_6391_cov_7.574811||full	3.54162108714587	4.85108658621336	3.46463352344005	4.43726575838817
KSW-C0_1_V_NODE_195_length_6324_cov_3.979582||full	2.5317251510737	3.15203005540446	3.46463352344005	2.5317251510737
KSW-C0_1_V_NODE_203_length_6218_cov_5.698848||full	3.25296471822983	3.15203005540446	2.5317251510737	4.43726575838817
