gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KSW-T63_2_V_NODE_43_length_34268_cov_198.030719||full	88564.4229996422	14.4366236973737	0.860637694513954	16.7743334848084	3.7605481379321e-63	3.40893688703545e-59
KSW-T63_2_C_NODE_1041_length_29862_cov_595.431107||full	98189.5215702369	14.9302603031583	0.896225912886545	16.6590366206565	2.60181593551464e-62	1.17927307277201e-58
KSW-T63_1_C_NODE_479_length_42403_cov_301.997898||full	119359.043830629	15.3462862485159	0.92694704733181	16.5557313038428	1.455619757014e-61	4.39839769911062e-58
KSW-C63_1_C_NODE_426_length_46439_cov_216.865816	50678.5281088963	14.6319664793993	0.896439139291727	16.3223199858944	6.84827611724716e-60	1.55199057507114e-56
KSW-T63_2_C_NODE_795_length_34451_cov_619.012967||full	64980.7556073794	13.8958744937206	0.855409712342891	16.2447003970308	2.4352823532753e-59	4.41516690648812e-56
KSW-T63_1_V_NODE_117_length_18623_cov_46.140187||full	54211.4309134113	15.2138088899441	0.951059218116334	15.9966998901252	1.34729976716867e-57	2.03554539823066e-54
KSW-C63_2_C_NODE_199_length_69702_cov_237.932560||full_1	74721.1256473881	15.6679976086763	1.00759340847461	15.5499207089852	1.5930292054908e-54	2.06297282111059e-51
KSW-cf_2nd_assembly_k141_3890211||full	39049.3892453098	15.0665104657221	0.971301162843338	15.5116775744581	2.89222530004449e-54	3.27725279311292e-51
KSW-T63_1_C_NODE_508_length_40898_cov_95.112724||full	27443.3691277507	13.9656342293215	0.902492116429188	15.4745221316482	5.15546752765875e-54	5.19270145980296e-51
KSW-cf_2nd_assembly_k141_999355||full	40057.4409237771	12.7145628986449	0.823129769484803	15.4466080197815	7.95194421796489e-54	7.20843743358517e-51
KSW-T63_1_C_NODE_3497_length_12486_cov_315.649988||full	30393.4334098472	14.1199030688597	0.923744317560916	15.285510070733	9.5512217858199e-53	7.87107504440522e-50
KSW-T63_2_C_NODE_3010_length_15699_cov_636.953720||full	30396.4437494615	13.7049386232419	0.899828003460197	15.2306202635848	2.21480289944674e-52	1.67309902362372e-49
KSW-vf_coassembly_k141_439057||full_1	88703.7421250587	14.2360928121615	0.943706308250498	15.0853000427148	2.02352668792135e-51	1.41102072507747e-48
KSW-vf_coassembly_k141_40347||full	27818.9881095396	13.4098118448815	0.891181790155853	15.0472238021564	3.60028838293989e-51	2.33118672795358e-48
KSW-T63_2_C_NODE_608_length_38588_cov_125.649599||full	38282.8475634582	15.447566827653	1.02728166825569	15.0373235549727	4.18115968606752e-51	2.52681417028014e-48
KSW-cf_2nd_assembly_k141_3382425||full	29699.1746790757	14.6716168866054	0.978156095026395	14.9992592810143	7.42432328860039e-51	4.20634316319766e-48
KSW-cf_coassembly_k141_3786794||full	25014.8136535383	13.4237969155037	0.8970523439553	14.9643407165242	1.25562042209339e-50	6.69541125075095e-48
KSW-C63_2_C_NODE_781_length_32474_cov_353.402326||full	53207.4671858469	14.0413973469874	0.942135795785903	14.903793497491	3.11386519396928e-50	1.56817711018508e-47
KSW-cf_coassembly_k141_3229709||full	52714.1926170567	14.3153056852636	0.975684704340666	14.6720611910559	9.73425131660433e-49	4.64426253605359e-46
KSW-T63_2_C_NODE_1358_length_25923_cov_636.094286||full	63007.8474964945	15.156201044668	1.03527289366926	14.6398124951874	1.56499220765541e-48	7.09332718119814e-46
KSW-vf_coassembly_k141_839885||full	21547.4453037324	14.2086924784526	0.97427551705687	14.5838545972856	3.55844234727195e-48	1.53606094657239e-45
KSW-T63_1_C_NODE_9009_length_6310_cov_331.628137||full	17373.2954103414	13.3129560001906	0.921330320469227	14.4497100599168	2.51743339794996e-47	1.0372969887462e-44
KSW-T63_2_V_NODE_696_length_8802_cov_260.706414||full	29613.2846012921	15.0769576266012	1.04523505598105	14.4244660952843	3.63068520065763e-47	1.43096353669397e-44
KSW-T63_1_C_NODE_1269_length_24379_cov_220.645371||full	32901.5163550443	15.8194991874763	1.09743214914313	14.4150134473717	4.16358087136039e-47	1.57261919162008e-44
KSW-cf_2nd_assembly_k141_537241||full	19632.9754016396	14.4841821857567	1.01959388605101	14.2058346797816	8.42922937781544e-46	3.05643857239588e-43
KSW-T63_2_V_NODE_559_length_10044_cov_165.736610||full	23472.5388156206	14.7527591779984	1.03872392976024	14.2027720314518	8.80589749973816e-46	3.07021003212025e-43
KSW-T63_2_C_NODE_2178_length_19188_cov_611.183087||full	39701.3488026313	13.906252359729	0.979418502669365	14.1984783030217	9.36233504845982e-46	3.1433173042329e-43
KSW-cf_coassembly_k141_1132762||full	26690.9189028864	15.5176881370824	1.09826096750379	14.129326814147	2.50527705401458e-45	8.11083446237219e-43
KSW-cf_2nd_assembly_k141_4192633||full	24767.2890118166	14.3999333096631	1.01969412966622	14.1218164258498	2.78713543750143e-45	8.71220094515532e-43
KSW-megahit_k141_911892||full	20855.7612804763	14.5821985738267	1.03502760989259	14.0887049142003	4.4565961532348e-45	1.34663480430245e-42
KSW-C63_2_C_NODE_1836_length_18495_cov_259.026681	25194.9913838573	15.43447454667	1.09799946891411	14.0569052933462	6.98756774940048e-45	2.04330005317146e-42
KSW-T63_1_C_NODE_270_length_54402_cov_228.770530||full	82196.3519762965	16.5357148290654	1.19290947499308	13.86166777589	1.0813229245795e-43	3.06318509728535e-41
KSW-C63_2_V_NODE_626_length_5563_cov_9.444263||full	12808.713680604	13.1322194005623	0.950468131560257	13.8165804454747	2.02461423402644e-43	5.56155394892416e-41
KSW-cf_coassembly_k141_2714877||full	12366.4099538796	13.4075465224091	0.974603493350497	13.7569243429619	4.6280045115208e-43	1.2339076734393e-40
KSW-C63_2_C_NODE_2946_length_13334_cov_91.179306||full	13796.2749266012	12.9730786496739	0.943938760734096	13.7435596347212	5.56699660048112e-43	1.44185211952461e-40
KSW-T63_1_C_NODE_1040_length_27361_cov_292.764923||full	69195.533459558	16.2871177324758	1.20462706919627	13.5204646723924	1.18425399943886e-41	2.9820173624759e-39
KSW-megahit_k141_152092||full	14545.2526438043	14.0512652786205	1.03955395303573	13.5166291634866	1.24762812122985e-41	3.05668889701312e-39
KSW-cf_coassembly_k141_149485||full	13414.5254943963	13.9344941948655	1.0410013438157	13.3856639836696	7.3339022451532e-41	1.74952168032405e-38
KSW-T63_1_V_NODE_693_length_7509_cov_48.058760||full	13292.4124639977	13.5212972586212	1.01221715392408	13.3580993032996	1.06242416511669e-40	2.42793546010562e-38
KSW-T63_2_V_NODE_1779_length_5180_cov_140.846244||full	14160.7277009558	13.5933650684407	1.01765964390341	13.3574767849701	1.07134493551268e-40	2.42793546010562e-38
