	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-C0_1_V_NODE_3_length_45144_cov_10.795449||full	9.14621213209319	8.89018007609955	10.0110818833372	9.97765908905369
KSW-C0_1_V_NODE_4_length_32343_cov_97.907396||full	9.22126577132465	8.51332443295156	9.55203305954911	9.30333132865402
KSW-C0_1_V_NODE_18_length_21379_cov_40.742872||full	8.66949089075158	7.60777897020297	10.4802752612744	10.7496396429811
KSW-C0_1_V_NODE_22_length_19259_cov_5.919131||full	3.79048013381601	2.53901901765115	4.37970386996405	5.30191295024798
KSW-C0_1_V_NODE_24_length_18532_cov_24.651296||full	5.27341733456243	5.53936851290193	7.02613826769701	7.95482626676361
KSW-C0_1_V_NODE_33_length_15465_cov_204.769500||full	7.72524018197192	7.4875713918516	8.66006717933604	9.14787696891612
KSW-C0_1_V_NODE_42_length_13419_cov_8.576923||full	2.53901901765115	3.89961208311807	5.55329009972692	6.30954087369204
KSW-C0_1_V_NODE_49_length_12878_cov_8.473134||full	7.74886339958207	6.63217453463893	8.34510637704513	9.26180296546753
KSW-C0_1_V_NODE_55_length_12321_cov_31.357900||full	2.53901901765115	2.53901901765115	4.37970386996405	4.37515032793527
KSW-C0_1_V_NODE_70_length_11007_cov_7.063367||full	3.17928590080638	2.53901901765115	5.00930154551855	5.00368996020601
KSW-C0_1_V_NODE_75_length_10241_cov_6.036717||full	3.43735863993487	3.16536571354259	2.53901901765115	2.53901901765115
KSW-C0_1_V_NODE_84_length_9470_cov_10.482209||full	7.03583377006051	6.92495327637039	7.58280857227273	7.30744858961797
KSW-C0_1_V_NODE_90_length_9216_cov_69.689663||full	3.79048013381601	3.89961208311807	5.76195571657766	5.65507408745613
KSW-C0_1_V_NODE_96_length_9071_cov_5.409494||full	3.43735863993487	3.41811642011516	3.64780911870078	2.53901901765115
KSW-C0_1_V_NODE_139_length_7572_cov_34.490754||full	2.53901901765115	2.53901901765115	4.37970386996405	6.37364326656827
KSW-C0_1_V_NODE_146_length_7445_cov_42.105683||full	4.59639582591019	3.89961208311807	5.00930154551855	4.82571182891946
KSW-C0_1_V_NODE_148_length_7426_cov_75.581332||full	3.17928590080638	4.01950501274987	6.1047164939543	5.30191295024798
KSW-C0_1_V_NODE_160_length_7179_cov_6.889809||full	3.43735863993487	2.53901901765115	3.64780911870078	2.53901901765115
KSW-C0_1_V_NODE_168_length_6976_cov_7.545441||full	2.53901901765115	3.16536571354259	6.38067475005484	6.37364326656827
KSW-C0_1_V_NODE_192_length_6391_cov_7.574811||full	2.53901901765115	2.53901901765115	2.53901901765115	5.93698565630794
KSW-C0_1_V_NODE_195_length_6324_cov_3.979582||full	3.43735863993487	3.16536571354259	2.53901901765115	2.53901901765115
KSW-C0_1_V_NODE_214_length_6119_cov_4.719492||full	2.53901901765115	3.16536571354259	2.53901901765115	2.53901901765115
KSW-C0_1_V_NODE_218_length_6068_cov_4.097289||full	2.53901901765115	2.53901901765115	2.53901901765115	4.0687847575817
KSW-C0_1_V_NODE_219_length_6061_cov_5.944555||full	4.97712142546888	4.48242372955194	4.62505266837835	4.0687847575817
KSW-C0_1_V_NODE_228_length_5969_cov_4.273926||full	4.66801697375939	3.60781406348217	5.30792807924474	6.01971641983957
KSW-C0_1_V_NODE_230_length_5952_cov_115.507207||full	5.18160903543016	5.64080705850129	9.79389262352019	10.5293637960506
KSW-C0_1_V_NODE_251_length_5697_cov_5.062035||full	4.4398690424555	4.31798476793454	4.83105319218137	6.30954087369204
KSW-C0_1_V_NODE_270_length_5558_cov_6.468290||full	6.49786985345136	5.76557922907419	7.55539332996856	8.51752206240141
KSW-C0_1_V_NODE_277_length_5493_cov_27.257815||full	3.63087240897663	4.22665873055487	7.34730934676423	6.55031814368477
KSW-C0_1_V_NODE_278_length_5472_cov_517.713679||full	2.53901901765115	2.53901901765115	3.64780911870078	4.62005218245783
KSW-C0_1_V_NODE_298_length_5312_cov_4.248240||full	3.17928590080638	2.53901901765115	2.53901901765115	2.53901901765115
KSW-C0_1_V_NODE_322_length_5205_cov_9.032816||full	4.4398690424555	4.98647055545611	6.44206511856601	6.75636629654227
KSW-C0_1_V_NODE_327_length_5184_cov_7.461883||full	2.53901901765115	3.16536571354259	2.53901901765115	2.53901901765115
KSW-C0_1_V_NODE_368_length_5010_cov_3.215338||full	2.53901901765115	3.16536571354259	4.83105319218137	2.53901901765115
KSW-C0_2_V_NODE_3_length_34709_cov_12.949241||full	9.77312219409088	9.38155399339431	10.5055413189596	10.5741577140295
KSW-C0_2_V_NODE_4_length_34366_cov_134.031273||full	8.66536119293695	9.28190680737328	10.6223358247661	11.0398385416166
KSW-C0_2_V_NODE_8_length_26741_cov_10.303080||full	9.28185807990736	8.74803660511294	9.87368170447037	10.0181266711692
KSW-C0_2_V_NODE_16_length_19884_cov_25.608755||full	5.27341733456243	5.26932259596897	7.24801336154386	8.16773804934484
KSW-C0_2_V_NODE_19_length_17839_cov_68.368758||full	7.94566422512474	8.32084743135878	9.50984573299246	9.8545618673687
KSW-C0_2_V_NODE_21_length_17152_cov_7.584664||full	7.42632138299477	7.37589071010456	7.89855496597334	8.05551722496802
KSW-C0_2_V_NODE_25_length_15466_cov_187.878918||full	6.13932989734486	7.13408492803501	10.4433955639872	10.7586241101285
