Contig	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-C0_1_V_NODE_3_length_45144_cov_10.795449||full	954	832	566	556
KSW-C0_1_V_NODE_4_length_32343_cov_97.907396||full	1006	636	410	346
KSW-C0_1_V_NODE_18_length_21379_cov_40.742872||full	680	330	786	954
KSW-C0_1_V_NODE_22_length_19259_cov_5.919131||full	8	0	6	16
KSW-C0_1_V_NODE_24_length_18532_cov_24.651296||full	48	64	66	132
KSW-C0_1_V_NODE_33_length_15465_cov_204.769500||full	344	302	218	310
KSW-C0_1_V_NODE_42_length_13419_cov_8.576923||full	0	10	20	38
KSW-C0_1_V_NODE_49_length_12878_cov_8.473134||full	350	158	174	336
KSW-C0_1_V_NODE_55_length_12321_cov_31.357900||full	0	0	6	6
KSW-C0_1_V_NODE_70_length_11007_cov_7.063367||full	2	0	12	12
KSW-C0_1_V_NODE_75_length_10241_cov_6.036717||full	4	2	0	0
KSW-C0_1_V_NODE_84_length_9470_cov_10.482209||full	206	198	100	82
KSW-C0_1_V_NODE_90_length_9216_cov_69.689663||full	8	10	24	22
KSW-C0_1_V_NODE_96_length_9071_cov_5.409494||full	4	4	2	0
KSW-C0_1_V_NODE_139_length_7572_cov_34.490754||full	0	0	6	40
KSW-C0_1_V_NODE_146_length_7445_cov_42.105683||full	24	10	12	10
KSW-C0_1_V_NODE_148_length_7426_cov_75.581332||full	2	12	32	16
KSW-C0_1_V_NODE_160_length_7179_cov_6.889809||full	4	0	2	0
KSW-C0_1_V_NODE_168_length_6976_cov_7.545441||full	0	2	40	40
KSW-C0_1_V_NODE_192_length_6391_cov_7.574811||full	0	0	0	28
KSW-C0_1_V_NODE_195_length_6324_cov_3.979582||full	4	2	0	0
KSW-C0_1_V_NODE_214_length_6119_cov_4.719492||full	0	2	0	0
KSW-C0_1_V_NODE_218_length_6068_cov_4.097289||full	0	0	0	4
KSW-C0_1_V_NODE_219_length_6061_cov_5.944555||full	36	22	8	4
KSW-C0_1_V_NODE_228_length_5969_cov_4.273926||full	26	6	16	30
KSW-C0_1_V_NODE_230_length_5952_cov_115.507207||full	44	70	486	818
KSW-C0_1_V_NODE_251_length_5697_cov_5.062035||full	20	18	10	38
KSW-C0_1_V_NODE_270_length_5558_cov_6.468290||full	136	78	98	198
KSW-C0_1_V_NODE_277_length_5493_cov_27.257815||full	6	16	84	46
KSW-C0_1_V_NODE_278_length_5472_cov_517.713679||full	0	0	2	8
KSW-C0_1_V_NODE_298_length_5312_cov_4.248240||full	2	0	0	0
KSW-C0_1_V_NODE_322_length_5205_cov_9.032816||full	20	38	42	54
KSW-C0_1_V_NODE_327_length_5184_cov_7.461883||full	0	2	0	0
KSW-C0_1_V_NODE_368_length_5010_cov_3.215338||full	0	2	10	0
KSW-C0_2_V_NODE_3_length_34709_cov_12.949241||full	1484	1178	800	844
KSW-C0_2_V_NODE_4_length_34366_cov_134.031273||full	678	1098	868	1168
KSW-C0_2_V_NODE_8_length_26741_cov_10.303080||full	1050	752	514	572
KSW-C0_2_V_NODE_16_length_19884_cov_25.608755||full	48	50	78	154
KSW-C0_2_V_NODE_19_length_17839_cov_68.368758||full	404	554	398	510
KSW-C0_2_V_NODE_21_length_17152_cov_7.584664||full	276	278	126	142
KSW-C0_2_V_NODE_25_length_15466_cov_187.878918||full	102	232	766	960
KSW-C0_2_V_NODE_26_length_15044_cov_19.809394||full	330	296	234	202
KSW-C0_2_V_NODE_30_length_13815_cov_8.638953||full	4	0	20	68
KSW-C0_2_V_NODE_32_length_13613_cov_11.301224||full	228	182	74	108
KSW-C0_2_V_NODE_35_length_12960_cov_11.115304||full	6	10	10	18
KSW-C0_2_V_NODE_40_length_12732_cov_41.855250||full	6	14	44	60
KSW-C0_2_V_NODE_41_length_12418_cov_6.352827||full	2	6	10	14
KSW-C0_2_V_NODE_52_length_10622_cov_5.341630||full	56	84	12	6
KSW-C0_2_V_NODE_66_length_9190_cov_11.115271||full	0	0	0	2
KSW-C0_2_V_NODE_67_length_9046_cov_3.891447||full	6	2	88	176
KSW-C0_2_V_NODE_70_length_8916_cov_5.995260||full	18	16	2	18
KSW-C0_2_V_NODE_84_length_8232_cov_5.071664||full	4	0	0	2
KSW-C0_2_V_NODE_86_length_8166_cov_13.793860||full	234	206	138	146
KSW-C0_2_V_NODE_89_length_8111_cov_13.651440||full	136	136	66	50
KSW-C0_2_V_NODE_99_length_7745_cov_9.093758||full	10	14	6	10
KSW-C0_2_V_NODE_106_length_7527_cov_6.570798||full	2	0	0	2
KSW-C0_2_V_NODE_121_length_7040_cov_6.310093||full	6	8	50	144
KSW-C0_2_V_NODE_137_length_6662_cov_8.924171||full	12	16	30	26
KSW-C0_2_V_NODE_158_length_6319_cov_7.936622||full	0	4	4	0
KSW-C0_2_V_NODE_171_length_6113_cov_13.223011||full	10	0	16	24
KSW-C0_2_V_NODE_174_length_6086_cov_12.295308||full	2	2	4	6
KSW-C0_2_V_NODE_179_length_6018_cov_10.570183||full	0	2	10	18
KSW-C0_2_V_NODE_188_length_5942_cov_59.275692||full	96	130	70	64
KSW-C0_2_V_NODE_225_length_5586_cov_6.758995||full	0	2	8	6
KSW-C0_2_V_NODE_227_length_5574_cov_23.730386||full	4	4	6	10
KSW-C0_2_V_NODE_237_length_5509_cov_166.730290||full	76	164	624	1004
KSW-C0_2_V_NODE_249_length_5428_cov_4.897636||full	0	0	4	0
KSW-C0_2_V_NODE_266_length_5270_cov_11197.438926||full	8	14	0	0
KSW-C0_2_V_NODE_279_length_5185_cov_3.276023||full	22	4	4	8
KSW-C0_2_V_NODE_304_length_5018_cov_5.001209||full	2	2	0	0
KSW-C63_1_V_NODE_1_length_69953_cov_198.780866||full	2914	1728	1388	994
KSW-C63_1_V_NODE_6_length_39025_cov_10.540672||full	244	184	50	42
KSW-C63_1_V_NODE_15_length_28017_cov_8.965703||full	32	50	28	20
