	C0_1_V	C0_2_V	C63_1_V	C63_2_V
KSW-C0_1_V_NODE_3_length_45144_cov_10.795449||full	11.6072551165099	11.663611249019	12.2352221432139	12.7670661035984
KSW-C0_1_V_NODE_4_length_32343_cov_97.907396||full	14.2196384122893	15.0209466222315	14.7184030500214	15.1213854371382
KSW-C0_1_V_NODE_14_length_22113_cov_223.931045||full	14.8644360994708	14.5689345150474	6.82869643817651	10.7006260755853
KSW-C0_1_V_NODE_18_length_21379_cov_40.742872||full	12.7092569454983	7.75123938405248	14.4489153183839	13.9919152779452
KSW-C0_1_V_NODE_22_length_19259_cov_5.919131||full	10.4528407466742	5.88095110340132	2.23915752259752	2.94461696493448
KSW-C0_1_V_NODE_24_length_18532_cov_24.651296||full	11.2993973659082	11.2226349025104	11.5953230122085	11.9522783891018
KSW-C0_1_V_NODE_33_length_15465_cov_204.769500||full	14.1881898747623	12.5427519128336	14.2592930144318	14.9535167447958
KSW-C0_1_V_NODE_42_length_13419_cov_8.576923||full	10.1301055945609	9.02614726493111	8.70947530599211	9.59627697107189
KSW-C0_1_V_NODE_43_length_13340_cov_12.935943||full	10.8808886045741	10.2985387802142	10.0793140758557	10.6946239091867
KSW-C0_1_V_NODE_49_length_12878_cov_8.473134||full	9.81762986752354	9.19114089517053	9.9055404750491	11.2684565153119
KSW-C0_1_V_NODE_55_length_12321_cov_31.357900||full	11.0995048963358	11.1293695468923	10.9610618609631	10.8770609408732
KSW-C0_1_V_NODE_70_length_11007_cov_7.063367||full	9.58769363475776	10.1877600821351	10.3605291092211	10.124208878029
KSW-C0_1_V_NODE_75_length_10241_cov_6.036717||full	9.43920850425538	5.61116466959884	2.23915752259752	2.23915752259752
KSW-C0_1_V_NODE_84_length_9470_cov_10.482209||full	9.02544680202801	8.96986328449148	9.7006092901218	10.1681894901144
KSW-C0_1_V_NODE_86_length_9382_cov_6.231157||full	8.5817059180222	9.63296452680835	7.02932026631616	5.40295186382809
KSW-C0_1_V_NODE_90_length_9216_cov_69.689663||full	11.9049091058941	10.4399042231896	11.0063013323335	11.3278300566091
KSW-C0_1_V_NODE_91_length_9205_cov_5.837923||full	8.28949435657503	7.28146350992924	7.44638450834838	6.72741367325571
KSW-C0_1_V_NODE_96_length_9071_cov_5.409494||full	8.8946841227552	3.86398464604909	2.23915752259752	2.23915752259752
