Contig	C0_1_V	C0_2_V	C63_1_V	C63_2_V
KSW-C0_1_V_NODE_3_length_45144_cov_10.795449||full	2480	1946	6820	12090
KSW-C0_1_V_NODE_4_length_32343_cov_97.907396||full	15204	19996	38194	61890
KSW-C0_1_V_NODE_14_length_22113_cov_223.931045||full	23776	14616	148	2874
KSW-C0_1_V_NODE_18_length_21379_cov_40.742872||full	5332	124	31684	28280
KSW-C0_1_V_NODE_22_length_19259_cov_5.919131||full	1110	30	0	2
KSW-C0_1_V_NODE_24_length_18532_cov_24.651296||full	2002	1432	4372	6866
KSW-C0_1_V_NODE_33_length_15465_cov_204.769500||full	14876	3584	27780	55090
KSW-C0_1_V_NODE_42_length_13419_cov_8.576923||full	886	308	580	1328
KSW-C0_1_V_NODE_43_length_13340_cov_12.935943||full	1496	752	1520	2862
KSW-C0_1_V_NODE_49_length_12878_cov_8.473134||full	712	346	1346	4268
KSW-C0_1_V_NODE_55_length_12321_cov_31.357900||full	1742	1342	2812	3250
KSW-C0_1_V_NODE_70_length_11007_cov_7.063367||full	606	696	1850	1922
KSW-C0_1_V_NODE_75_length_10241_cov_6.036717||full	546	24	0	0
KSW-C0_1_V_NODE_84_length_9470_cov_10.482209||full	408	296	1166	1982
KSW-C0_1_V_NODE_86_length_9382_cov_6.231157||full	298	472	172	58
KSW-C0_1_V_NODE_90_length_9216_cov_69.689663||full	3050	830	2902	4448
KSW-C0_1_V_NODE_91_length_9205_cov_5.837923||full	242	88	234	168
KSW-C0_1_V_NODE_96_length_9071_cov_5.409494||full	372	4	0	0
KSW-C0_1_V_NODE_109_length_8563_cov_7.683709||full	304	174	288	374
KSW-C0_1_V_NODE_110_length_8559_cov_8.122295||full	364	642	150	38
KSW-C0_1_V_NODE_112_length_8546_cov_8.370981||full	296	526	86	50
KSW-C0_1_V_NODE_114_length_8472_cov_5.632886||full	240	128	70	48
KSW-C0_1_V_NODE_121_length_8181_cov_6.464681||full	294	742	340	50
KSW-C0_1_V_NODE_123_length_8029_cov_17.275520||full	692	254	620	932
KSW-C0_1_V_NODE_127_length_7931_cov_11.101828||full	506	476	324	130
KSW-C0_1_V_NODE_137_length_7712_cov_5.908058||full	160	80	176	124
KSW-C0_1_V_NODE_139_length_7572_cov_34.490754||full	1128	1470	2304	4954
KSW-C0_1_V_NODE_146_length_7445_cov_42.105683||full	1332	1130	1874	2630
KSW-C0_1_V_NODE_148_length_7426_cov_75.581332||full	2828	1040	2982	4280
KSW-C0_1_V_NODE_160_length_7179_cov_6.889809||full	488	10	0	4
KSW-C0_1_V_NODE_168_length_6976_cov_7.545441||full	498	0	0	0
KSW-C0_1_V_NODE_192_length_6391_cov_7.574811||full	352	104	238	332
KSW-C0_1_V_NODE_195_length_6324_cov_3.979582||full	246	6	0	2
KSW-C0_1_V_NODE_197_length_6310_cov_7.192326||full	470	756	126	72
KSW-C0_1_V_NODE_203_length_6218_cov_5.698848||full	354	8	0	2
KSW-C0_1_V_NODE_213_length_6119_cov_6.253628||full	262	142	278	354
KSW-C0_1_V_NODE_214_length_6119_cov_4.719492||full	270	10	2	2
KSW-C0_1_V_NODE_218_length_6068_cov_4.097289||full	130	26	202	284
KSW-C0_1_V_NODE_219_length_6061_cov_5.944555||full	226	36	916	1166
KSW-C0_1_V_NODE_228_length_5969_cov_4.273926||full	228	12	2	6
KSW-C0_1_V_NODE_230_length_5952_cov_115.507207||full	3544	2420	12678	15404
KSW-C0_1_V_NODE_242_length_5844_cov_4.542235||full	118	66	126	108
KSW-C0_1_V_NODE_244_length_5800_cov_9.221584||full	468	1898	132	492
KSW-C0_1_V_NODE_251_length_5697_cov_5.062035||full	174	134	534	984
KSW-C0_1_V_NODE_257_length_5667_cov_38.502495||full	1530	1890	736	204
KSW-C0_1_V_NODE_266_length_5588_cov_22.264775||full	986	2062	262	68
KSW-C0_1_V_NODE_270_length_5558_cov_6.468290||full	296	164	560	1662
KSW-C0_1_V_NODE_277_length_5493_cov_27.257815||full	1066	1962	2012	5716
KSW-C0_1_V_NODE_278_length_5472_cov_517.713679||full	21054	39564	113628	43132
KSW-C0_1_V_NODE_298_length_5312_cov_4.248240||full	188	4	0	0
KSW-C0_1_V_NODE_300_length_5306_cov_13.972196||full	594	952	794	268
KSW-C0_1_V_NODE_322_length_5205_cov_9.032816||full	306	266	908	2686
KSW-C0_1_V_NODE_326_length_5191_cov_3.285631||full	176	30	0	8
KSW-C0_1_V_NODE_327_length_5184_cov_7.461883||full	96	48	128	164
KSW-C0_1_V_NODE_336_length_5135_cov_36.528937||full	1876	3714	1396	386
KSW-C0_1_V_NODE_357_length_5039_cov_12.670746||full	646	626	494	134
KSW-C0_1_V_NODE_366_length_5011_cov_5.733253||full	272	8	0	0
KSW-C0_1_V_NODE_368_length_5010_cov_3.215338||full	88	40	108	122
KSW-C0_2_V_NODE_3_length_34709_cov_12.949241||full	5400	4024	14600	26682
KSW-C0_2_V_NODE_4_length_34366_cov_134.031273||full	29332	42226	38628	106560
KSW-C0_2_V_NODE_8_length_26741_cov_10.303080||full	2962	2328	8362	15370
KSW-C0_2_V_NODE_16_length_19884_cov_25.608755||full	2766	2418	6908	10248
KSW-C0_2_V_NODE_19_length_17839_cov_68.368758||full	25520	5836	41996	83418
KSW-C0_2_V_NODE_21_length_17152_cov_7.584664||full	776	672	2110	3310
KSW-C0_2_V_NODE_25_length_15466_cov_187.878918||full	46444	15444	20330	80096
KSW-C0_2_V_NODE_26_length_15044_cov_19.809394||full	1848	1526	5358	9572
KSW-C0_2_V_NODE_29_length_14009_cov_8.715494||full	248	426	308	112
KSW-C0_2_V_NODE_30_length_13815_cov_8.638953||full	746	934	1794	3964
KSW-C0_2_V_NODE_32_length_13613_cov_11.301224||full	740	576	1968	3188
KSW-C0_2_V_NODE_35_length_12960_cov_11.115304||full	1492	1122	2060	2276
KSW-C0_2_V_NODE_40_length_12732_cov_41.855250||full	2052	2880	4092	8714
KSW-C0_2_V_NODE_41_length_12418_cov_6.352827||full	938	752	1720	1206
KSW-C0_2_V_NODE_52_length_10622_cov_5.341630||full	378	240	424	742
KSW-C0_2_V_NODE_66_length_9190_cov_11.115271||full	390	544	376	590
KSW-C0_2_V_NODE_67_length_9046_cov_3.891447||full	542	272	906	1936
KSW-C0_2_V_NODE_70_length_8916_cov_5.995260||full	66	338	746	398
KSW-C0_2_V_NODE_75_length_8532_cov_62.856907||full	1064	1524	608	108
KSW-C0_2_V_NODE_80_length_8359_cov_45.037211||full	1056	1888	722	188
KSW-C0_2_V_NODE_82_length_8267_cov_9.707379||full	544	508	684	920
KSW-C0_2_V_NODE_84_length_8232_cov_5.071664||full	224	252	216	246
KSW-C0_2_V_NODE_86_length_8166_cov_13.793860||full	770	584	2332	3790
KSW-C0_2_V_NODE_88_length_8133_cov_32.630478||full	968	1616	260	78
KSW-C0_2_V_NODE_89_length_8111_cov_13.651440||full	660	548	1618	2966
KSW-C0_2_V_NODE_96_length_7851_cov_10.874679||full	360	512	182	66
KSW-C0_2_V_NODE_99_length_7745_cov_9.093758||full	30	644	976	1110
KSW-C0_2_V_NODE_103_length_7657_cov_4.429755||full	154	210	64	36
KSW-C0_2_V_NODE_106_length_7527_cov_6.570798||full	378	378	350	372
KSW-C0_2_V_NODE_112_length_7421_cov_116.015884||full	3790	5010	1666	298
KSW-C0_2_V_NODE_117_length_7201_cov_13.517772||full	744	626	184	222
KSW-C0_2_V_NODE_121_length_7040_cov_6.310093||full	500	370	970	1954
KSW-C0_2_V_NODE_124_length_7015_cov_9.486351||full	368	612	304	40
KSW-C0_2_V_NODE_125_length_7000_cov_8.282937||full	196	332	90	56
KSW-C0_2_V_NODE_136_length_6741_cov_5.969488||full	110	172	152	28
KSW-C0_2_V_NODE_137_length_6662_cov_8.924171||full	1048	516	1864	4360
KSW-C0_2_V_NODE_138_length_6659_cov_4.723047||full	94	166	60	20
KSW-C0_2_V_NODE_147_length_6471_cov_4.346478||full	184	162	126	26
KSW-C0_2_V_NODE_151_length_6414_cov_50.218431||full	1020	1848	408	160
KSW-C0_2_V_NODE_158_length_6319_cov_7.936622||full	346	320	420	450
