gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KSW-T63_1_C_NODE_589_length_37970_cov_308.156191||full	7772.54478006925	11.722459508217	1.40574696657861	8.33895415527581	7.49504616430357e-17	6.32956648575436e-13
KSW-T63_1_C_NODE_1040_length_27361_cov_292.764923||full	8411.42874272076	10.9763183690853	1.34925211832236	8.13511294148127	4.11554487176088e-16	1.73778882210103e-12
KSW-T63_1_V_NODE_32_length_33674_cov_23.954787||full	6289.66924412349	11.8261877453068	1.49125223681677	7.93037385181126	2.18487147070687e-15	6.15041319003985e-12
KSW-T63_2_V_NODE_43_length_34268_cov_198.030719||full	8444.47529120617	10.7005141137644	1.37117093279246	7.80392426491441	6.0011214569688e-15	1.17650961922191e-11
KSW-cf_coassembly_k141_3229709||full	5576.14892565659	10.5820058390158	1.36330603420191	7.76201789879889	8.35886052733148e-15	1.17650961922191e-11
KSW-cf_2nd_assembly_k141_3890211||full	4701.19745156352	11.4108481914569	1.47003937167969	7.76227386237875	8.34200277285189e-15	1.17650961922191e-11
KSW-T63_2_C_NODE_1358_length_25923_cov_636.094286||full	5942.9903396711	11.4363341710911	1.49470647330248	7.65122408670856	1.99075076610985e-14	2.40169860282825e-11
KSW-T63_1_C_NODE_508_length_40898_cov_95.112724||full	24858.7071826709	9.25871958025932	1.21851279501888	7.59837698718286	2.99867709588626e-14	3.16547850934494e-11
KSW-T63_1_C_NODE_479_length_42403_cov_301.997898||full	12601.8704937706	10.2957913863566	1.36456173431758	7.54512685459816	4.51847460331168e-14	3.88935299022314e-11
KSW-vf_coassembly_k141_439057||full_1	10579.5144219524	10.2756747977615	1.36234457552491	7.54264007973334	4.60550975751703e-14	3.88935299022314e-11
KSW-T63_1_V_NODE_14_length_43368_cov_28.636599||full	12319.8953931776	10.5779499669256	1.41555686782659	7.47264218580408	7.86003646237012e-14	5.53150066039297e-11
KSW-C63_2_C_NODE_781_length_32474_cov_353.402326||full	6163.84392230956	10.2461486842335	1.37011069339889	7.47833641004252	7.52693193282336e-14	5.53150066039297e-11
KSW-T63_1_V_NODE_169_length_15108_cov_57.901481||full	3484.59890768245	10.1484298109413	1.36882361398807	7.41397920611103	1.22565145331611e-13	7.39330465946754e-11
KSW-vf_coassembly_k141_488963||full	9508.87559798721	9.96335645870424	1.34319189937676	7.41767163971676	1.19197166404965e-13	7.39330465946754e-11
KSW-T63_1_V_NODE_141_length_17130_cov_79.743309	3786.41065081926	9.28260414403614	1.25622643375499	7.38927624400442	1.47630173110175e-13	8.31157874610285e-11
KSW-T63_1_V_NODE_78_length_22218_cov_26.782746||full	4934.01026050572	11.1723234139487	1.51592729288138	7.369959935686	1.70679322554622e-13	9.00866799358616e-11
KSW-T63_1_V_NODE_117_length_18623_cov_46.140187||full	4283.38197152967	10.4331189247774	1.42159972944715	7.33899895214156	2.15197297211671e-13	1.06902422056033e-10
KSW-cf_coassembly_k141_1425519||full	9101.12662218823	11.0760408002159	1.51372922343951	7.31705553985986	2.53470965526858e-13	1.12661173888122e-10
KSW-cf_coassembly_k141_2183283||full	3773.56594142597	12.5576551846481	1.71544794462523	7.32033590642796	2.47351009192794e-13	1.12661173888122e-10
KSW-T63_2_C_NODE_3010_length_15699_cov_636.953720||full	3621.55796386087	9.76024328740857	1.34249054972189	7.27025101921984	3.58820094387255e-13	1.51511784855018e-10
KSW-T63_1_C_NODE_3497_length_12486_cov_315.649988||full	2793.99682482475	10.6599658446112	1.46898754243611	7.25667545616698	3.96720030113052e-13	1.59538126395463e-10
KSW-T63_1_V_NODE_18_length_41262_cov_25.976824||full	9630.09317974844	10.222692160149	1.41193967513745	7.24017629092675	4.48101892942711e-13	1.72010022086418e-10
KSW-T63_2_C_NODE_795_length_34451_cov_619.012967||full	7264.89318573967	9.65268653295574	1.33577698418448	7.22627103718884	4.96436491445384e-13	1.82278529141577e-10
KSW-T63_2_V_NODE_821_length_7929_cov_137.071628||full	2056.75502261379	8.95314509671146	1.24821386173084	7.17276531787314	7.34977867215793e-13	2.58620337026557e-10
KSW-T63_2_C_NODE_1041_length_29862_cov_595.431107||full	9713.03812907699	9.98981693303161	1.40211048322599	7.12484290827565	1.04199461910858e-12	3.51985782334879e-10
KSW-T63_2_C_NODE_2441_length_17808_cov_596.632682||full	3514.90797929667	10.1458075216804	1.42912399995839	7.09931924869767	1.2537289685245e-12	4.07220813045747e-10
KSW-T63_1_V_NODE_224_length_13249_cov_29.167197||full	2922.40095141992	11.3157210864868	1.60128442370903	7.06665281878931	1.58715372086142e-12	4.96426413802766e-10
KSW-cf_2nd_assembly_k141_4192633||full	2298.97560825365	13.8828204865363	1.97411305650338	7.03243435871196	2.0296079943867e-12	5.71334650419855e-10
KSW-cf_2nd_assembly_k141_3382425||full	2198.70072368326	9.89938002995557	1.40767390384334	7.03243840986715	2.0295490466586e-12	5.71334650419855e-10
KSW-vf_coassembly_k141_666145||full	2514.84314163191	10.5028959533833	1.49159713626065	7.04137578308405	1.90350868136874e-12	5.71334650419855e-10
KSW-T63_2_V_NODE_885_length_7642_cov_149.901015||full	2189.24781443657	13.8122629811209	1.9687367304952	7.01579991228523	2.2863705801612e-12	5.98231512110336e-10
KSW-cf_coassembly_k141_890876||full	2389.28647097777	9.46914436626327	1.34944107566892	7.0170862122078	2.26542837967263e-12	5.98231512110336e-10
KSW-vf_coassembly_k141_219926||full	6122.18139458301	9.86425718828339	1.4066281564247	7.01269709640667	2.33767198337964e-12	5.98231512110336e-10
KSW-T0_2_V_NODE_340_length_5182_cov_18.944997	880.057031120766	-8.75404095339746	1.25082363975304	-6.99862128855018	2.58493530475713e-12	6.42052313196292e-10
KSW-vf_coassembly_k141_455201||full	1864.29489231165	13.5804539106139	1.94322283330293	6.98862409285861	2.7759508327974e-12	6.69797279513544e-10
KSW-vf_coassembly_k141_40347||full	3287.26438974478	10.0465823105713	1.43995604235937	6.97700625229501	3.01536294196118e-12	7.07353890135061e-10
KSW-cf_coassembly_k141_1647831||full	1780.41694795816	13.5140355479847	1.94762138734389	6.93873852269343	3.95616590667152e-12	9.02968137347055e-10
KSW-cf_coassembly_k141_137205||full	2150.20969348543	11.7455990214386	1.71267426912565	6.85804605883112	6.98087543536837e-12	1.55140771188647e-09
KSW-T63_2_V_NODE_559_length_10044_cov_165.736610||full	1856.76547061355	10.0693627148269	1.47132030506236	6.84375977153399	7.71412428061814e-12	1.67040460384154e-09
KSW-cf_2nd_assembly_k141_1942160||full	2307.6473183334	11.850802874622	1.73278836991313	6.83915190128851	7.96633806285992e-12	1.6818931235213e-09
KSW-megahit_k141_28620||full	671.239119018335	-9.35433725227583	1.37517514619125	-6.80228789633381	1.02970557037529e-11	2.12094232727301e-09
KSW-T63_1_V_NODE_559_length_8481_cov_26.253857||full	2095.98414694779	11.7116321202347	1.73064555515964	6.76720434482861	1.31294580933895e-11	2.60157603756248e-09
KSW-cf_coassembly_k141_973603||full	1037.50860952856	8.50964835228061	1.25772259781482	6.76591830906539	1.32466275447231e-11	2.60157603756248e-09
