	T0_1_V	T0_2_V	T63_1_V	T63_2_V
KSW-C0_1_V_NODE_3_length_45144_cov_10.795449||full	12.3084399576247	13.7897526077054	12.1757975688627	12.2293155446126
KSW-C0_1_V_NODE_4_length_32343_cov_97.907396||full	15.1483574922914	17.4952507257087	14.0683615015995	14.9031228816263
KSW-C0_1_V_NODE_14_length_22113_cov_223.931045||full	15.8622964812722	18.666770717222	16.1618690984272	17.1247409875763
KSW-C0_1_V_NODE_18_length_21379_cov_40.742872||full	12.9387015300354	15.1406930943936	13.4197081500479	14.7598293590859
KSW-C0_1_V_NODE_22_length_19259_cov_5.919131||full	1.52475460101323	1.52475460101323	1.52475460101323	3.25101055718808
KSW-C0_1_V_NODE_24_length_18532_cov_24.651296||full	11.9559131650754	12.6284124119271	11.9391702235791	11.960114354332
KSW-C0_1_V_NODE_33_length_15465_cov_204.769500||full	14.5542632923925	16.0182913977382	14.8460040037998	16.4516305293719
KSW-C0_1_V_NODE_42_length_13419_cov_8.576923||full	10.6761641201919	11.430136283735	9.56828804966661	10.8941338179971
KSW-C0_1_V_NODE_43_length_13340_cov_12.935943||full	11.7375787858802	12.3736318299404	11.2035113130013	11.9745875065094
KSW-C0_1_V_NODE_49_length_12878_cov_8.473134||full	12.0790276314083	13.2826491534409	10.5486189547455	12.8987637231098
KSW-C0_1_V_NODE_55_length_12321_cov_31.357900||full	11.2567777669386	11.9841704511694	10.4061875728837	9.71703944308235
KSW-C0_1_V_NODE_70_length_11007_cov_7.063367||full	10.5287849489901	11.255028196531	9.47954947094563	8.86470662472351
KSW-C0_1_V_NODE_75_length_10241_cov_6.036717||full	1.52475460101323	1.52475460101323	1.52475460101323	2.55960892569858
KSW-C0_1_V_NODE_84_length_9470_cov_10.482209||full	9.66686629274799	11.3008377376362	9.58848847929773	9.48165971010271
KSW-C0_1_V_NODE_86_length_9382_cov_6.231157||full	7.55519885033671	9.57725057383797	2.817783147396	2.95992474203199
KSW-C0_1_V_NODE_90_length_9216_cov_69.689663||full	11.9031587747043	12.1929382761697	11.7058958547101	10.4458090778534
KSW-C0_1_V_NODE_91_length_9205_cov_5.837923||full	8.42367781762201	4.12182672769442	9.24124921514112	7.91955711795004
KSW-C0_1_V_NODE_96_length_9071_cov_5.409494||full	1.52475460101323	3.46888300501849	1.52475460101323	1.52475460101323
KSW-C0_1_V_NODE_109_length_8563_cov_7.683709||full	9.21084418707355	5.75820015415249	9.8203363610252	8.98396664809156
KSW-C0_1_V_NODE_110_length_8559_cov_8.122295||full	8.09253448936221	9.98382773766818	3.16131261052615	3.48484964472557
KSW-C0_1_V_NODE_112_length_8546_cov_8.370981||full	7.67478328868227	9.99244363985616	3.16131261052615	4.00491070143103
KSW-C0_1_V_NODE_114_length_8472_cov_5.632886||full	6.61113200913153	8.74921935475458	2.59171801071081	3.25101055718808
KSW-C0_1_V_NODE_121_length_8181_cov_6.464681||full	7.99378421356972	11.3784846443311	3.64424687486889	4.3790363491197
KSW-C0_1_V_NODE_123_length_8029_cov_17.275520||full	9.84170521477401	10.6771150088604	9.03704738517432	8.73469142825173
KSW-C0_1_V_NODE_127_length_7931_cov_11.101828||full	8.88138962513673	11.5976111472114	4.7016673220298	5.51556156302
KSW-C0_1_V_NODE_137_length_7712_cov_5.908058||full	7.99378421356972	4.56070366484789	7.70805139909477	6.62021768085573
KSW-C0_1_V_NODE_139_length_7572_cov_34.490754||full	11.3752667557255	12.4126722048324	10.9455034511391	10.7213830461904
KSW-C0_1_V_NODE_146_length_7445_cov_42.105683||full	11.633195457547	12.8743131882403	10.266579127071	10.27642663872
KSW-C0_1_V_NODE_148_length_7426_cov_75.581332||full	11.6736282058797	12.6612039502889	11.0860168927026	10.0129302905689
KSW-C0_1_V_NODE_160_length_7179_cov_6.889809||full	2.63965765325418	1.52475460101323	1.52475460101323	1.52475460101323
KSW-C0_1_V_NODE_168_length_6976_cov_7.545441||full	3.37483522396361	8.21364354532857	3.00279881750719	5.41421341767857
KSW-C0_1_V_NODE_192_length_6391_cov_7.574811||full	8.91415871935059	8.57660251018058	7.73060335838733	7.89166548952968
KSW-C0_1_V_NODE_197_length_6310_cov_7.192326||full	8.16693857423559	10.7398627789898	3.83092436689489	4.98915177674552
KSW-C0_1_V_NODE_213_length_6119_cov_6.253628||full	8.81930856196568	5.91180848718905	9.75721898353249	8.99274476906529
KSW-C0_1_V_NODE_218_length_6068_cov_4.097289||full	7.77334639917669	8.93946571728653	7.55850065205679	8.05145624816587
KSW-C0_1_V_NODE_219_length_6061_cov_5.944555||full	10.1406382759913	11.0097483274861	9.69838049508039	10.2381815433277
KSW-C0_1_V_NODE_228_length_5969_cov_4.273926||full	3.06656659322618	1.52475460101323	3.16131261052615	4.91656062473826
KSW-C0_1_V_NODE_230_length_5952_cov_115.507207||full	10.2170392157405	11.7399968263075	13.2449779138817	13.651033170208
KSW-C0_1_V_NODE_242_length_5844_cov_4.542235||full	7.21280105952377	4.12182672769442	8.08143531528861	7.13048657340272
KSW-C0_1_V_NODE_244_length_5800_cov_9.221584||full	9.06282672210212	12.5327162728518	5.29661884252203	7.29571400324174
KSW-C0_1_V_NODE_251_length_5697_cov_5.062035||full	9.17072605738063	9.93995906201896	9.44417350148627	9.96243627869385
