Contig	T0_1_V	T0_2_V	T63_1_V	T63_2_V
KSW-C0_1_V_NODE_3_length_45144_cov_10.795449||full	5612	4668	11224	6208
KSW-C0_1_V_NODE_4_length_32343_cov_97.907396||full	40220	60920	41712	39654
KSW-C0_1_V_NODE_14_length_22113_cov_223.931045||full	65976	137224	178066	184980
KSW-C0_1_V_NODE_18_length_21379_cov_40.742872||full	8690	11910	26602	35904
KSW-C0_1_V_NODE_22_length_19259_cov_5.919131||full	0	0	0	6
KSW-C0_1_V_NODE_24_length_18532_cov_24.651296||full	4394	2086	9524	5150
KSW-C0_1_V_NODE_33_length_15465_cov_204.769500||full	26642	21884	71518	116008
KSW-C0_1_V_NODE_42_length_13419_cov_8.576923||full	1806	908	1830	2456
KSW-C0_1_V_NODE_43_length_13340_cov_12.935943||full	3776	1748	5714	5202
KSW-C0_1_V_NODE_49_length_12878_cov_8.473134||full	4786	3284	3624	9878
KSW-C0_1_V_NODE_55_length_12321_cov_31.357900||full	2704	1334	3282	1082
KSW-C0_1_V_NODE_70_length_11007_cov_7.063367||full	1630	804	1720	596
KSW-C0_1_V_NODE_75_length_10241_cov_6.036717||full	0	0	0	2
KSW-C0_1_V_NODE_84_length_9470_cov_10.482209||full	894	830	1856	918
KSW-C0_1_V_NODE_86_length_9382_cov_6.231157||full	202	250	6	4
KSW-C0_1_V_NODE_90_length_9216_cov_69.689663||full	4236	1542	8100	1798
KSW-C0_1_V_NODE_91_length_9205_cov_5.837923||full	374	4	1456	306
KSW-C0_1_V_NODE_96_length_9071_cov_5.409494||full	0	2	0	0
KSW-C0_1_V_NODE_109_length_8563_cov_7.683709||full	650	16	2182	648
KSW-C0_1_V_NODE_110_length_8559_cov_8.122295||full	296	332	10	8
KSW-C0_1_V_NODE_112_length_8546_cov_8.370981||full	220	334	10	14
KSW-C0_1_V_NODE_114_length_8472_cov_5.632886||full	102	140	4	6
KSW-C0_1_V_NODE_121_length_8181_cov_6.464681||full	276	876	18	20
KSW-C0_1_V_NODE_123_length_8029_cov_17.275520||full	1010	538	1262	544
KSW-C0_1_V_NODE_127_length_7931_cov_11.101828||full	516	1020	50	52
KSW-C0_1_V_NODE_137_length_7712_cov_5.908058||full	276	6	494	120
KSW-C0_1_V_NODE_139_length_7572_cov_34.490754||full	2936	1796	4776	2178
KSW-C0_1_V_NODE_146_length_7445_cov_42.105683||full	3512	2474	2978	1598
KSW-C0_1_V_NODE_148_length_7426_cov_75.581332||full	3612	2134	5266	1330
KSW-C0_1_V_NODE_160_length_7179_cov_6.889809||full	2	0	0	0
KSW-C0_1_V_NODE_168_length_6976_cov_7.545441||full	6	96	8	48
KSW-C0_1_V_NODE_192_length_6391_cov_7.574811||full	528	124	502	300
KSW-C0_1_V_NODE_197_length_6310_cov_7.192326||full	312	562	22	34
KSW-C0_1_V_NODE_213_length_6119_cov_6.253628||full	494	18	2088	652
KSW-C0_1_V_NODE_218_length_6068_cov_4.097289||full	236	160	444	336
KSW-C0_1_V_NODE_219_length_6061_cov_5.944555||full	1244	678	2004	1556
KSW-C0_1_V_NODE_228_length_5969_cov_4.273926||full	4	0	10	32
KSW-C0_1_V_NODE_230_length_5952_cov_115.507207||full	1312	1126	23566	16644
KSW-C0_1_V_NODE_242_length_5844_cov_4.542235||full	158	4	644	174
KSW-C0_1_V_NODE_244_length_5800_cov_9.221584||full	586	1952	82	196
KSW-C0_1_V_NODE_251_length_5697_cov_5.062035||full	632	322	1678	1284
KSW-C0_1_V_NODE_257_length_5667_cov_38.502495||full	788	1712	52	50
KSW-C0_1_V_NODE_266_length_5588_cov_22.264775||full	512	1454	28	10
KSW-C0_1_V_NODE_270_length_5558_cov_6.468290||full	1616	1386	1326	3400
KSW-C0_1_V_NODE_277_length_5493_cov_27.257815||full	3692	1138	4520	1750
KSW-C0_1_V_NODE_278_length_5472_cov_517.713679||full	12096	31792	24900	72808
KSW-C0_1_V_NODE_300_length_5306_cov_13.972196||full	502	1046	74	48
KSW-C0_1_V_NODE_322_length_5205_cov_9.032816||full	1296	298	9832	3020
KSW-C0_1_V_NODE_327_length_5184_cov_7.461883||full	218	94	130	68
KSW-C0_1_V_NODE_336_length_5135_cov_36.528937||full	1230	2376	134	66
KSW-C0_1_V_NODE_357_length_5039_cov_12.670746||full	384	898	54	56
KSW-C0_1_V_NODE_366_length_5011_cov_5.733253||full	0	0	0	2
KSW-C0_1_V_NODE_368_length_5010_cov_3.215338||full	126	76	150	58
KSW-C0_2_V_NODE_3_length_34709_cov_12.949241||full	11886	9978	26916	14398
KSW-C0_2_V_NODE_4_length_34366_cov_134.031273||full	49632	63684	113036	64348
KSW-C0_2_V_NODE_8_length_26741_cov_10.303080||full	6430	5854	14280	7644
KSW-C0_2_V_NODE_16_length_19884_cov_25.608755||full	7040	3504	16794	9196
KSW-C0_2_V_NODE_19_length_17839_cov_68.368758||full	44010	35094	99630	160236
KSW-C0_2_V_NODE_21_length_17152_cov_7.584664||full	1608	1352	3216	1974
KSW-C0_2_V_NODE_25_length_15466_cov_187.878918||full	56898	38948	122206	52998
KSW-C0_2_V_NODE_26_length_15044_cov_19.809394||full	4610	3746	10602	6100
KSW-C0_2_V_NODE_29_length_14009_cov_8.715494||full	230	430	8	10
KSW-C0_2_V_NODE_30_length_13815_cov_8.638953||full	1140	610	4856	3500
KSW-C0_2_V_NODE_32_length_13613_cov_11.301224||full	1440	1314	3054	1858
KSW-C0_2_V_NODE_35_length_12960_cov_11.115304||full	2540	1498	2110	1034
KSW-C0_2_V_NODE_40_length_12732_cov_41.855250||full	4876	3386	7752	3406
KSW-C0_2_V_NODE_41_length_12418_cov_6.352827||full	1862	1036	1216	766
KSW-C0_2_V_NODE_52_length_10622_cov_5.341630||full	428	182	2892	1694
KSW-C0_2_V_NODE_66_length_9190_cov_11.115271||full	946	574	644	248
KSW-C0_2_V_NODE_67_length_9046_cov_3.891447||full	1388	248	10764	2736
KSW-C0_2_V_NODE_70_length_8916_cov_5.995260||full	668	208	832	340
KSW-C0_2_V_NODE_75_length_8532_cov_62.856907||full	726	1992	20	54
KSW-C0_2_V_NODE_80_length_8359_cov_45.037211||full	672	1492	38	22
KSW-C0_2_V_NODE_82_length_8267_cov_9.707379||full	884	648	812	466
KSW-C0_2_V_NODE_84_length_8232_cov_5.071664||full	332	220	144	130
KSW-C0_2_V_NODE_86_length_8166_cov_13.793860||full	1852	1616	3752	2144
KSW-C0_2_V_NODE_88_length_8133_cov_32.630478||full	592	1226	24	16
KSW-C0_2_V_NODE_89_length_8111_cov_13.651440||full	1444	1214	2750	1690
KSW-C0_2_V_NODE_96_length_7851_cov_10.874679||full	354	558	28	12
KSW-C0_2_V_NODE_99_length_7745_cov_9.093758||full	846	168	2032	1058
KSW-C0_2_V_NODE_103_length_7657_cov_4.429755||full	180	420	26	2
KSW-C0_2_V_NODE_106_length_7527_cov_6.570798||full	516	350	286	270
KSW-C0_2_V_NODE_112_length_7421_cov_116.015884||full	2268	3716	110	108
KSW-C0_2_V_NODE_117_length_7201_cov_13.517772||full	668	824	106	54
KSW-C0_2_V_NODE_121_length_7040_cov_6.310093||full	1272	272	11394	4612
KSW-C0_2_V_NODE_124_length_7015_cov_9.486351||full	328	394	2	12
KSW-C0_2_V_NODE_125_length_7000_cov_8.282937||full	108	168	14	0
KSW-C0_2_V_NODE_136_length_6741_cov_5.969488||full	144	562	8	2
KSW-C0_2_V_NODE_137_length_6662_cov_8.924171||full	3742	1312	5690	1848
KSW-C0_2_V_NODE_138_length_6659_cov_4.723047||full	52	84	0	4
KSW-C0_2_V_NODE_147_length_6471_cov_4.346478||full	118	216	4	6
KSW-C0_2_V_NODE_151_length_6414_cov_50.218431||full	868	2082	34	50
KSW-C0_2_V_NODE_158_length_6319_cov_7.936622||full	638	332	474	226
KSW-C0_2_V_NODE_171_length_6113_cov_13.223011||full	2002	886	1450	714
KSW-C0_2_V_NODE_172_length_6089_cov_7.823666||full	172	328	30	10
KSW-C0_2_V_NODE_174_length_6086_cov_12.295308||full	790	390	914	380
KSW-C0_2_V_NODE_179_length_6018_cov_10.570183||full	816	472	3486	2674
KSW-C0_2_V_NODE_182_length_5988_cov_30.018203||full	1668	1416	492	238
KSW-C0_2_V_NODE_185_length_5973_cov_16.735722||full	410	1046	28	24
KSW-C0_2_V_NODE_188_length_5942_cov_59.275692||full	8554	7230	16690	23984
KSW-C0_2_V_NODE_192_length_5868_cov_48.797351||full	1012	1518	262	144
KSW-C0_2_V_NODE_203_length_5778_cov_3.659619||full	84	326	2	0
KSW-C0_2_V_NODE_208_length_5721_cov_652.755559||full	12408	27290	950	1076
KSW-C0_2_V_NODE_216_length_5673_cov_5.620862||full	132	142	40	4
KSW-C0_2_V_NODE_225_length_5586_cov_6.758995||full	856	488	954	334
KSW-C0_2_V_NODE_227_length_5574_cov_23.730386||full	2658	942	3608	1056
KSW-C0_2_V_NODE_228_length_5573_cov_8.449438||full	276	280	8	8
KSW-C0_2_V_NODE_236_length_5511_cov_52.939333||full	1030	2464	106	112
KSW-C0_2_V_NODE_237_length_5509_cov_166.730290||full	23732	11526	126538	60142
KSW-C0_2_V_NODE_246_length_5432_cov_4.603310||full	106	160	8	4
KSW-C0_2_V_NODE_249_length_5428_cov_4.897636||full	218	178	116	74
KSW-C0_2_V_NODE_266_length_5270_cov_11197.438926||full	1206510	1419086	836058	549006
KSW-C0_2_V_NODE_272_length_5240_cov_17.742334||full	254	290	20	24
KSW-C0_2_V_NODE_279_length_5185_cov_3.276023||full	330	82	792	358
KSW-C0_2_V_NODE_282_length_5153_cov_13.165163||full	254	744	50	68
KSW-C0_2_V_NODE_299_length_5043_cov_7.937851||full	160	72	28	16
KSW-C0_2_V_NODE_302_length_5026_cov_4.666063||full	26	68	0	0
KSW-C0_2_V_NODE_304_length_5018_cov_5.001209||full	618	164	596	286
KSW-C0_2_V_NODE_306_length_5010_cov_6.635923||full	330	258	32	26
KSW-C63_1_V_NODE_1_length_69953_cov_198.780866||full	91282	145708	93256	85956
KSW-C63_1_V_NODE_6_length_39025_cov_10.540672||full	3388	2398	4342	3440
KSW-C63_1_V_NODE_15_length_28017_cov_8.965703||full	978	140	2708	638
KSW-C63_1_V_NODE_16_length_27726_cov_176.069531||full	25418	12440	48118	25996
KSW-C63_1_V_NODE_17_length_25854_cov_56.078491||full	11020	7024	13688	7862
KSW-C63_1_V_NODE_25_length_23667_cov_13.812595||full	4288	2432	2698	1286
KSW-C63_1_V_NODE_27_length_22595_cov_21.410914||full	370	10	12912	6474
KSW-C63_1_V_NODE_38_length_18895_cov_10.686837||full	1600	342	1462	514
KSW-C63_1_V_NODE_43_length_17848_cov_6.350587||full	966	326	1448	340
KSW-C63_1_V_NODE_47_length_17634_cov_152.295296||full	32340	17300	35952	14550
KSW-C63_1_V_NODE_62_length_15160_cov_877.088514||full	16056	7762	2635748	724448
KSW-C63_1_V_NODE_64_length_15059_cov_12.163090||full	1482	1176	1436	694
KSW-C63_1_V_NODE_66_length_14776_cov_17.037294||full	914	162	2406	1034
KSW-C63_1_V_NODE_72_length_14259_cov_5.976415||full	512	148	1932	668
KSW-C63_1_V_NODE_75_length_14114_cov_9.701970||full	608	18	5100	1762
KSW-C63_1_V_NODE_76_length_14099_cov_10.736115||full	828	286	1024	452
KSW-C63_1_V_NODE_78_length_13993_cov_14.679438||full	1764	1050	2226	994
KSW-C63_1_V_NODE_82_length_13870_cov_3.241260||full	164	22	192	40
KSW-C63_1_V_NODE_83_length_13799_cov_50.324796||full	68	10	3746	5622
KSW-C63_1_V_NODE_88_length_13464_cov_10.686256||full	606	186	974	482
KSW-C63_1_V_NODE_100_length_12227_cov_9.707033||full	938	930	552	496
KSW-C63_1_V_NODE_103_length_11957_cov_18.367753||full	618	114	1928	876
KSW-C63_1_V_NODE_104_length_11951_cov_7.146772||full	1260	244	1298	728
KSW-C63_1_V_NODE_113_length_11624_cov_34.770853||full	1186	1134	3812	3326
KSW-C63_1_V_NODE_135_length_10594_cov_3.923617||full	568	20	1810	536
KSW-C63_1_V_NODE_137_length_10566_cov_116.858529||full	2796	3460	5372	7084
KSW-C63_1_V_NODE_138_length_10558_cov_6.083976||full	554	68	1110	434
KSW-C63_1_V_NODE_142_length_10388_cov_58.545534||full	3234	1614	3232	1118
KSW-C63_1_V_NODE_152_length_9949_cov_3.949161||full	284	6	2908	1816
KSW-C63_1_V_NODE_154_length_9883_cov_1235.464998||full	272174	1170248	103228	216152
KSW-C63_1_V_NODE_156_length_9828_cov_5.608513||full	648	112	596	308
KSW-C63_1_V_NODE_160_length_9676_cov_6.061532||full	202	36	1202	426
KSW-C63_1_V_NODE_171_length_9466_cov_67.890872||full	4672	1790	8336	1788
KSW-C63_1_V_NODE_177_length_9289_cov_4.197856||full	138	8	242	54
KSW-C63_1_V_NODE_179_length_9235_cov_6.061329||full	428	186	212	188
KSW-C63_1_V_NODE_183_length_9223_cov_5.018106||full	684	28	790	134
KSW-C63_1_V_NODE_184_length_9211_cov_6.941896||full	378	68	686	296
KSW-C63_1_V_NODE_192_length_8995_cov_5.744072||full	774	14	1802	372
KSW-C63_1_V_NODE_196_length_8942_cov_7.965005||full	602	772	656	468
KSW-C63_1_V_NODE_202_length_8874_cov_5.376460||full	104	8	134	62
KSW-C63_1_V_NODE_215_length_8562_cov_5.551663||full	176	14	168	94
KSW-C63_1_V_NODE_217_length_8528_cov_17.696920||full	782	346	862	352
KSW-C63_1_V_NODE_224_length_8418_cov_20.240105||full	1104	304	6110	1752
KSW-C63_1_V_NODE_225_length_8385_cov_6.696999||full	1360	518	950	262
KSW-C63_1_V_NODE_226_length_8363_cov_11.316081||full	212	24	458	134
KSW-C63_1_V_NODE_244_length_7981_cov_4.250063||full	100	70	90	26
KSW-C63_1_V_NODE_247_length_7959_cov_6.985071||full	166	0	344	48
KSW-C63_1_V_NODE_250_length_7950_cov_48.674478||full	1232	612	1484	616
KSW-C63_1_V_NODE_258_length_7864_cov_13.649763||full	156	288	12	12
KSW-C63_1_V_NODE_264_length_7749_cov_87.723551||full	8552	5260	8760	4762
KSW-C63_1_V_NODE_268_length_7673_cov_6.599107||full	400	6	666	180
KSW-C63_1_V_NODE_272_length_7585_cov_5.591633||full	366	4	1482	456
KSW-C63_1_V_NODE_275_length_7554_cov_20.400320||full	58	16	90	32
KSW-C63_1_V_NODE_279_length_7515_cov_4.047185||full	138	44	298	72
KSW-C63_1_V_NODE_282_length_7485_cov_4.072544||full	74	4	252	30
KSW-C63_1_V_NODE_285_length_7449_cov_4.820665||full	66	8	146	58
KSW-C63_1_V_NODE_288_length_7401_cov_4.679690||full	210	16	390	206
KSW-C63_1_V_NODE_297_length_7242_cov_5.335049||full	156	68	1102	386
KSW-C63_1_V_NODE_298_length_7219_cov_5.272613||full	392	10	1448	394
KSW-C63_1_V_NODE_303_length_7203_cov_7.636402||full	242	372	422	234
KSW-C63_1_V_NODE_304_length_7192_cov_7.089113||full	256	162	114	134
KSW-C63_1_V_NODE_309_length_7148_cov_21.330326||full	230	58	682	328
KSW-C63_1_V_NODE_310_length_7147_cov_4.703751||full	4	0	52	54
KSW-C63_1_V_NODE_325_length_7049_cov_9.612382||full	228	30	406	120
KSW-C63_1_V_NODE_341_length_6931_cov_5.323735||full	138	24	272	140
KSW-C63_1_V_NODE_353_length_6822_cov_13.595833||full	384	24	850	190
KSW-C63_1_V_NODE_356_length_6793_cov_8.137281||full	190	90	352	264
KSW-C63_1_V_NODE_361_length_6769_cov_14.977361||full	250	16	1186	696
KSW-C63_1_V_NODE_374_length_6664_cov_4.944167||full	422	12	2138	642
KSW-C63_1_V_NODE_381_length_6610_cov_12.700534||full	358	0	2928	968
KSW-C63_1_V_NODE_390_length_6558_cov_25.738736||full	2174	994	1048	1050
KSW-C63_1_V_NODE_397_length_6479_cov_5.551214||full	232	6	384	72
KSW-C63_1_V_NODE_401_length_6451_cov_5.047217||full	32	32	2040	794
KSW-C63_1_V_NODE_402_length_6445_cov_4.120031||full	158	16	264	66
KSW-C63_1_V_NODE_408_length_6424_cov_21.953682||full	890	534	1256	520
KSW-C63_1_V_NODE_415_length_6398_cov_19.603027||full	136	28	396	104
KSW-C63_1_V_NODE_419_length_6345_cov_15.342130||full	2	0	22	0
KSW-C63_1_V_NODE_422_length_6318_cov_25.575443||full	948	868	158	50
KSW-C63_1_V_NODE_427_length_6296_cov_4.322865||full	128	0	1090	566
KSW-C63_1_V_NODE_429_length_6275_cov_10.936656||full	946	1110	320	744
KSW-C63_1_V_NODE_446_length_6168_cov_7.062326||full	122	12	720	258
KSW-C63_1_V_NODE_462_length_6044_cov_5.357489||full	294	14	828	156
KSW-C63_1_V_NODE_470_length_6002_cov_4.727426||full	102	826	40	118
KSW-C63_1_V_NODE_473_length_5985_cov_3.974368||full	240	202	38	18
KSW-C63_1_V_NODE_476_length_5940_cov_4.588955||full	0	0	6	0
KSW-C63_1_V_NODE_478_length_5928_cov_70.762813||full	1266	168	3296	912
KSW-C63_1_V_NODE_479_length_5924_cov_9.516442||full	190	20	564	194
KSW-C63_1_V_NODE_491_length_5846_cov_3.584873||full	124	32	202	62
KSW-C63_1_V_NODE_494_length_5829_cov_4.002251||full	116	32	144	64
KSW-C63_1_V_NODE_496_length_5821_cov_23.655741||full	1662	3218	52	70
KSW-C63_1_V_NODE_506_length_5760_cov_17.611218||full	356	2	3306	1218
KSW-C63_1_V_NODE_509_length_5742_cov_3.553895||full	130	56	908	368
KSW-C63_1_V_NODE_511_length_5737_cov_66.867476||full	2444	1146	2614	946
KSW-C63_1_V_NODE_517_length_5674_cov_75.197188||full	3114	1628	5140	3904
KSW-C63_1_V_NODE_533_length_5521_cov_8.255580||full	192	30	508	164
KSW-C63_1_V_NODE_534_length_5513_cov_4.034628||full	468	284	334	204
KSW-C63_1_V_NODE_545_length_5458_cov_5.612993||full	276	68	250	94
KSW-C63_1_V_NODE_555_length_5417_cov_3684.083551||full	156340	88700	467556	132662
KSW-C63_1_V_NODE_564_length_5375_cov_23.715414||full	996	1422	192	208
KSW-C63_1_V_NODE_567_length_5351_cov_6.161631||full	26	30	1656	620
KSW-C63_1_V_NODE_569_length_5342_cov_6.684698||full	550	114	1364	318
KSW-C63_1_V_NODE_589_length_5228_cov_9.763580||full	20	4	1416	600
KSW-C63_1_V_NODE_598_length_5168_cov_6.459613||full	418	74	336	138
KSW-C63_1_V_NODE_603_length_5138_cov_2.837104||full	122	22	160	70
KSW-C63_1_V_NODE_613_length_5110_cov_4.839763||full	74	78	162	110
KSW-C63_1_V_NODE_619_length_5077_cov_5.764237||full	84	8	272	94
KSW-C63_1_V_NODE_629_length_5019_cov_4.866841||full	344	8	1454	500
KSW-C63_1_V_NODE_631_length_5015_cov_16.528831||full	1038	1610	178	156
KSW-C63_2_V_NODE_1_length_95852_cov_10.476466||full	5618	5498	20728	27958
KSW-C63_2_V_NODE_2_length_76320_cov_18.241133||full	5178	3790	11598	5304
KSW-C63_2_V_NODE_3_length_73377_cov_76.935258||full	16708	21182	45168	128726
KSW-C63_2_V_NODE_6_length_47699_cov_10.945261||full	4	2	1156	750
KSW-C63_2_V_NODE_8_length_38542_cov_10.219763||full	722	368	3684	5104
KSW-C63_2_V_NODE_9_length_38173_cov_10.612676||full	6	6	1026	680
KSW-C63_2_V_NODE_11_length_36397_cov_17.552116||full	1132	450	5620	2182
KSW-C63_2_V_NODE_23_length_28206_cov_7.475223||full	2264	1056	2606	1756
KSW-C63_2_V_NODE_26_length_26236_cov_6.819296||full	1756	224	4258	1494
KSW-C63_2_V_NODE_34_length_22890_cov_9.682680||full	688	102	2928	860
KSW-C63_2_V_NODE_39_length_20760_cov_22.484086||full	60	8	3894	4774
KSW-C63_2_V_NODE_46_length_19623_cov_19.459066||full	66	68	4728	1696
KSW-C63_2_V_NODE_55_length_18333_cov_6.289857||full	756	332	2028	1044
KSW-C63_2_V_NODE_56_length_18172_cov_9.084727||full	352	12	19972	7240
KSW-C63_2_V_NODE_58_length_18076_cov_9.457633||full	2074	576	1970	754
KSW-C63_2_V_NODE_65_length_17002_cov_14.258158||full	958	946	958	754
KSW-C63_2_V_NODE_74_length_16168_cov_4.891020||full	556	34	950	208
KSW-C63_2_V_NODE_76_length_16009_cov_7.100852||full	74	78	730	942
KSW-C63_2_V_NODE_80_length_15505_cov_7.763172||full	1642	1202	880	866
KSW-C63_2_V_NODE_85_length_14866_cov_1109.031801||full	51762	30568	113644	49132
KSW-C63_2_V_NODE_90_length_14539_cov_8.543772||full	152	112	938	1308
KSW-C63_2_V_NODE_95_length_13956_cov_4.932811||full	966	336	1182	526
KSW-C63_2_V_NODE_105_length_13455_cov_10.345004||full	450	254	1478	1074
KSW-C63_2_V_NODE_114_length_13087_cov_21.738413||full	1906	912	2436	2178
KSW-C63_2_V_NODE_117_length_12843_cov_6.483422||full	44	10	496	876
KSW-C63_2_V_NODE_119_length_12603_cov_8.094916||full	598	82	1400	408
KSW-C63_2_V_NODE_120_length_12558_cov_7.336399||full	258	68	1464	546
KSW-C63_2_V_NODE_123_length_12521_cov_8.024627||full	18	4	706	1082
KSW-C63_2_V_NODE_133_length_12160_cov_19.647997||full	1526	570	2204	936
KSW-C63_2_V_NODE_135_length_12133_cov_25.632803||full	2172	696	5864	1138
KSW-C63_2_V_NODE_137_length_12055_cov_7.291500||full	36	8	610	1080
KSW-C63_2_V_NODE_142_length_11875_cov_59.274535||full	2450	1946	2866	7456
KSW-C63_2_V_NODE_149_length_11446_cov_5.030111||full	72	96	206	130
KSW-C63_2_V_NODE_153_length_11377_cov_12.395248||full	4	4	436	210
KSW-C63_2_V_NODE_156_length_11327_cov_8.099184||full	352	100	1550	606
KSW-C63_2_V_NODE_165_length_11104_cov_4.940357||full	136	44	2658	5696
KSW-C63_2_V_NODE_180_length_10579_cov_9.731376||full	5726	14804	280	282
KSW-C63_2_V_NODE_181_length_10559_cov_5.122906||full	554	80	1044	360
KSW-C63_2_V_NODE_188_length_10503_cov_9.855379||full	254	152	1680	918
KSW-C63_2_V_NODE_191_length_10333_cov_8.404943||full	264	2	1966	870
KSW-C63_2_V_NODE_192_length_10320_cov_39.392986||full	44	70	3934	1378
KSW-C63_2_V_NODE_196_length_10216_cov_9.776105||full	540	74	2880	1842
KSW-C63_2_V_NODE_201_length_9990_cov_27.587620||full	1474	774	1938	798
KSW-C63_2_V_NODE_202_length_9989_cov_5.787900||full	64	0	1992	722
KSW-C63_2_V_NODE_211_length_9855_cov_9.426224||full	0	0	176	100
KSW-C63_2_V_NODE_217_length_9766_cov_4.751828||full	76	66	118	88
KSW-C63_2_V_NODE_231_length_9509_cov_5.000952||full	548	14	2094	528
KSW-C63_2_V_NODE_237_length_9377_cov_5.996889||full	300	58	808	230
KSW-C63_2_V_NODE_238_length_9365_cov_5.193340||full	204	192	424	382
KSW-C63_2_V_NODE_261_length_8959_cov_22.101864||full	26	30	1318	474
KSW-C63_2_V_NODE_265_length_8914_cov_7.774128||full	28	22	810	1244
KSW-C63_2_V_NODE_273_length_8774_cov_6.668425||full	656	1286	44	58
KSW-C63_2_V_NODE_275_length_8746_cov_6.100564||full	532	20	2042	694
