	C0_1	C0_2	C72_1	C72_2	T0_1	T0_2	T72_1	T72_2
Rhodobacterales_Rhodobacteraceae	0.1427267	0.1665145	0.2894807	0.3843097	0.1658702	0.2124255	0.4264619	0.4396714
SAR11_clade_Clade_I	0.360199753	0.3230414	0.128872899	0.027117006	0.212747678	0.217311926	0.005852978	0.00671213
Micrococcales_Microbacteriaceae	0.12506041	0.13021533	0.05965741	0.04805885	0.11518015	0.10830693	0.02035118	0.01707566
Flavobacteriales_Flavobacteriaceae	0.04403157	0.04027278	0.06121463	0.08553939	0.03737314	0.04446115	0.0616979	0.05530795
Chloroplast	0.053482253	0.071524459	0.00236267	0.000644365	0.138806852	0.09746013	0.000429576	0.00053697
Chitinophagales_Saprospiraceae	0.001718305	0.001557214	0.021639908	0.046072061	0.002040488	0.003758793	0.110078935	0.149814745
Pseudomonadales_SAR86_clade	0.086774419	0.07458519	0.00998765	0.003758793	0.076088708	0.062395962	0.002201579	0.000429576
Pseudomonadales_Litoricolaceae	0.007517586	0.005745583	0.12087204	0.11088439	0.008806315	0.007195404	0.019169844	0.027868764
Pseudomonadales_Halieaceae	0.01154486	0.0090748	0.04870322	0.08301563	0.01675348	0.01068571	0.03345326	0.02856683
Enterobacterales_Alteromonadaceae	0.000966547	0.000966547	0.013048381	0.021156634	0.00762498	0.013692746	0.115556033	0.063577297
Flavobacteriales_NS9_marine_group	0.0181496	0.01696827	0.02700961	0.02335821	0.01315578	0.01675348	0.03785641	0.05047522
Puniceispirillales_SAR116_clade	0.032808892	0.038071202	0.021532514	0.015679536	0.044514847	0.034634592	0.00381249	0.003544005
Enterobacterales_Vibrionaceae	0.000322182	0.00053697	0.001396123	0.001557214	0.041776298	0.05498577	0.015464748	0.023250819
Flavobacteriales_Cryomorphaceae	0.017773721	0.018095903	0.031144284	0.018310691	0.010685711	0.011007893	0.00579928	0.008269344
Enterobacterales_Pseudoalteromonadaceae	0	0.000214788	0.034580895	0.009826559	0.004242066	0.003007034	0.031896043	0.033184772
Pseudomonadales_Pseudohongiellaceae	0.01578693	0.016646083	0.005047522	0.00236267	0.026955915	0.021800999	0.002684852	0.003329217
Flavobacteriales_Crocinitomicaceae	0.015142566	0.014551898	0.005906675	0.00472534	0.007034312	0.008913709	0.001879396	0.001933093
Parvibaculales_PS1_clade	0.006819524	0.008000859	0.003490308	0.002684852	0.011759652	0.009396982	0.000859153	0.000590668
Pseudomonadales_Moraxellaceae	0.000107394	0.000859153	0.010095044	0.025398701	0.000107394	0.000214788	0.002040488	0.00327552
Pseudomonadales_Nitrincolaceae	0.003221822	0.003919884	0.003221822	0.003490308	0.003436611	0.00434946	0.007571283	0.008000859
Balneolales_Balneolaceae	0.000859153	0.00144982	0.027976159	0.003544005	0.000483273	0.001020244	0.000698062	0.000966547
Pseudomonadales_Cellvibrionaceae	0	0	0.000214788	0.000966547	0	0	0.02104924	0.014498201
Caulobacterales_Hyphomonadaceae	0.000322182	0.000375879	0.007463889	0.010846802	0.000322182	0.000429576	0.004832734	0.002845943
Microtrichales_Ilumatobacteraceae	0.006228857	0.007678677	0.000698062	0.000375879	0.005906675	0.006228857	0	0
Pseudomonadales_Marinomonadaceae	0	0	0.000107394	0.000268485	0.001073941	0.000966547	0.013048381	0.008913709
