	C0_1	C0_2	C63_1	C63_2
ASV_1	7376	6065	2612	499
ASV_2	3017	3218	242	147
ASV_3	15	26	2722	3950
ASV_4	219	156	3012	2539
ASV_5	1053	1056	915	631
ASV_6	1509	1495	292	201
ASV_7	4	7	76	704
ASV_8	665	856	3	0
ASV_9	1197	966	206	35
ASV_10	937	706	87	20
ASV_11	52	47	375	1051
ASV_12	861	644	135	38
ASV_13	800	670	130	15
ASV_14	390	386	93	45
ASV_15	0	0	354	196
ASV_16	595	473	91	35
ASV_17	389	442	112	83
ASV_18	328	371	235	410
ASV_19	0	3	636	156
ASV_20	70	56	329	734
ASV_21	11	7	405	812
ASV_22	352	339	178	139
ASV_23	478	438	31	43
ASV_24	0	0	71	110
ASV_25	8	8	690	756
ASV_26	442	354	39	13
ASV_27	0	0	154	40
ASV_28	0	1	102	185
ASV_29	10	9	308	533
ASV_30	1	5	165	300
ASV_31	0	0	6	23
ASV_32	317	236	22	4
ASV_33	192	233	1	0
ASV_34	209	182	49	38
ASV_35	0	0	198	67
ASV_36	7	5	40	106
ASV_37	18	28	663	82
ASV_38	2	2	36	78
ASV_39	149	168	37	15
ASV_40	181	168	115	53
ASV_41	2	7	175	289
ASV_42	1	0	9	9
ASV_43	62	39	107	112
ASV_44	75	60	28	42
ASV_45	49	68	82	146
ASV_46	27	23	4	7
ASV_47	138	174	0	0
ASV_48	3	1	136	194
ASV_49	11	15	331	160
ASV_50	68	45	251	106
ASV_51	97	107	1	0
ASV_52	148	133	3	3
ASV_53	0	1	0	0
ASV_54	4	9	277	171
ASV_55	123	107	20	7
ASV_56	188	150	0	0
ASV_57	200	172	11	0
ASV_58	90	122	0	4
ASV_59	22	20	23	36
ASV_60	0	0	151	53
ASV_61	94	89	0	0
ASV_62	153	141	3	0
ASV_63	5	4	290	139
ASV_64	2	2	7	5
ASV_65	0	0	8	9
ASV_66	52	55	88	76
ASV_67	73	97	0	0
ASV_68	0	1	108	159
ASV_69	0	0	20	13
ASV_70	0	1	83	36
ASV_71	95	81	9	36
ASV_72	2	0	3	0
ASV_73	98	95	25	12
ASV_74	116	98	29	0
ASV_75	0	0	31	13
ASV_76	12	10	29	127
ASV_77	43	26	89	89
ASV_78	0	0	58	55
ASV_79	0	0	110	163
ASV_80	125	98	5	0
ASV_81	2	3	66	119
ASV_82	0	1	42	10
ASV_83	0	0	6	1
ASV_84	87	91	2	2
ASV_85	30	19	42	106
ASV_86	1	1	204	93
ASV_87	5	4	87	127
ASV_88	31	45	21	19
ASV_89	101	85	0	0
ASV_90	33	54	56	37
ASV_91	80	75	9	2
ASV_92	57	46	88	4
ASV_93	99	72	15	3
ASV_94	83	81	16	3
ASV_95	90	68	5	1
ASV_96	74	47	14	8
ASV_97	48	50	0	0
ASV_98	34	38	23	10
ASV_99	0	0	5	4
ASV_100	1	4	43	130
ASV_101	26	23	43	58
ASV_102	0	1	22	59
ASV_103	67	72	8	7
ASV_104	42	65	11	36
ASV_105	71	58	6	3
ASV_106	19	11	6	28
ASV_107	9	6	65	88
ASV_108	40	37	15	16
ASV_109	30	36	36	20
ASV_110	7	8	43	106
ASV_111	59	47	16	5
ASV_112	0	0	37	42
ASV_113	1	1	11	34
ASV_114	14	27	38	38
ASV_115	41	56	10	4
ASV_116	0	0	76	71
ASV_117	1	1	85	17
ASV_118	0	0	1	5
ASV_119	0	1	40	29
ASV_120	58	74	3	4
ASV_121	11	11	114	28
ASV_122	60	49	6	3
ASV_123	0	1	42	156
ASV_124	0	0	39	21
ASV_125	81	49	4	1
ASV_126	47	74	0	0
ASV_127	33	27	4	7
ASV_128	61	58	21	6
ASV_129	0	0	35	40
ASV_130	12	20	5	10
ASV_131	31	42	8	3
ASV_132	23	36	27	15
ASV_133	3	0	32	66
ASV_134	10	20	26	13
ASV_135	27	37	18	34
ASV_136	8	6	9	25
ASV_137	1	6	67	52
ASV_138	34	47	0	1
ASV_139	23	26	1	1
ASV_140	46	49	4	0
ASV_141	35	38	0	1
ASV_142	0	1	101	23
ASV_143	55	32	6	1
ASV_144	40	34	27	6
ASV_145	1	3	1	1
ASV_146	18	11	21	16
ASV_147	2	14	26	80
ASV_148	42	20	1	0
ASV_149	30	39	0	0
ASV_150	23	34	15	22
ASV_151	15	17	3	7
ASV_152	5	6	12	51
ASV_153	13	10	51	38
ASV_154	0	0	4	1
ASV_155	0	2	46	55
ASV_156	0	1	28	51
ASV_157	32	20	14	20
ASV_158	30	46	3	2
ASV_159	24	54	3	6
ASV_160	0	0	2	0
ASV_161	41	36	7	1
ASV_162	43	32	0	0
ASV_163	23	15	1	0
ASV_164	0	0	1	0
ASV_165	31	34	1	0
ASV_166	0	0	19	94
ASV_167	37	27	15	1
ASV_168	24	17	1	0
ASV_169	2	0	51	23
ASV_170	3	0	14	29
ASV_171	0	0	15	3
ASV_172	25	27	3	0
ASV_173	21	10	13	4
ASV_174	39	23	11	4
ASV_175	25	21	9	3
ASV_176	1	0	1	2
ASV_177	21	17	7	11
ASV_179	27	21	8	3
ASV_180	0	0	72	17
ASV_181	30	28	0	0
ASV_182	44	28	0	1
ASV_183	30	23	16	4
ASV_184	21	38	0	1
ASV_185	0	1	32	59
ASV_186	0	1	7	7
ASV_187	18	26	6	10
ASV_188	5	9	27	7
ASV_189	2	4	12	29
ASV_190	2	0	5	16
ASV_191	0	0	3	0
ASV_192	28	17	2	2
ASV_193	3	1	24	52
ASV_194	0	0	33	43
ASV_195	0	0	1	2
ASV_196	24	18	0	0
ASV_197	0	0	27	21
ASV_198	0	0	10	20
ASV_199	5	4	2	20
ASV_200	0	0	54	4
ASV_201	30	16	1	0
ASV_202	0	1	5	4
ASV_203	20	23	1	5
ASV_204	18	22	5	4
ASV_205	0	3	0	0
ASV_206	0	0	8	24
ASV_207	23	18	0	0
ASV_208	16	20	7	4
ASV_209	18	12	1	4
ASV_210	16	18	41	3
ASV_211	0	0	40	27
ASV_212	0	0	8	56
ASV_213	0	0	7	2
ASV_214	0	0	2	0
ASV_215	13	7	27	13
ASV_216	30	17	3	0
ASV_217	29	22	1	2
ASV_218	21	29	1	0
ASV_219	31	30	5	0
ASV_220	23	29	3	1
ASV_221	2	4	25	35
ASV_222	0	0	17	64
ASV_223	0	0	7	8
ASV_224	0	1	4	31
ASV_225	13	26	6	3
ASV_226	0	0	4	4
ASV_227	24	9	1	9
ASV_228	2	2	12	16
ASV_229	46	12	5	1
ASV_230	12	15	10	20
ASV_231	0	1	23	33
ASV_232	30	20	2	0
ASV_233	2	2	50	26
ASV_234	0	0	17	21
ASV_235	16	17	10	9
ASV_236	13	7	23	5
ASV_237	5	3	37	16
ASV_238	0	1	7	14
ASV_239	24	24	6	2
ASV_240	19	15	6	6
ASV_241	1	0	0	0
ASV_242	25	26	7	0
ASV_243	12	20	0	0
ASV_244	10	9	11	7
ASV_245	18	9	4	8
ASV_246	11	14	4	0
ASV_247	19	15	1	10
ASV_248	9	8	9	2
ASV_249	0	2	12	17
ASV_250	0	0	52	19
ASV_251	0	0	2	7
ASV_252	19	20	0	5
ASV_253	1	0	0	1
ASV_254	0	0	3	2
ASV_255	13	15	29	0
ASV_256	13	11	11	16
ASV_257	0	0	36	21
ASV_258	5	13	8	1
ASV_259	0	0	2	3
ASV_260	20	17	7	2
ASV_261	14	12	22	5
ASV_262	5	0	8	1
ASV_263	1	0	2	2
ASV_264	0	0	1	5
ASV_265	27	16	0	0
ASV_266	22	10	4	0
ASV_267	12	15	5	3
ASV_268	0	1	28	32
ASV_269	0	0	22	19
ASV_270	1	0	23	20
ASV_271	2	3	21	25
ASV_272	0	0	3	62
ASV_274	9	17	5	2
ASV_275	0	0	1	1
ASV_276	18	15	0	0
ASV_277	8	7	14	12
ASV_278	3	0	0	6
ASV_279	2	0	0	13
ASV_280	42	4	3	2
ASV_281	10	18	6	8
ASV_282	17	16	2	1
ASV_283	15	10	0	0
ASV_284	12	5	28	4
ASV_285	0	0	23	5
ASV_286	16	12	1	1
ASV_287	4	8	12	7
ASV_288	7	3	20	14
ASV_289	3	2	53	1
ASV_290	1	0	4	0
ASV_291	0	0	4	10
ASV_292	0	0	2	11
ASV_294	13	18	5	1
ASV_295	0	0	22	5
ASV_297	15	12	0	2
ASV_298	18	6	2	0
ASV_299	1	1	4	14
ASV_300	17	22	0	0
ASV_301	0	0	24	16
ASV_302	0	0	3	15
ASV_304	0	0	10	10
ASV_305	1	3	0	2
ASV_306	18	10	4	0
ASV_307	0	0	2	7
ASV_309	16	6	0	0
ASV_310	7	8	7	6
ASV_311	16	18	0	0
ASV_312	0	1	31	6
ASV_313	0	0	10	23
ASV_314	0	0	0	1
ASV_315	11	20	0	0
ASV_316	8	5	34	0
