	C0_1	C0_2	C63_1	C63_2
ASV_1	12.6874776974874	12.2726126587011	11.3144884212967	9.39230222765867
ASV_2	11.4025894770862	11.3622172910969	7.96384908541318	7.70417902877361
ASV_3	4.72896503640818	5.12146903470093	11.3736499730289	12.3481308163049
ASV_4	7.71753052731067	7.1478850320515	11.5189025960793	11.7128941222215
ASV_5	9.89908505212607	9.77169531139018	9.81713287645077	9.72405798930707
ASV_6	10.4111900691529	10.2658234468869	8.21995386989525	8.12763198982906
ASV_7	3.90645476380258	4.14773803847567	6.46515490777747	9.87929719397485
ASV_8	9.24934635835737	9.47462185629307	3.81533286163271	2.94108370924105
ASV_9	10.0812291321613	9.64551901540939	7.74642028985145	5.91758937107966
ASV_10	9.73354658575253	9.20320415175396	6.63056686606829	5.32964725576264
ASV_11	5.92565783016718	5.71314626435113	8.56470657254747	10.4496762710117
ASV_12	9.6137851875899	9.07416284331009	7.18779151249552	6.01023186791818
ASV_13	9.50990522235075	9.12968901343503	7.1388815799666	5.05880774176322
ASV_14	8.50449521641348	8.36242527902643	6.71330175973888	6.20523060603542
ASV_15	2.94108370924105	2.94108370924105	8.48496209218348	8.09325536346603
ASV_16	9.09310271340812	8.64348691026389	6.68625313537709	5.91758937107966
ASV_17	8.5009448432514	8.54949884135158	6.94754904990571	6.95557677127618
ASV_18	8.26594690487861	8.30790022227862	7.92406436897611	9.11593787900831
ASV_19	2.94108370924105	3.74385488441001	9.30301431856947	7.78397843790657
ASV_20	6.26773501679177	5.90495547331191	8.38389062821363	9.93854748049426
ASV_21	4.49569108699037	4.14773803847567	8.67147974670035	10.0820924046737
ASV_22	8.3630259421542	8.18418956713453	7.55120213173465	7.62932863891837
ASV_23	8.7869685223741	8.53691246800432	5.46158912114551	6.15221690626401
ASV_24	2.94108370924105	2.94108370924105	6.38309648890374	7.31975082899944
ASV_25	4.28303395259662	4.22608173932859	9.41786761821003	9.98050139334475
ASV_26	8.67801217942471	8.24350343238839	5.7011062454042	4.93250035183394
ASV_27	2.94108370924105	2.94108370924105	7.35978707621096	6.06875764222842
ASV_28	2.94108370924105	3.40851913654026	6.82905398452507	8.01460847963134
ASV_29	4.42924624561853	4.29886364612978	8.2931447520897	9.4853159616419
ASV_30	3.43047514091465	3.96899799414464	7.45069305114486	8.67961423443066
ASV_31	2.94108370924105	2.94108370924105	4.15989341999018	5.46917006619472
ASV_32	8.21916810321964	7.69356277309111	5.12913328371245	4.10380782928353
ASV_33	7.5418874595675	7.67643393004708	3.45093288315661	2.94108370924105
ASV_34	7.65495069777671	7.34887347011355	5.95178945294183	6.01023186791818
ASV_35	2.94108370924105	2.94108370924105	7.69329365984012	6.68599466461037
ASV_36	4.20162724618081	3.96899799414464	5.72831204406746	7.2712931500496
ASV_37	4.87847209714025	5.19048303081689	9.36158391580796	6.94013762700844
ASV_38	3.62994820583761	3.59930859571493	5.6161134438351	6.87665961123033
ASV_39	7.20851531767653	7.2441558707847	5.64503116269481	5.05880774176322
ASV_40	7.46368723177952	7.2441558707847	6.98126536573977	6.39939274077877
ASV_41	3.62994820583761	4.14773803847567	7.52862359691922	8.62773829552548
ASV_42	3.43047514091465	2.94108370924105	4.41381897420504	4.6339513731029
ASV_43	6.12585070441703	5.51695858854059	6.8895279998042	7.34337993696799
ASV_44	6.34968510132404	5.98240443568204	5.35967367499166	6.12494326342316
ASV_45	5.85955749963919	6.12553939758167	6.55775276150315	7.69503295040567
ASV_46	5.2438819336513	5.01058855558129	3.94567729516706	4.45128811220301
ASV_47	7.10915993686652	7.2899730832165	2.94108370924105	2.94108370924105
ASV_48	3.78089685340471	3.40851913654026	7.19737653234982	8.07927165968727
ASV_49	4.49569108699037	4.65652421055716	8.39224236254379	7.81807239397545
ASV_50	6.23357811423034	5.66666060600185	8.01343699492201	7.2712931500496
ASV_51	6.66283681776632	6.66962551615484	3.45093288315661	2.94108370924105
ASV_52	7.19976204788363	6.94307470410523	3.81533286163271	3.95453974529311
ASV_53	2.94108370924105	3.40851913654026	2.94108370924105	2.94108370924105
ASV_54	3.90645476380258	4.29886364612978	8.14778712666887	7.90786907160249
ASV_55	6.96152217506085	6.66962551615484	5.04236124932976	4.45128811220301
ASV_56	7.51394072365657	7.09721301078332	2.94108370924105	2.94108370924105
ASV_57	7.59620234523674	7.27486257535729	4.55533913089758	2.94108370924105
ASV_58	6.57046604412359	6.83369777266666	2.94108370924105	4.10380782928353
ASV_59	5.05367948578415	4.88924539534451	5.17045104663587	5.94915659992573
ASV_60	2.94108370924105	2.94108370924105	7.33396257034247	6.39939274077877
ASV_61	6.62398004351308	6.4440207203484	2.94108370924105	2.94108370924105
ASV_62	7.24300404604581	7.01767958689516	3.81533286163271	2.94108370924105
ASV_63	4.01563919802515	3.86421988164628	8.21053795535245	7.62932863891837
ASV_64	3.62994820583761	3.59930859571493	4.25153112915273	4.23292471308192
ASV_65	2.94108370924105	2.94108370924105	4.33572916970672	4.6339513731029
ASV_66	5.92565783016718	5.88490336071409	6.64469362342622	6.84383213537554
ASV_67	6.317471952183	6.54872504966675	2.94108370924105	2.94108370924105
ASV_68	2.94108370924105	3.40851913654026	6.90132193506722	7.80962431983002
ASV_69	2.94108370924105	2.94108370924105	5.04236124932976	4.93250035183394
ASV_70	2.94108370924105	3.40851913654026	6.57261640561757	5.94915659992573
ASV_71	6.63705032335055	6.33097895708353	4.41381897420504	5.94915659992573
ASV_72	3.62994820583761	2.94108370924105	3.81533286163271	2.94108370924105
ASV_73	6.67555729839091	6.5232627243153	5.24939595792924	4.86432264502248
ASV_74	6.88704453686028	6.56128740701538	5.39450680298874	2.94108370924105
ASV_75	2.94108370924105	2.94108370924105	5.46158912114551	4.93250035183394
ASV_76	4.55848305911053	4.36696998812936	5.39450680298874	7.5092002311739
ASV_77	5.71711712031004	5.12146903470093	6.65868178512785	7.04487135321042
ASV_78	2.94108370924105	2.94108370924105	6.14442100806373	6.44404432959803
ASV_79	2.94108370924105	2.94108370924105	6.92462212280003	7.84312312695923
ASV_80	6.98210868138863	6.56128740701538	4.05891077199657	2.94108370924105
ASV_81	3.62994820583761	3.74385488441001	6.29599767089942	7.42314882217611
ASV_82	2.94108370924105	3.40851913654026	5.78117005147787	4.71566443650983
ASV_83	2.94108370924105	2.94108370924105	4.15989341999018	3.53412386420774
ASV_84	6.52896810251083	6.47092854702414	3.65846372554614	3.77406770329896
ASV_85	5.34613389940568	4.8460702280767	5.78117005147787	7.2712931500496
ASV_86	3.43047514091465	3.40851913654026	7.73332139192494	7.10145202524665
ASV_87	4.01563919802515	3.86421988164628	6.63056686606829	7.5092002311739
