	T0_1	T0_2	T63_1	T63_2
ASV_1	3841	3732	103	128
ASV_2	2661	3662	23	41
ASV_3	52	29	1586	2359
ASV_4	221	168	348	576
ASV_5	971	944	189	243
ASV_6	1128	1023	61	9
ASV_7	11	9	1850	2992
ASV_8	2093	1413	0	0
ASV_9	589	598	4	6
ASV_10	726	534	13	0
ASV_11	94	86	680	575
ASV_12	505	486	5	15
ASV_13	391	402	5	7
ASV_14	586	484	51	58
ASV_15	4	5	836	649
ASV_16	475	350	20	4
ASV_17	539	356	18	22
ASV_18	239	263	76	31
ASV_19	52	44	494	545
ASV_20	66	82	371	216
ASV_21	25	17	233	225
ASV_22	302	282	67	68
ASV_23	322	335	36	7
ASV_24	4	3	841	636
ASV_25	8	6	14	28
ASV_26	368	276	1	1
ASV_27	0	0	171	1066
ASV_28	3	6	727	383
ASV_29	22	13	183	124
ASV_30	16	8	292	302
ASV_31	0	1	493	544
ASV_32	235	186	1	2
ASV_33	358	172	0	1
ASV_34	240	194	5	5
ASV_35	1	0	351	244
ASV_36	2	6	261	427
ASV_37	11	15	16	14
ASV_38	2	3	247	432
ASV_39	234	158	7	8
ASV_40	82	133	26	8
ASV_41	8	4	122	133
ASV_42	259	296	55	109
ASV_43	129	114	89	81
ASV_44	124	153	78	120
ASV_45	89	55	104	81
ASV_46	198	345	6	33
ASV_47	204	125	0	0
ASV_48	2	3	154	148
ASV_49	15	7	21	59
ASV_50	46	48	24	8
ASV_51	242	146	0	0
ASV_52	149	132	0	0
ASV_53	0	0	328	225
ASV_54	2	5	33	43
ASV_55	97	158	7	18
ASV_56	79	57	18	41
ASV_57	31	81	0	0
ASV_58	145	116	1	1
ASV_59	128	113	87	50
ASV_60	51	14	124	76
ASV_61	160	122	2	0
ASV_62	45	120	0	1
ASV_63	0	2	10	3
ASV_64	156	234	20	20
ASV_65	0	0	282	141
ASV_66	70	54	13	15
ASV_67	151	93	0	0
ASV_68	0	3	85	58
ASV_69	1	2	204	174
ASV_70	4	0	136	147
ASV_71	61	76	24	12
ASV_72	115	210	22	41
ASV_73	76	79	2	0
ASV_74	32	109	0	0
ASV_75	1	0	61	273
ASV_76	14	10	71	91
ASV_77	46	39	21	10
