	T0_1	T0_2	T63_1	T63_2
ASV_1	11.4159968409289	11.3747176707138	7.2180485369188	7.49770614874758
ASV_2	10.8903297229053	11.3475714009019	5.48044939915314	6.09243715944267
ASV_3	5.69957983946988	5.13232413256863	11.0097036099821	11.5745830089766
ASV_4	7.42949977247777	7.07466833480421	8.86156297959298	9.56436242012398
ASV_5	9.45741085093668	9.41768380091941	8.02229926672584	8.36098989916258
ASV_6	9.66896224218267	9.5309699929639	6.5615766812895	4.66682027046404
ASV_7	4.39586218864073	4.27451221541435	11.2301926459725	11.9158685117296
ASV_8	10.547318539546	9.98809618384383	3.04534363409423	3.04534363409423
ASV_9	8.75768769731684	8.77875246437422	4.15798696442116	4.39077669462856
ASV_10	9.04914536259824	8.62180602695182	4.95807322463639	3.04534363409423
ASV_11	6.36017615077329	6.25607385910283	9.80312827359313	9.56190968908991
ASV_12	8.54464487324749	8.49175464633009	4.28215197160935	5.0781954709764
ASV_13	8.19355897031704	8.23141812399877	4.28215197160935	4.49061727859747
ASV_14	8.75059715108298	8.48607264944896	6.3477523553258	6.49729179163408
ASV_15	3.87818702042731	3.9733903573697	10.0961540316289	9.73300506285031
ASV_16	8.46022273733154	8.04297165209118	5.34432369017107	4.15646336133215
ASV_17	8.63470199374856	8.06601686759612	5.24515990148809	5.43377523012691
ASV_18	7.53248275152665	7.65923099365916	6.83192860935554	5.7849859133925
ASV_19	5.69957983946988	5.52815567118989	9.35200100819025	9.4863184937664
ASV_20	5.95610630817308	6.20099129433761	8.95077051534301	8.1998596192097
ASV_21	5.0028357141952	4.69490010997703	8.30732876160467	8.25559630437485
ASV_22	7.84398691102375	7.75220580072695	6.67594482960791	6.6906091214781
ASV_23	7.93026331527856	7.98369131089158	5.95035562596945	4.49061727859747
ASV_24	3.87818702042731	3.76905221797571	10.1046284680041	9.70437982970016
ASV_25	4.20787631448892	4.05863076140378	5.02087734482573	5.67765448612883
ASV_26	8.11102953246607	7.72348943821072	3.61190767716215	3.61110412928356
ASV_27	3.04534363409423	3.04534363409423	7.88721260558843	10.4380165049905
ASV_28	3.76905221797571	4.05863076140378	9.89783942351634	8.99119569328219
ASV_29	4.89620317793948	4.50469025549557	7.97866386820687	7.45595998058922
ASV_30	4.65021768328519	4.20787631448892	8.61804622882022	8.66067626052484
ASV_31	3.04534363409423	3.46607919966779	9.34915062530277	9.48372926786012
ASV_32	7.51022713752864	7.20526442896924	3.61190767716215	3.84048423425327
ASV_33	8.07361736795927	7.10473580642704	3.04534363409423	3.61110412928356
ASV_34	7.5379932092125	7.25969479472564	4.28215197160935	4.2804765574818
ASV_35	3.46607919966779	3.04534363409423	8.87351655593786	8.3666250387951
ASV_36	3.63828234300959	4.05863076140378	8.46315482423816	9.1433293823019
ASV_37	4.39586218864073	4.60374650358828	5.13788102065626	5.01841253844641
ASV_38	3.63828234300959	3.76905221797571	8.38734718707627	9.15964397676626
ASV_39	7.50460895055899	6.9966152256365	4.49253796557656	4.58213388517601
ASV_40	6.20099129433761	6.78052192169715	5.60406920120144	4.58213388517601
ASV_41	4.20787631448892	3.87818702042731	7.43839320156637	7.54823882719113
ASV_42	7.63886723353693	7.81706205727557	6.43718927568854	7.28762119830586
ASV_43	6.74269672483577	6.59117325308389	7.03084605305806	6.90812924348687
ASV_44	6.6939586394748	6.95593170373313	6.86439188337751	7.41296406452733
ASV_45	6.29601730697804	5.75870271964007	7.23052910661547	6.90812924348687
ASV_46	7.28615445063908	8.02348148338288	4.39258278511249	5.85216097324767
ASV_47	7.32495086214168	6.7038405299026	3.04534363409423	3.04534363409423
ASV_48	3.63828234300959	3.76905221797571	7.74682101836449	7.68997863870234
ASV_49	4.60374650358828	4.13627619356175	5.39125563462289	6.51785076165425
ASV_50	5.57307737177027	5.61656095439003	5.52292237528899	4.58213388517601
ASV_51	7.54895113528626	6.89695711935196	3.04534363409423	3.04534363409423
ASV_52	6.92253043980659	6.77115925746344	3.04534363409423	3.04534363409423
ASV_53	3.04534363409423	3.04534363409423	8.77923472444234	8.25559630437485
ASV_54	3.63828234300959	3.9733903573697	5.85527233203407	6.14656328444344
ASV_55	6.39731856148517	6.9966152256365	4.49253796557656	5.24249622936561
ASV_56	6.15821639069847	5.79675270840345	5.24515990148809	6.09243715944267
ASV_57	5.19248750527707	6.18687710817407	3.04534363409423	3.04534363409423
ASV_58	6.88832995763449	6.61233293022161	3.61190767716215	3.61110412928356
ASV_59	6.7330815348148	6.58047414093412	7.00198727287936	6.32110843171451
ASV_60	5.6792925513955	4.55530763013855	7.45973555305989	6.82834212826132
ASV_61	7.01257010787781	6.67398677752194	3.84159987814155	3.04534363409423
ASV_62	5.55080255071329	6.65373080804486	3.04534363409423	3.61110412928356
ASV_63	3.04534363409423	3.63828234300959	4.74796807636191	4.01330271127713
ASV_64	6.98048040736465	7.50460895055899	5.34432369017107	5.34157813853867
ASV_65	3.04534363409423	3.04534363409423	8.56987634520616	7.62556794319157
ASV_66	6.02146161308904	5.73927624240177	4.95807322463639	5.0781954709764
ASV_67	6.93932861159053	6.34757535388281	3.04534363409423	3.04534363409423
ASV_68	3.04534363409423	3.76905221797571	6.97253440520546	6.49729179163408
ASV_69	3.46607919966779	3.63828234300959	8.12593091437373	7.90675378172227
