vMAGs	sample
KSD-k141_16026612	K
KSD-NODE_54_length_70550_cov_27.906632	K
KSD-NODE_110_length_57707_cov_147.768091	K
K-S4C82848	K
K-S4C81116	K
K-S4C81106	K
K-S4C79744	K
K-S4C63694	K
K-S4C71084	K
K-S4C68948	K
K-S4C68640	K
K-S4C45252	K
K-S4C29661	K
K-S4C28732	K
K-S4C114399	K
K-S3C9873	K
K-S3C97121	K
K-S3C96003	K
K-S3C95327	K
K-S3C89849	K
K-S3C8771	K
K-S3C83081	K
K-S3C81106	K
K-S3C79955	K
K-S3C78503	K
K-S3C76673	K
K-S3C75659	K
K-S3C74538	K
K-S3C74297	K
K-S3C63956	K
K-S3C63694	K
K-S3C71495	K
K-S3C68250	K
K-S3C67132	K
K-S3C66802	K
K-S3C64783	K
K-S3C55269	K
K-S3C53415	K
K-S3C52352	K
K-S3C50959	K
K-S3C47813	K
K-S3C38615	K
K-S3C37343	K
K-S3C35615	K
K-S3C26453	K
K-S3C22058	K
K-S3C21639	K
K-S3C19412	K
K-S3C119171	K
K-S3C109941	K
K-S3C108123	K
K-S2C69886	K
K-S2C54018	K
K-S2C35656	K
K-NODE_9717_length_5586_cov_18.401374	K
K-NODE_6520_length_5526_cov_179.766770	K
K-NODE_6413_length_5591_cov_42.053829	K
K-NODE_5740_length_6052_cov_25.092880	K
K-NODE_364_length_38972_cov_31.721279	K
K-NODE_144_length_52477_cov_19.110126	K
K-k141_954187	K
K-k141_939766	K
K-k141_835803	K
K-k141_833273	K
K-k141_754158	K
K-k141_7026	K
K-k141_61561	K
K-k141_529595	K
K-k141_477799	K
K-k141_437838	K
K-k141_416182	K
K-k141_408567	K
K-k141_331861	K
K-k141_329484	K
K-k141_282946	K
K-k141_268458	K
K-k141_2075090	K
K-k141_2073569	K
K-k141_2073488	K
K-k141_1893791	K
K-k141_1849391	K
K-k141_1663699	K
K-k141_1568648	K
K-k141_1568562	K
K-k141_143091	K
K-k141_1402149	K
K-k141_1400797	K
K-k141_1287812	K
K-k141_1204602	K
K-k141_1168602	K
K-k141_1151177	K
KSW-C-S7C10198	K
KSD-NODE_233_length_37786_cov_12.616708	KSW-CF
KSD-k141_9763874	KSW-CF
KSD-k141_16058499	KSW-CF
KSD-S9C3875	KSW-CF
KSD-S9C2417	KSW-CF
KSD-S8C57609	KSW-CF
KSD-NODE_110_length_57707_cov_147.768091	KSW-CF
K-S4C68640	KSW-CF
K-S3C108123	KSW-CF
K-k141_833273	KSW-CF
K-k141_7026	KSW-CF
KSW-C-C0_2-NODE_653_length_33993_cov_26.331487	KSW-CF
KSW-C-C0_2-NODE_778_length_30529_cov_9.778336	KSW-CF
KSW-C-k141_1122676	KSW-CF
KSW-C-k141_1216892	KSW-CF
KSW-C-k141_1380363	KSW-CF
