""	"K1_s"	"K2_s"	"K1_t"	"K2_t"	"C0_1_C"	"C0_2_C"	"C72_1_C"	"C72_2_C"	"T0_1_C"	"T0_2_C"	"T72_1_C"	"T72_2_C"	"C0_1_V"	"C0_2_V"	"C72_1_V"	"C72_2_V"	"T0_1_V"	"T0_2_V"	"T72_1_V"	"T72_2_V"	"S12_0_3"	"S12_12_15"	"S12_21_24"	"S3_0_3"	"S3_12_15"	"S3_21_24"	"S9_0_3"	"S9_12_15"	"S9_21_24"
"K1_s"	1	0.489857120309059	0.151189576678848	0.173689742691358	0	0.000814125275337097	0	0	0	0.00885537684474461	0.00552462773603841	0.00341788270703771	0	0	0	0	0	0	0.00123336452484924	0.000904571474807028	0	0	0	0.00426302584021567	0	0	0	0	0
"K2_s"	0.489857120309059	1	0.0339410327861288	0.266906667766958	0	0	0	0	0	0.00335919246343552	0.0102511495256388	0.00550419646184148	0	0	0	0	0	0	0	0.00171198953188224	0	0	0	0.00509166791944963	0	0	0.0033516550255614	0	0
"K1_t"	0.151189576678848	0.0339410327861288	1	0.901436273629223	0	0	0	0	0	0.00565405761781985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K2_t"	0.173689742691358	0.266906667766958	0.901436273629223	1	0	0	0	0	0	0.00582168146194352	0.00509089877761706	0.00266028809490185	0	0	0	0	0	0	0	0.000525359551956892	0	0	0	0	0	0	0	0	0
"C0_1_C"	0	0	0	0	1	0.80676104230604	0.579424386210732	0.470096448187389	0.598571763193294	0.635245300002734	0.175398782070291	0.147360968363037	0.104552399976098	0.0868731194539794	0.0971232333294678	0.125326077213579	0.102164267098775	0.0994711646608329	0.173300621583708	0.145039168096854	0.0124827943941682	0.0138086174889097	0.0143376281437394	0.0150192674264994	0.00474127236655458	0.00577967766768375	0.0181415530620729	0.0139464101062088	0.0139044589303155
"C0_2_C"	0.000814125275337097	0	0	0	0.80676104230604	1	0.500983457131663	0.416933108291899	0.515953423957455	0.551840437218752	0.156846539067922	0.129153874071822	0.100000932818418	0.093515215964424	0.119152134862895	0.148044967618477	0.117327665101616	0.0971949875286393	0.206792472777249	0.169573000981392	0.0203545761888374	0.0183593979938509	0.0182021054609006	0.0282409927901616	0.00643520078549004	0.00829205181114695	0.0248037554705232	0.017358914388856	0.0197111668870456
"C72_1_C"	0	0	0	0	0.579424386210732	0.500983457131663	1	0.752803488678208	0.419415282153191	0.438078999715828	0.422540900418138	0.376705218169742	0.0966386554621849	0.070995670995671	0.0988560052842098	0.177993983376252	0.0906238789793847	0.0939665846692311	0.179925303454715	0.188166249093686	0.0133077060611479	0.0176441029546518	0.0198146403004525	0.00437144554791614	0.00411788562124637	0.00587680982683311	0.0155838715707118	0.0164426503585727	0.0168454232574402
"C72_2_C"	0	0	0	0	0.470096448187389	0.416933108291899	0.752803488678208	1	0.269509712504951	0.329499374051341	0.537437476372575	0.473432831585391	0.0690908530144264	0.0486014875688952	0.0783637161348818	0.168372138821618	0.0675128926871971	0.0628869109470352	0.182819551336067	0.187702731435922	0.00666602521732583	0.00645699269481939	0.00741262597842197	0.00493706699901329	0.0031386692536352	0.00383910475656059	0.00829647489960958	0.00703094385642001	0.00663017256124623
"T0_1_C"	0	0	0	0	0.598571763193294	0.515953423957455	0.419415282153191	0.269509712504951	1	0.811004839773819	0.211900895336017	0.18160606461489	0.0644896149721728	0.053167313088055	0.0530316523841354	0.105876009958931	0.0547242799021971	0.0656772653795986	0.0843869575022187	0.110485926659396	0.00905932484349709	0.011796761608579	0.0134216129342944	0.00736730544785756	0.00445008160841103	0.00490801874948519	0.0103220914979761	0.0118377915133018	0.0107958090994402
"T0_2_C"	0.00885537684474461	0.00335919246343552	0.00565405761781985	0.00582168146194352	0.635245300002734	0.551840437218752	0.438078999715828	0.329499374051341	0.811004839773819	1	0.215760869565217	0.1817371383037	0.0556976413753907	0.0492578322501596	0.0482785899626606	0.0984038480279553	0.0535399307612316	0.0546225904729364	0.0926846100759144	0.107318528645092	0.00695857744886422	0.00879820797236391	0.0093444882820862	0.00807951639153685	0.00330261294713419	0.00414894342884949	0.0105948545970254	0.00841490249639578	0.00829495526970515
"T72_1_C"	0.00552462773603841	0.0102511495256388	0	0.00509089877761706	0.175398782070291	0.156846539067922	0.422540900418138	0.537437476372575	0.211900895336017	0.215760869565217	1	0.834459509935754	0.0672740835464621	0.0533444603137698	0.0769373773811784	0.171414922941987	0.0590290118337743	0.074265871321052	0.180512422360248	0.242382014121145	0.00530809949635111	0.00530490108763123	0.00599082944816747	0.00179706269859723	0.00351582991329034	0.00417489564752519	0.00487773695965267	0.00575410375091686	0.00547347713311837
"T72_2_C"	0.00341788270703771	0.00550419646184148	0	0.00266028809490185	0.147360968363037	0.129153874071822	0.376705218169742	0.473432831585391	0.18160606461489	0.1817371383037	0.834459509935754	1	0.0748197560811266	0.055014451891347	0.0773841144074791	0.159612750098207	0.0667729430601983	0.0807536507807911	0.170259572901325	0.261951469405002	0.00254880456240404	0.00309459664121877	0.00339021456244101	0.00221928196458215	0.00311802623780849	0.00301802003612968	0.00199108145963148	0.00330126302153614	0.00339152664744626
"C0_1_V"	0	0	0	0	0.104552399976098	0.100000932818418	0.0966386554621849	0.0690908530144264	0.0644896149721728	0.0556976413753907	0.0672740835464621	0.0748197560811266	1	0.745624310330193	0.655776036761138	0.578437023224275	0.710848871792132	0.727511331972213	0.503962418300654	0.498468217532194	0.0246912807676262	0.0367169338250508	0.0381039418223465	0.00686274509803922	0.0108033324519777	0.0137496335385517	0.0396785054236129	0.0309469424768162	0.0316590221923294
"C0_2_V"	0	0	0	0	0.0868731194539794	0.093515215964424	0.070995670995671	0.0486014875688952	0.053167313088055	0.0492578322501596	0.0533444603137698	0.055014451891347	0.745624310330193	1	0.655276759373857	0.574055768495504	0.675979334017481	0.749846786365913	0.460005517358459	0.460182904257614	0.0336964224761471	0.044237264907656	0.0462711158772767	0.0142602495543672	0.0183567684767952	0.0197617065535737	0.0441626657209386	0.0387926350930663	0.0385827985315136
"C72_1_V"	0	0	0	0	0.0971232333294678	0.119152134862895	0.0988560052842098	0.0783637161348818	0.0530316523841354	0.0482785899626606	0.0769373773811784	0.0773841144074791	0.655776036761138	0.655276759373857	1	0.709075817256669	0.759803761169877	0.648962774856084	0.668309853053303	0.591136875003576	0.0348883520703645	0.0539796676235163	0.0550835102699648	0.0301794596361768	0.020841275105038	0.0236194240344339	0.051482647703982	0.041325628538985	0.0481687751774776
"C72_2_V"	0	0	0	0	0.125326077213579	0.148044967618477	0.177993983376252	0.168372138821618	0.105876009958931	0.0984038480279553	0.171414922941987	0.159612750098207	0.578437023224275	0.574055768495504	0.709075817256669	1	0.683602137520602	0.612352612941438	0.722175049174329	0.719332467107978	0.0279809716516443	0.042366034187392	0.0437989407800583	0.0205735949082279	0.0146802541277234	0.0161640125141832	0.042815073274356	0.0325704786141665	0.0354592637239239
"T0_1_V"	0	0	0	0	0.102164267098775	0.117327665101616	0.0906238789793847	0.0675128926871971	0.0547242799021971	0.0535399307612316	0.0590290118337743	0.0667729430601983	0.710848871792132	0.675979334017481	0.759803761169877	0.683602137520602	1	0.699323507474006	0.670800624972968	0.580953471934299	0.0301584149805786	0.043739404277247	0.0452576639862437	0.0261737425545728	0.0176130287389553	0.018840652952891	0.0443165184358653	0.0343630968515058	0.03791193224229
"T0_2_V"	0	0	0	0	0.0994711646608329	0.0971949875286393	0.0939665846692311	0.0628869109470352	0.0656772653795986	0.0546225904729364	0.074265871321052	0.0807536507807911	0.727511331972213	0.749846786365913	0.648962774856084	0.612352612941438	0.699323507474006	1	0.478269911435432	0.491200502135067	0.0321028577798214	0.0504292281657254	0.0540409567986862	0.00999244729742823	0.0166461929880091	0.0194420651766572	0.043695792898573	0.0397228165276335	0.0419751133558157
"T72_1_V"	0.00123336452484924	0	0	0	0.173300621583708	0.206792472777249	0.179925303454715	0.182819551336067	0.0843869575022187	0.0926846100759144	0.180512422360248	0.170259572901325	0.503962418300654	0.460005517358459	0.668309853053303	0.722175049174329	0.670800624972968	0.478269911435432	1	0.759219283352495	0.0261098446470787	0.0368279093139428	0.0405621185757705	0.0344776546982429	0.0150337400159969	0.016973755201289	0.0485120000152405	0.0304090833541095	0.0349297095366652
