GH16_prot	K1_s	K2_s	K1_t	K2_t	C0_1_C	C0_2_C	C63_1_C	C63_2_C	T0_1_C	T0_2_C	T63_1_C	T63_2_C	C0_1_V	C0_2_V	C63_1_V	C63_2_V	T0_1_V	T0_2_V	T63_1_V	T63_2_V	S3_0_3	S3_12_15	S3_21_24	S9_0_3	S9_12_15	S9_21_24	S12_0_3	S12_12_15	S12_21_24
K-k141_1599960||full_5	206.22415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K-NODE_3319_length_9061_cov_144.058850||full_5	86.71115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KSW-cf_coassembly_k141_1030751||full_53	0	0	0	0	10.057432	13.630668	0	0	0	0	0	0	0	0	0	0	0	0	0.91906244	0	0	0	0	0	0	0	0	0	0
KSW-cf_coassembly_k141_3795769||full_19	0	0	0	0	9.950228	13.847339	0	0	0	0	0	0	0	0	0	0	0	0	1.1067472	0	0	0	0	0	0	0	0	0	0
KSW-T63_1_V_NODE_253_length_12558_cov_54.923378||full_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.778961	2.900346	0	0	20.830635	15.387737	0	0	0	0	0	0	0	0	0
KSW-T63_1_V_NODE_46_length_27681_cov_68.516434_5	0	0	0	0	0	0	0	0	0	0	0	0	2.3709424	0	3.5943918	4.030523	2.174515	0	26.600628	13.427401	0	0	0	0	0	0	0	0	0
KSW-T63_2_V_NODE_47_length_32283_cov_43.631563||full_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8599193	3.7984273	1.8035711	0	39.13704	21.634924	0	0	0	0	0	0	0	0	0
KSW-T63_1_V_NODE_568_length_8397_cov_38.014505_3	0	0	0	0	0	0	0	0	0	0	0	0	4.0724916	0	5.104921	2.0628586	5.0394135	0	8.602985	3.3244092	0	0	0	0	0	0	0	0	0
KSW-megahit_k141_258865||full_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0674272	1.025506	0	0	7.5050845	4.7495356	0	0	0	0	0	0	0	0	0
KSW-vf_coassembly_k141_392022||full_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.372478	0	2.095264	0	3.1718535	1.2471243	0	0	0	0	0	0	0	0	0
KSW-megahit_k141_749414||full_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KSD-S4C2346_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.53988	0	0	204.99612	0	0	0	0	0
KSD-k141_7891686||full_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.104073	0	0	0	0	0
KSD-k141_1226545||full_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.637784	3.0788023
KSD-k141_782721||full_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.344992	6.182617
KSD-k141_6505323||full_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3372116	7.8658996	0	0	0
KSD-k141_9572456||full_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0349665	0
