vOTUs	sample
K-NODE_101_length_76198_cov_10.021775_full	K
K-NODE_194_length_54437_cov_10.349730_full	K
K-NODE_249_length_47001_cov_14.383717_full	K
K-NODE_267_length_45417_cov_1917.330298_full	K
K-NODE_268_length_45385_cov_62.065762_full	K
K-NODE_333_length_40795_cov_28.535935_full	K
K-NODE_374_length_38181_cov_30.256177_full	K
K-NODE_388_length_37246_cov_12.307413_full	K
K-NODE_442_length_34557_cov_184.532897_full	K
K-NODE_509_length_31388_cov_13.712986_full	K
K-NODE_551_length_30200_cov_7.576746_full	K
K-NODE_581_length_29343_cov_9.285748_full	K
K-NODE_646_length_27552_cov_11.508165_full	K
K-NODE_650_length_27439_cov_12.675979_full	K
K-NODE_705_length_26340_cov_8.058817_full	K
K-NODE_804_length_24037_cov_51.704362_full	K
K-NODE_808_length_23999_cov_39.256557_full	K
K-NODE_841_length_23407_cov_12.820872_full	K
K-NODE_897_length_22362_cov_15.721881_full	K
K-NODE_982_length_20847_cov_333.420594_full	K
K-NODE_1103_length_19237_cov_27.233969_full	K
K-NODE_1108_length_19179_cov_10.135693_full	K
K-NODE_1203_length_18221_cov_137.270285_full	K
K-NODE_1220_length_18089_cov_6.389043_full	K
K-NODE_1222_length_18060_cov_95.140461_full	K
K-NODE_1330_length_16903_cov_7.136574_full	K
K-NODE_1359_length_16592_cov_7.103828_full	K
K-NODE_1417_length_16165_cov_6.308380_full	K
K-NODE_1418_length_16159_cov_6.503415_full	K
K-NODE_1465_length_15793_cov_6.929724_full	K
K-NODE_1513_length_15439_cov_12.959308_full	K
K-NODE_1543_length_15219_cov_16.054603_full	K
K-NODE_1613_length_14833_cov_6.692922_full	K
K-NODE_1678_length_14496_cov_9.853196_full	K
K-NODE_1769_length_13964_cov_110.841973_full	K
K-NODE_1788_length_13891_cov_105.222463_full	K
K-NODE_1909_length_13261_cov_5.824398_full	K
K-NODE_2030_length_12681_cov_6.901077_full	K
K-NODE_2041_length_12639_cov_6.884854_full	K
K-NODE_2120_length_12301_cov_7.457047_full	K
K-NODE_2140_length_12232_cov_5.788700_full	K
K-NODE_2160_length_12168_cov_15.664080_full	K
K-NODE_2197_length_12034_cov_10.831205_full	K
K-NODE_2258_length_11887_cov_288.212052_full	K
K-NODE_2349_length_11567_cov_10.305942_full	K
K-NODE_2373_length_11497_cov_5.848540_full	K
K-NODE_2439_length_11295_cov_7.728648_full	K
K-NODE_2483_length_11124_cov_33.712711_full	K
K-NODE_2609_length_10714_cov_21.656065_full	K
K-NODE_2765_length_10302_cov_7.987509_full	K
K-NODE_2766_length_10299_cov_5.183424_full	K
K-NODE_2768_length_10297_cov_55.459773_full	K
K-NODE_2833_length_10138_cov_24.911633_full	K
K-NODE_2930_length_9861_cov_5.779421_full	K
K-NODE_3028_length_9671_cov_5.018927_full	K
K-NODE_3084_length_9516_cov_5.597083_full	K
K-NODE_3097_length_9482_cov_6.526148_full	K
K-NODE_3189_length_9329_cov_11.617856_full	K
K-NODE_3319_length_9061_cov_144.058850_full	K
K-NODE_3764_length_8225_cov_12.089229_full	K
K-NODE_3843_length_8102_cov_4.696533_full	K
K-NODE_3906_length_8016_cov_7.971737_full	K
K-NODE_3956_length_7919_cov_24.895346_full	K
K-NODE_4108_length_7684_cov_7.604011_full	K
K-NODE_4227_length_7499_cov_205.627217_full	K
K-NODE_4260_length_7440_cov_7.186865_full	K
K-NODE_4415_length_7256_cov_18.533815_full	K
K-NODE_4494_length_7163_cov_6.236213_full	K
K-NODE_4531_length_7119_cov_15.397792_full	K
K-NODE_4536_length_7113_cov_31.182205_full	K
K-NODE_4586_length_7058_cov_5.993003_full	K
K-NODE_4615_length_7024_cov_5.093557_full	K
K-NODE_4896_length_6727_cov_100.058903_full	K
K-NODE_4921_length_6705_cov_6.840752_full	K
K-NODE_4936_length_6693_cov_6.963543_full	K
K-NODE_5069_length_6572_cov_7.982200_full	K
K-NODE_5107_length_6540_cov_5.487895_full	K
K-NODE_5115_length_6531_cov_5.811458_full	K
K-NODE_5144_length_6511_cov_7.394981_full	K
K-NODE_5210_length_6452_cov_17.330311_full	K
K-NODE_5258_length_6407_cov_6.955919_full	K
K-NODE_5754_length_6043_cov_13.358216_full	K
K-NODE_5762_length_6040_cov_15.649624_full	K
K-NODE_5816_length_6000_cov_6.409756_full	K
K-NODE_5879_length_5956_cov_12.329266_full	K
K-NODE_5989_length_5881_cov_4.159629_full	K
K-NODE_5992_length_5878_cov_6.484802_full	K
K-NODE_6053_length_5833_cov_6.659398_full	K
K-NODE_6094_length_5806_cov_216.528430_full	K
K-NODE_6106_length_5797_cov_4.706374_full	K
K-NODE_6125_length_5779_cov_71.727813_full	K
K-NODE_6187_length_5738_cov_6.171740_full	K
K-NODE_6360_length_5623_cov_3.532328_full	K
K-NODE_6373_length_5617_cov_4.734268_full	K
K-NODE_6450_length_5574_cov_5.358761_full	K
K-NODE_6457_length_5570_cov_8.521850_full	K
K-NODE_6468_length_5564_cov_5.373752_full	K
K-NODE_6516_length_5527_cov_6.878655_full	K
K-NODE_6620_length_5462_cov_30.879601_full	K
K-NODE_6675_length_5434_cov_4.885481_full	K
K-NODE_6982_length_5276_cov_6.660410_full	K
K-NODE_7098_length_5223_cov_4.164280_full	K
K-NODE_7105_length_5220_cov_4.509584_full	K
K-NODE_7221_length_5158_cov_3.716441_full	K
K-NODE_7328_length_5114_cov_5.436450_full	K
K-NODE_473_length_34320_cov_16.849234_full	K
K-NODE_1537_length_19227_cov_9.806906_full	K
K-NODE_1796_length_17526_cov_17.135195_full	K
K-NODE_2342_length_15026_cov_11.854118_full	K
K-NODE_2463_length_14565_cov_11.697795_full	K
K-NODE_3062_length_12761_cov_12.531875_full	K
K-NODE_3456_length_11845_cov_7.371077_full	K
K-NODE_3583_length_11567_cov_15.162092_full	K
K-NODE_3806_length_11114_cov_10.954155_full	K
K-NODE_4101_length_10564_cov_11.222286_full	K
K-NODE_4498_length_9936_cov_9.210606_full	K
K-NODE_4650_length_9727_cov_8.358251_full	K
K-NODE_4733_length_9586_cov_9.392928_full	K
K-NODE_4990_length_9245_cov_8.981284_full	K
K-NODE_5270_length_8880_cov_5.687025_full	K
K-NODE_5487_length_8603_cov_9.229761_full	K
K-NODE_5818_length_8248_cov_18.832052_full	K
K-NODE_6062_length_7997_cov_13.687232_full	K
K-NODE_6157_length_7899_cov_70.859510_full	K
K-NODE_6750_length_7411_cov_9.233279_full	K
K-NODE_6782_length_7388_cov_6.874131_full	K
K-NODE_8405_length_6273_cov_5.824220_full	K
K-NODE_9226_length_5816_cov_9.924492_full	K
K-NODE_9241_length_5807_cov_4.766690_full	K
K-NODE_9259_length_5802_cov_4.692709_full	K
K-NODE_9464_length_5703_cov_5.203966_full	K
K-NODE_9681_length_5608_cov_5.395642_full	K
K-NODE_10046_length_5446_cov_10.557225_full	K
K-NODE_10089_length_5429_cov_10.767399_full	K
K-NODE_10408_length_5287_cov_10.643540_full	K
K-NODE_10646_length_5195_cov_13.544358_full	K
K-NODE_10672_length_5184_cov_6.365958_full	K
K-NODE_10857_length_5109_cov_8.184408_full	K
K-NODE_4_length_56640_cov_78.937952_full	K
K-NODE_9_length_53546_cov_183.294909_full	K
K-NODE_130_length_24526_cov_48.502105_full	K
K-NODE_371_length_16855_cov_31.559167_full	K
K-NODE_568_length_14318_cov_10.908575_full	K
K-NODE_712_length_13073_cov_6.502535_full	K
K-NODE_820_length_12394_cov_10.337953_full	K
K-NODE_1239_length_10529_cov_62.263414_full	K
K-NODE_1295_length_10351_cov_65.608003_full	K
K-NODE_2405_length_8063_cov_12.451424_full	K
K-NODE_2848_length_7560_cov_10.780680_full	K
K-NODE_2935_length_7454_cov_8.593053_full	K
K-NODE_5742_length_5640_cov_8.729275_full	K
K-NODE_5847_length_5599_cov_11.481061_full	K
K-k141_1250186_full	K
K-k141_1458864_full	K
K-k141_1876056_full	K
K-k141_313834_full	K
K-k141_1876147_full	K
K-k141_1876180_full	K
K-k141_730682_full	K
K-k141_1355657_full	K
K-k141_1668473_full	K
K-k141_1460947_full	K
K-k141_211092_full	K
K-k141_107531_full	K
K-k141_733185_full	K
K-k141_1462913_full	K
K-k141_1046811_full	K
K-k141_1255277_full	K
K-k141_422530_full	K
K-k141_1048762_full	K
K-k141_840779_full	K
K-k141_1778577_full	K
K-k141_1673837_full	K
K-k141_1570735_full	K
K-k141_1779744_full	K
K-k141_112902_full	K
K-k141_1258603_full	K
K-k141_530112_full	K
K-k141_1467308_full	K
K-k141_1467387_full	K
K-k141_1467915_full	K
K-k141_323009_full	K
K-k141_1468263_full	K
K-k141_323573_full	K
K-k141_531883_full	K
K-k141_531951_full	K
K-k141_115398_full	K
K-k141_1365498_full	K
K-k141_325136_full	K
K-k141_1574704_full	K
K-k141_1678993_full	K
K-k141_637560_full	K
K-k141_429747_full	K
K-k141_638306_full	K
K-k141_847740_full	K
K-k141_1263444_full	K
K-k141_430451_full	K
K-k141_326908_full	K
K-k141_1159823_full	K
K-k141_1263662_full	K
K-k141_1680397_full	K
K-k141_1368181_full	K
K-k141_118950_full	K
K-k141_120776_full	K
K-k141_641740_full	K
K-k141_538456_full	K
K-k141_434541_full	K
K-k141_539397_full	K
K-k141_1374210_full	K
K-k141_647278_full	K
K-k141_126417_full	K
K-k141_336120_full	K
K-k141_1585064_full	K
K-k141_1168602_full	K
K-k141_231397_full	K
K-k141_2002895_full	K
K-k141_2003003_full	K
K-k141_1795378_full	K
K-k141_2003147_full	K
K-k141_858907_full	K
K-k141_1899183_full	K
K-k141_962066_full	K
K-k141_1169905_full	K
K-k141_2003977_full	K
K-k141_25753_full	K
K-k141_1069107_full	K
K-k141_963645_full	K
K-k141_234521_full	K
K-k141_1588794_full	K
K-k141_1276815_full	K
K-k141_1172723_full	K
K-k141_341023_full	K
K-k141_1071261_full	K
K-k141_237068_full	K
K-k141_237625_full	K
K-k141_135063_full	K
K-k141_1904988_full	K
K-k141_135598_full	K
K-k141_969075_full	K
K-k141_1490437_full	K
K-k141_554374_full	K
K-k141_137209_full	K
K-k141_1386017_full	K
K-k141_137695_full	K
K-k141_971990_full	K
K-k141_2013992_full	K
K-k141_1388770_full	K
K-k141_1078819_full	K
K-k141_452085_full	K
K-k141_1494330_full	K
K-k141_1389659_full	K
K-k141_244982_full	K
K-k141_559793_full	K
K-k141_559847_full	K
K-k141_454320_full	K
K-k141_663777_full	K
K-k141_769073_full	K
K-k141_976012_full	K
K-k141_1599960_full	K
K-k141_770615_full	K
K-k141_248761_full	K
K-k141_1499901_full	K
K-k141_773106_full	K
K-k141_1188607_full	K
K-k141_1088385_full	K
K-k141_359386_full	K
K-k141_567474_full	K
K-k141_252761_full	K
K-k141_569395_full	K
K-k141_1606875_full	K
K-k141_463234_full	K
K-k141_361499_full	K
K-k141_673151_full	K
K-k141_46956_full	K
K-k141_1192600_full	K
K-k141_1713971_full	K
K-k141_464911_full	K
K-k141_1609076_full	K
K-k141_153919_full	K
K-k141_676772_full	K
K-k141_258493_full	K
K-k141_258632_full	K
K-k141_677607_full	K
K-k141_1298719_full	K
K-k141_366503_full	K
K-k141_991095_full	K
K-k141_991660_full	K
K-k141_1097429_full	K
K-k141_1097612_full	K
K-k141_993828_full	K
K-k141_578737_full	K
K-k141_786457_full	K
K-k141_580534_full	K
K-k141_1201173_full	K
K-k141_581271_full	K
K-k141_1934027_full	K
K-k141_1306258_full	K
K-k141_897182_full	K
K-k141_1620651_full	K
K-k141_999197_full	K
K-k141_61552_full	K
K-k141_1832881_full	K
K-k141_62073_full	K
K-k141_1728872_full	K
K-k141_63287_full	K
K-k141_272061_full	K
K-k141_1835682_full	K
K-k141_901819_full	K
K-k141_1939594_full	K
K-k141_482713_full	K
K-k141_903401_full	K
K-k141_798564_full	K
K-k141_591645_full	K
K-k141_173109_full	K
K-k141_1734897_full	K
K-k141_68705_full	K
K-k141_1943664_full	K
K-k141_2048173_full	K
K-k141_388634_full	K
K-k141_1532479_full	K
K-k141_700941_full	K
K-k141_1740406_full	K
K-k141_702890_full	K
K-k141_1846986_full	K
K-k141_602020_full	K
K-k141_493533_full	K
K-k141_704974_full	K
K-k141_1536596_full	K
K-k141_1016528_full	K
K-k141_705904_full	K
K-k141_286692_full	K
K-k141_1124391_full	K
K-k141_1018690_full	K
K-k141_1325811_full	K
K-k141_1222510_full	K
K-k141_1434169_full	K
K-k141_607297_full	K
K-k141_188836_full	K
K-k141_1542400_full	K
K-k141_84963_full	K
K-k141_1226284_full	K
K-k141_2061689_full	K
K-k141_1131618_full	K
K-k141_611695_full	K
K-k141_1229234_full	K
K-k141_1334576_full	K
K-k141_1231043_full	K
K-k141_1962396_full	K
K-k141_507349_full	K
K-k141_1233040_full	K
K-k141_407930_full	K
K-k141_825274_full	K
K-k141_825337_full	K
K-k141_408566_full	K
K-k141_1338149_full	K
K-k141_825813_full	K
K-k141_408800_full	K
K-k141_1553797_full	K
K-k141_622832_full	K
K-k141_1557437_full	K
K-k141_2072961_full	K
K-k141_1659972_full	K
K-k141_1344884_full	K
K-k141_1763988_full	K
K-k141_416182_full	K
K-k141_624771_full	K
K-k141_1040914_full	K
K-k141_1872653_full	K
K-k141_1872697_full	K
K-k141_1455983_full	K
K-k141_1768105_full	K
K-k141_1975634_full	K
K-k141_1769287_full	K
K-k141_1978640_full	K
K-sec_assembly_k141_1335536_full	K
K-sec_assembly_k141_1790973_full	K
K-sec_assembly_k141_905086_full	K
K-sec_assembly_k141_1799123_full	K
K-sec_assembly_k141_918426_full	K
K-sec_assembly_k141_488166_full	K
K-sec_assembly_k141_1156745_full	K
