leaf_id	common_name	Phylum	Class	Order	Family	Genus	Family_AKA	Sequencing-approach	num_seqs	sum_contig_len	min_contig_len	avg_contig_len	max_contig_len	num_prot_seqs	GC	Source	Source-Detail
KSW-cf.coassembly.k141.3773240.fa																	
KSW-cf.coassembly.k141.100470.fa																	
GVMAG-S-3300009084-278.fltr.fna	GVMAG-S-3300009084-278	Nucleocytoviricota	Pokkesviricetes	incertae_sedis	incertae_sedis	g41	-	cultivation-independent	9	184389	11837	20487.7	33391	228	27.08	Freshwater	Freshwater
GVMAG-M-3300014838-26.fltr.fna	GVMAG-M-3300014838-26	Nucleocytoviricota	Pokkesviricetes	incertae_sedis	incertae_sedis	g39	-	cultivation-independent	21	352051	10311	16764.3	31124	330	20.38	Soil	Soil
GVMAG-M-3300025310-20.fltr.fna	GVMAG-M-3300025310-20	Nucleocytoviricota	Pokkesviricetes	incertae_sedis	incertae_sedis	g40	-	cultivation-independent	11	377661	16259	34332.8	98433	400	30.55	Thermal_spring	Thermal springs
ERX552270.16.dc.fltr.fna	ERX552270.16.dc	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	incertae_sedis	g38	-	cultivation-independent	10	262392	11348	26239.2	70640	229	20.1	Marine	Marine
SRX319064.32.dc.fltr.fna	SRX319064.32.dc	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	incertae_sedis	g13	-	cultivation-independent	8	154393	10202	19299.1	31001	145	34.08	Freshwater	Freshwater
GVMAG-M-3300024062-1.fltr.fna	GVMAG-M-3300024062-1	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	incertae_sedis	g14	-	cultivation-independent	11	333773	10048	30343	62119	351	20.72	Marine	Marine
GVMAG-M-3300013005-64.fltr.fna	GVMAG-M-3300013005-64	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	incertae_sedis	g37	-	cultivation-independent	8	285977	10565	35747.1	88973	251	17.66	Freshwater	Freshwater
SRX319065.14.dc.fltr.fna	SRX319065.14.dc	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	incertae_sedis	g36	-	cultivation-independent	3	342906	35510	114302	178940	305	21.73	Freshwater	Freshwater
GVMAG-S-1035124-107.fltr.fna	GVMAG-S-1035124-107	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	incertae_sedis	g36	-	cultivation-independent	6	233119	11297	38853.2	67284	192	19.8	Freshwater	Freshwater
GVMAG-M-3300010160-26.fltr.fna	GVMAG-M-3300010160-26	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_02	g34	-	cultivation-independent	5	213404	19924	42680.8	67623	188	28.43	Freshwater	Freshwater
GVMAG-M-3300009436-29.fltr.fna	GVMAG-M-3300009436-29	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_02	g35	-	cultivation-independent	7	187349	19572	26764.1	44999	168	41.59	Marine	Marine
SRX802963.109.dc.fltr.fna	SRX802963.109.dc	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_02	g33	-	cultivation-independent	8	175258	10912	21907.3	73692	161	29.95	Marine	Marine
GVMAG-M-3300023174-161.fltr.fna	GVMAG-M-3300023174-161	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_02	g32	-	cultivation-independent	8	143066	10489	17883.3	31110	115	28.98	Freshwater	Freshwater
GVMAG-M-3300009068-46.fltr.fna	GVMAG-M-3300009068-46	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_02	g31	-	cultivation-independent	10	157763	10522	15776.3	23205	133	24.89	Freshwater	Freshwater
GVMAG-S-3300009702-144.fltr.fna	GVMAG-S-3300009702-144	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_02	g29	-	cultivation-independent	16	490940	10525	30683.8	153399	485	27.81	Marine	Marine
GVMAG-M-3300023174-150.fltr.fna	GVMAG-M-3300023174-150	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_02	g30	-	cultivation-independent	10	151746	10002	15174.6	25334	146	28.57	Freshwater	Freshwater
GCA.002116175.1.ViralProj381648.fltr.fna	Kaumoebavirus Sc	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g16	Asfarviridae	isolate	1	350731	350731	350731	350731	469	43.7	Waste	sewage water
GVMAG-M-3300027793-10.fltr.fna	GVMAG-M-3300027793-10	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g17	Asfarviridae	cultivation-independent	11	327776	13171	29797.8	84692	379	34.27	Freshwater	Freshwater
GVMAG-S-3300002466-141.fltr.fna	GVMAG-S-3300002466-141	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g15	Asfarviridae	cultivation-independent	9	323849	12584	35983.2	93153	404	39.48	Unclassified	Unclassified
K-k141.1754102.fa																	
K-k141.863578.fa																	
K-k141.395032.fa																	
K-NODE.177.length.57888.cov.23.040323.fa																	
K-S3C50959.fa																	
GVMAG-M-3300013133-40.fltr.fna	GVMAG-M-3300013133-40	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g23	Asfarviridae	cultivation-independent	7	116031	11220	16575.9	31982	104	34.62	Freshwater	Freshwater
GVMAG-M-3300014204-45.fltr.fna	GVMAG-M-3300014204-45	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g18	Asfarviridae	cultivation-independent	9	193804	13856	21533.8	39417	183	37.5	Waste	Landfill
SRX327722.61.dc.fltr.fna	SRX327722.61.dc	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g21	Asfarviridae	cultivation-independent	4	202406	29961	50601.5	83250	179	45.19	Waste	mine tailing
GCA.002114025.1.ViralProj384397.fltr.fna	Pacmanvirus A23 strain=A23	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g20	Asfarviridae	isolate	1	395405	395405	395405	395405	469	33.62	Freshwater	pond
SRX802982.1.dc.fltr.fna	SRX802982.1.dc	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	AF_01	g19	Asfarviridae	cultivation-independent	6	120034	16724	20005.7	26918	131	43.79	Marine	Marine
